file,condition,lz76_concat,shape
210_20161207_0002eyesOpen_afterICA.set,open,,ERR:The number of trials is 15. It must be 1
210_20161207_0003eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
210_20161207_0006eyesOpen_afterICA.set,open,,ERR:buffer is too small for requested array
210_20161207_0007eyesCloed_afterICA.set,closed,,ERR:The number of trials is 11. It must be 1
219_20161117_0002_eyespen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
219_20161117_0003_eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
219_20161117_0006_eyesopen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
219_20161117_0007_closedEyes_afterICA.set,closed,,ERR:The number of trials is 16. It must be 1
249_20161208_0002eyesOpen_afterICA.set,open,,ERR:The number of trials is 15. It must be 1
249_20161208_0003EyesClosed_afterICA.set,closed,,ERR:The number of trials is 15. It must be 1
249_20161208_0006eyesOpen_afterICA.set,open,,ERR:The number of trials is 17. It must be 1
249_20161208_0007eyesClosed_afterICA.set,closed,,ERR:The number of trials is 17. It must be 1
251_20170124_0002eyesOpen_afterICA.set,open,,ERR:The number of trials is 12. It must be 1
251_20170124_0003eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
251_20170124_0006eyesOpen_afterICA.set,open,,ERR:The number of trials is 12. It must be 1
251_20170124_0007eyesClosed_afterICA.set,closed,,ERR:The number of trials is 13. It must be 1
265_20170112_0002eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
265_20170112_0004_eyes_closed_afterICA.set,closed,,ERR:The number of trials is 13. It must be 1
265_20170112_0006eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
265_20170112_0007eyesClosed_afterICA.set,closed,,ERR:The number of trials is 11. It must be 1
271_20170221_0002EyesOpen_afterICA.set,open,,ERR:The number of trials is 17. It must be 1
271_20170221_0003eyesclosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
271_20170221_0006EyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
271_20170221_0007EyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
282_20161122_0002_eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
282_20161122_0003_eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
282_20161122_0006_eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
282_20161122_0007_eyesClosed_afterICA.set,closed,,ERR:The number of trials is 11. It must be 1
300_20161214_0002eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
300_20161214_0003eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
300_20161214_0006eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
300_20161214_0007eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
313_20170116_0002eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
313_20170116_0003EyesClosed_afterICA.set,closed,,ERR:The number of trials is 15. It must be 1
313_20170116_0006eyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
313_20170116_0007eyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
318_20170206_0002EyesOpen_afterICA.set,open,,ERR:The number of trials is 13. It must be 1
318_20170206_0003EyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
318_20170206_0007EyesOpen_afterICA.set,open,,ERR:The number of trials is 14. It must be 1
318_20170206_0008EyesClosed_afterICA.set,closed,,ERR:The number of trials is 14. It must be 1
