utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
98 %, 9981 MiB
97 %, 9981 MiB
98 %, 9981 MiB
100 %, 9981 MiB
96 %, 9981 MiB
100 %, 9981 MiB
98 %, 9981 MiB
100 %, 9981 MiB
95 %, 9981 MiB
97 %, 9981 MiB
92 %, 9981 MiB
96 %, 9981 MiB
97 %, 9981 MiB
97 %, 9981 MiB
100 %, 9981 MiB
96 %, 9981 MiB
100 %, 9981 MiB
100 %, 9981 MiB
98 %, 9981 MiB
93 %, 9981 MiB
95 %, 9981 MiB
97 %, 9981 MiB
96 %, 9981 MiB
100 %, 9981 MiB
98 %, 9981 MiB
98 %, 9981 MiB
96 %, 9981 MiB
98 %, 9981 MiB
96 %, 9981 MiB
95 %, 9981 MiB
100 %, 9981 MiB
97 %, 9981 MiB
98 %, 9981 MiB
98 %, 9981 MiB
96 %, 9981 MiB
100 %, 9981 MiB
96 %, 9981 MiB
98 %, 9981 MiB
95 %, 9981 MiB
96 %, 9981 MiB
100 %, 9981 MiB
96 %, 9981 MiB
98 %, 9981 MiB
95 %, 9981 MiB
98 %, 9981 MiB
