/workspace/anima/train_carving_dirE.py:157: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce_stage2": 5.655191, "ce_full": 5.660118, "loss": 5.655191, "gn2": 41.759168, "lr": 1.2e-06, "wall_s": 0.79, "gpu_mem_gb": 7.455}
{"step": 125, "ce_stage2": 1.267128, "ce_full": 2.394861, "loss": 1.267128, "gn2": 9.342763, "lr": 0.00015, "wall_s": 34.2, "gpu_mem_gb": 9.704}
{"step": 250, "ce_stage2": 0.374783, "ce_full": 1.083422, "loss": 0.374783, "gn2": 7.42161, "lr": 0.0003, "wall_s": 67.91, "gpu_mem_gb": 9.704}
{"step": 375, "ce_stage2": 0.185995, "ce_full": 0.6589, "loss": 0.185995, "gn2": 3.066811, "lr": 0.00029955, "wall_s": 101.63, "gpu_mem_gb": 9.704}
{"step": 500, "ce_stage2": 0.144695, "ce_full": 0.646751, "loss": 0.144695, "gn2": 5.746755, "lr": 0.00029817, "wall_s": 135.28, "gpu_mem_gb": 9.704}
{"step": 625, "ce_stage2": 0.072898, "ce_full": 0.653861, "loss": 0.072898, "gn2": 1.814264, "lr": 0.00029589, "wall_s": 168.96, "gpu_mem_gb": 9.704}
{"step": 750, "ce_stage2": 0.075405, "ce_full": 0.529563, "loss": 0.075405, "gn2": 0.366797, "lr": 0.00029271, "wall_s": 202.7, "gpu_mem_gb": 9.704}
{"step": 875, "ce_stage2": 0.05035, "ce_full": 0.533296, "loss": 0.05035, "gn2": 3.0884, "lr": 0.00028867, "wall_s": 236.42, "gpu_mem_gb": 9.704}
{"step": 1000, "ce_stage2": 0.073633, "ce_full": 0.541038, "loss": 0.073633, "gn2": 1.155474, "lr": 0.00028377, "wall_s": 270.11, "gpu_mem_gb": 9.704}
{"step": 1125, "ce_stage2": 0.041989, "ce_full": 0.502831, "loss": 0.041989, "gn2": 0.227195, "lr": 0.00027807, "wall_s": 303.78, "gpu_mem_gb": 9.704}
{"step": 1250, "ce_stage2": 0.025404, "ce_full": 0.518813, "loss": 0.025404, "gn2": 0.408703, "lr": 0.00027159, "wall_s": 337.47, "gpu_mem_gb": 9.704}
{"step": 1375, "ce_stage2": 0.029228, "ce_full": 0.523933, "loss": 0.029228, "gn2": 0.102918, "lr": 0.00026438, "wall_s": 371.24, "gpu_mem_gb": 9.704}
{"step": 1500, "ce_stage2": 0.039549, "ce_full": 0.459884, "loss": 0.039549, "gn2": 0.139115, "lr": 0.0002565, "wall_s": 404.98, "gpu_mem_gb": 9.704}
{"step": 1625, "ce_stage2": 0.014444, "ce_full": 0.463077, "loss": 0.014444, "gn2": 0.033359, "lr": 0.00024799, "wall_s": 438.73, "gpu_mem_gb": 9.704}
{"step": 1750, "ce_stage2": 0.023786, "ce_full": 0.602779, "loss": 0.023786, "gn2": 0.082501, "lr": 0.00023891, "wall_s": 472.48, "gpu_mem_gb": 9.704}
{"step": 1875, "ce_stage2": 0.035666, "ce_full": 0.54732, "loss": 0.035666, "gn2": 0.05458, "lr": 0.00022933, "wall_s": 506.24, "gpu_mem_gb": 9.704}
{"step": 2000, "ce_stage2": 0.035652, "ce_full": 0.431475, "loss": 0.035652, "gn2": 0.204334, "lr": 0.00021931, "wall_s": 539.99, "gpu_mem_gb": 9.704}
{"step": 2125, "ce_stage2": 0.05178, "ce_full": 0.546522, "loss": 0.05178, "gn2": 0.12231, "lr": 0.00020892, "wall_s": 573.73, "gpu_mem_gb": 9.704}
{"step": 2250, "ce_stage2": 0.0218, "ce_full": 0.454891, "loss": 0.0218, "gn2": 0.401616, "lr": 0.00019823, "wall_s": 607.49, "gpu_mem_gb": 9.704}
{"step": 2375, "ce_stage2": 0.016162, "ce_full": 0.431393, "loss": 0.016162, "gn2": 0.022332, "lr": 0.00018731, "wall_s": 641.28, "gpu_mem_gb": 9.704}
{"step": 2500, "ce_stage2": 0.016155, "ce_full": 0.386674, "loss": 0.016155, "gn2": 0.007165, "lr": 0.00017624, "wall_s": 675.03, "gpu_mem_gb": 9.704}
{"step": 2625, "ce_stage2": 0.019258, "ce_full": 0.464085, "loss": 0.019258, "gn2": 0.637543, "lr": 0.00016509, "wall_s": 708.74, "gpu_mem_gb": 9.704}
{"step": 2750, "ce_stage2": 0.015131, "ce_full": 0.45556, "loss": 0.015131, "gn2": 0.024006, "lr": 0.00015394, "wall_s": 742.46, "gpu_mem_gb": 9.704}
{"step": 2875, "ce_stage2": 0.014338, "ce_full": 0.430486, "loss": 0.014338, "gn2": 0.022369, "lr": 0.00014287, "wall_s": 776.18, "gpu_mem_gb": 9.704}
{"step": 3000, "ce_stage2": 0.008651, "ce_full": 0.682917, "loss": 0.008651, "gn2": 0.040504, "lr": 0.00013195, "wall_s": 809.86, "gpu_mem_gb": 9.704}
