/workspace/anima/train_carving_dirI.py:269: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce_full": 5.649075, "l_psi_ctl": 0.013449, "l_tension_route": 0.00041, "loss": 5.656004, "gn2": 28.238993, "lr": 7.5e-07, "wall_s": 1.01, "gpu_mem_gb": 7.455}
{"step": 200, "ce_full": 0.558063, "l_psi_ctl": 0.008892, "l_tension_route": 0.001565, "loss": 0.563291, "gn2": 2.892295, "lr": 0.00015, "wall_s": 28.76, "gpu_mem_gb": 9.692}
{"step": 400, "ce_full": 0.108281, "l_psi_ctl": 0.00808, "l_tension_route": 0.000291, "loss": 0.112466, "gn2": 0.939255, "lr": 0.0003, "wall_s": 56.43, "gpu_mem_gb": 9.692}
{"step": 600, "ce_full": 0.030072, "l_psi_ctl": 0.020269, "l_tension_route": 0.001503, "loss": 0.040958, "gn2": 0.081679, "lr": 0.00029954, "wall_s": 84.54, "gpu_mem_gb": 9.692}
{"step": 800, "ce_full": 0.03005, "l_psi_ctl": 0.011794, "l_tension_route": 0.000195, "loss": 0.036045, "gn2": 0.032509, "lr": 0.00029817, "wall_s": 111.73, "gpu_mem_gb": 9.692}
{"step": 1000, "ce_full": 0.02217, "l_psi_ctl": 0.011905, "l_tension_route": 0.000364, "loss": 0.028305, "gn2": 0.031378, "lr": 0.00029588, "wall_s": 138.53, "gpu_mem_gb": 9.692}
{"step": 1200, "ce_full": 0.013137, "l_psi_ctl": 0.018652, "l_tension_route": 0.000142, "loss": 0.022534, "gn2": 0.012883, "lr": 0.0002927, "wall_s": 166.08, "gpu_mem_gb": 9.692}
{"step": 1400, "ce_full": 0.016349, "l_psi_ctl": 0.009415, "l_tension_route": 0.000166, "loss": 0.02114, "gn2": 0.014443, "lr": 0.00028865, "wall_s": 193.45, "gpu_mem_gb": 9.692}
{"step": 1600, "ce_full": 0.015869, "l_psi_ctl": 0.01587, "l_tension_route": 0.001524, "loss": 0.024566, "gn2": 0.012298, "lr": 0.00028376, "wall_s": 221.41, "gpu_mem_gb": 9.692}
{"step": 1800, "ce_full": 0.018399, "l_psi_ctl": 0.004701, "l_tension_route": 3.8e-05, "loss": 0.020769, "gn2": 0.031845, "lr": 0.00027805, "wall_s": 249.03, "gpu_mem_gb": 9.692}
{"step": 2000, "ce_full": 0.014686, "l_psi_ctl": 0.012216, "l_tension_route": 0.001549, "loss": 0.021568, "gn2": 0.098559, "lr": 0.00027157, "wall_s": 276.67, "gpu_mem_gb": 9.692}
{"step": 2200, "ce_full": 0.023214, "l_psi_ctl": 0.014903, "l_tension_route": 0.000438, "loss": 0.030885, "gn2": 0.02614, "lr": 0.00026436, "wall_s": 304.63, "gpu_mem_gb": 9.692}
{"step": 2400, "ce_full": 0.014077, "l_psi_ctl": 0.012338, "l_tension_route": 0.00109, "loss": 0.020791, "gn2": 0.006767, "lr": 0.00025647, "wall_s": 332.3, "gpu_mem_gb": 9.692}
{"step": 2600, "ce_full": 0.010113, "l_psi_ctl": 0.01966, "l_tension_route": 0.000106, "loss": 0.019996, "gn2": 0.005668, "lr": 0.00024796, "wall_s": 359.75, "gpu_mem_gb": 9.692}
{"step": 2800, "ce_full": 0.012003, "l_psi_ctl": 0.013393, "l_tension_route": 0.000129, "loss": 0.018764, "gn2": 0.007107, "lr": 0.00023888, "wall_s": 386.51, "gpu_mem_gb": 9.692}
{"step": 3000, "ce_full": 0.01155, "l_psi_ctl": 0.006099, "l_tension_route": 9.4e-05, "loss": 0.014646, "gn2": 0.003743, "lr": 0.0002293, "wall_s": 413.6, "gpu_mem_gb": 9.692}
{"step": 3200, "ce_full": 0.013402, "l_psi_ctl": 0.014575, "l_tension_route": 0.001865, "loss": 0.021622, "gn2": 0.009145, "lr": 0.00021928, "wall_s": 440.66, "gpu_mem_gb": 9.692}
{"step": 3400, "ce_full": 0.005368, "l_psi_ctl": 0.011881, "l_tension_route": 0.000295, "loss": 0.011455, "gn2": 0.002035, "lr": 0.00020889, "wall_s": 467.32, "gpu_mem_gb": 9.692}
{"step": 3600, "ce_full": 0.009512, "l_psi_ctl": 0.007294, "l_tension_route": 0.00072, "loss": 0.01352, "gn2": 0.007862, "lr": 0.00019819, "wall_s": 494.19, "gpu_mem_gb": 9.692}
