utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
0 %, 4 MiB
89 %, 10129 MiB
92 %, 10129 MiB
93 %, 10129 MiB
92 %, 10129 MiB
90 %, 10129 MiB
90 %, 10129 MiB
93 %, 10129 MiB
92 %, 10129 MiB
92 %, 10129 MiB
93 %, 10129 MiB
88 %, 10129 MiB
91 %, 10129 MiB
92 %, 10129 MiB
90 %, 10129 MiB
93 %, 10129 MiB
93 %, 10129 MiB
93 %, 10129 MiB
90 %, 10129 MiB
93 %, 10129 MiB
94 %, 10129 MiB
94 %, 10129 MiB
91 %, 10129 MiB
92 %, 10129 MiB
92 %, 10129 MiB
92 %, 10129 MiB
92 %, 10129 MiB
92 %, 10129 MiB
90 %, 10129 MiB
90 %, 10129 MiB
91 %, 10129 MiB
92 %, 10129 MiB
91 %, 10129 MiB
