utilization.gpu [%], memory.used [MiB]
0 %, 1 MiB
8 %, 7719 MiB
90 %, 10165 MiB
88 %, 10165 MiB
92 %, 10165 MiB
90 %, 10165 MiB
89 %, 10165 MiB
92 %, 10165 MiB
91 %, 10165 MiB
93 %, 10165 MiB
92 %, 10165 MiB
90 %, 10165 MiB
90 %, 10165 MiB
90 %, 10165 MiB
92 %, 10165 MiB
92 %, 10165 MiB
90 %, 10165 MiB
92 %, 10165 MiB
89 %, 10165 MiB
89 %, 10165 MiB
92 %, 10165 MiB
94 %, 10165 MiB
91 %, 10165 MiB
92 %, 10165 MiB
92 %, 10165 MiB
92 %, 10165 MiB
89 %, 10165 MiB
92 %, 10165 MiB
90 %, 10165 MiB
90 %, 10165 MiB
91 %, 10165 MiB
89 %, 10165 MiB
89 %, 10165 MiB
91 %, 10165 MiB
