utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
88 %, 10135 MiB
87 %, 10135 MiB
87 %, 10135 MiB
84 %, 10135 MiB
91 %, 10135 MiB
90 %, 10135 MiB
86 %, 10135 MiB
91 %, 10135 MiB
91 %, 10135 MiB
87 %, 10135 MiB
89 %, 10135 MiB
88 %, 10135 MiB
89 %, 10135 MiB
91 %, 10135 MiB
89 %, 10135 MiB
92 %, 10135 MiB
91 %, 10135 MiB
90 %, 10135 MiB
93 %, 10135 MiB
90 %, 10135 MiB
87 %, 10135 MiB
91 %, 10135 MiB
88 %, 10135 MiB
91 %, 10135 MiB
87 %, 10135 MiB
91 %, 10135 MiB
89 %, 10135 MiB
92 %, 10135 MiB
92 %, 10135 MiB
91 %, 10135 MiB
90 %, 10135 MiB
93 %, 10135 MiB
90 %, 10135 MiB
88 %, 10135 MiB
88 %, 10135 MiB
90 %, 10135 MiB
93 %, 10135 MiB
91 %, 10135 MiB
91 %, 10135 MiB
92 %, 10135 MiB
88 %, 10135 MiB
89 %, 10135 MiB
90 %, 10135 MiB
93 %, 10135 MiB
91 %, 10135 MiB
88 %, 10135 MiB
93 %, 10135 MiB
91 %, 10135 MiB
91 %, 10135 MiB
88 %, 10135 MiB
