/workspace/anima/train_carving_4path.py:207: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce": 5.647144, "loss": 5.710286, "vac_term": 0.631414, "gn2": 34.708429, "lr": 1.2e-06, "wall_s": 0.49, "gpu_mem_gb": 7.455}
{"step": 125, "ce": 1.067246, "loss": 1.097272, "vac_term": 0.300259, "gn2": 6.091373, "lr": 0.00015, "wall_s": 15.73, "gpu_mem_gb": 9.696}
{"step": 250, "ce": 0.126292, "loss": 0.175804, "vac_term": 0.495112, "gn2": 1.198121, "lr": 0.0003, "wall_s": 31.01, "gpu_mem_gb": 9.696}
{"step": 375, "ce": 0.071454, "loss": 0.117831, "vac_term": 0.463772, "gn2": 0.408327, "lr": 0.00029955, "wall_s": 46.3, "gpu_mem_gb": 9.696}
{"step": 500, "ce": 0.032799, "loss": 0.079085, "vac_term": 0.462859, "gn2": 0.080741, "lr": 0.00029817, "wall_s": 61.62, "gpu_mem_gb": 9.696}
{"step": 625, "ce": 0.024163, "loss": 0.072151, "vac_term": 0.479881, "gn2": 0.054394, "lr": 0.00029589, "wall_s": 76.74, "gpu_mem_gb": 9.696}
{"step": 750, "ce": 0.026905, "loss": 0.075937, "vac_term": 0.490322, "gn2": 0.027468, "lr": 0.00029271, "wall_s": 92.02, "gpu_mem_gb": 9.696}
{"step": 875, "ce": 0.017877, "loss": 0.066348, "vac_term": 0.484709, "gn2": 0.047499, "lr": 0.00028867, "wall_s": 107.37, "gpu_mem_gb": 9.696}
{"step": 1000, "ce": 0.01926, "loss": 0.069679, "vac_term": 0.504191, "gn2": 0.061056, "lr": 0.00028377, "wall_s": 122.69, "gpu_mem_gb": 9.696}
{"step": 1125, "ce": 0.013465, "loss": 0.061207, "vac_term": 0.477422, "gn2": 0.023633, "lr": 0.00027807, "wall_s": 137.93, "gpu_mem_gb": 9.696}
{"step": 1250, "ce": 0.017349, "loss": 0.070372, "vac_term": 0.530236, "gn2": 0.016829, "lr": 0.00027159, "wall_s": 153.31, "gpu_mem_gb": 9.696}
{"step": 1375, "ce": 0.014285, "loss": 0.062399, "vac_term": 0.481136, "gn2": 0.008348, "lr": 0.00026438, "wall_s": 168.7, "gpu_mem_gb": 9.696}
{"step": 1500, "ce": 0.014391, "loss": 0.06641, "vac_term": 0.520198, "gn2": 0.008516, "lr": 0.0002565, "wall_s": 184.06, "gpu_mem_gb": 9.696}
{"step": 1625, "ce": 0.009724, "loss": 0.061964, "vac_term": 0.522399, "gn2": 0.004481, "lr": 0.00024799, "wall_s": 199.44, "gpu_mem_gb": 9.696}
{"step": 1750, "ce": 0.013613, "loss": 0.065674, "vac_term": 0.520613, "gn2": 0.017143, "lr": 0.00023891, "wall_s": 214.81, "gpu_mem_gb": 9.696}
{"step": 1875, "ce": 0.010584, "loss": 0.060259, "vac_term": 0.496743, "gn2": 0.011346, "lr": 0.00022933, "wall_s": 230.18, "gpu_mem_gb": 9.696}
{"step": 2000, "ce": 0.006955, "loss": 0.060461, "vac_term": 0.535062, "gn2": 0.004053, "lr": 0.00021931, "wall_s": 245.56, "gpu_mem_gb": 9.696}
{"step": 2125, "ce": 0.008349, "loss": 0.056583, "vac_term": 0.482337, "gn2": 0.008164, "lr": 0.00020892, "wall_s": 260.95, "gpu_mem_gb": 9.696}
{"step": 2250, "ce": 0.003551, "loss": 0.051278, "vac_term": 0.477269, "gn2": 0.00191, "lr": 0.00019823, "wall_s": 276.42, "gpu_mem_gb": 9.696}
{"step": 2375, "ce": 0.003327, "loss": 0.054472, "vac_term": 0.511454, "gn2": 0.001296, "lr": 0.00018731, "wall_s": 291.86, "gpu_mem_gb": 9.696}
{"step": 2500, "ce": 0.004855, "loss": 0.056758, "vac_term": 0.519029, "gn2": 0.005908, "lr": 0.00017624, "wall_s": 307.24, "gpu_mem_gb": 9.696}
{"step": 2625, "ce": 0.005037, "loss": 0.053671, "vac_term": 0.486341, "gn2": 0.008719, "lr": 0.00016509, "wall_s": 322.71, "gpu_mem_gb": 9.696}
{"step": 2750, "ce": 0.003871, "loss": 0.049799, "vac_term": 0.459287, "gn2": 0.000752, "lr": 0.00015394, "wall_s": 338.14, "gpu_mem_gb": 9.696}
{"step": 2875, "ce": 0.007113, "loss": 0.05899, "vac_term": 0.518773, "gn2": 0.006014, "lr": 0.00014287, "wall_s": 353.56, "gpu_mem_gb": 9.696}
{"step": 3000, "ce": 0.006334, "loss": 0.05497, "vac_term": 0.48636, "gn2": 0.002111, "lr": 0.00013195, "wall_s": 368.96, "gpu_mem_gb": 9.696}
{"step": 3125, "ce": 0.006176, "loss": 0.055699, "vac_term": 0.495236, "gn2": 0.002733, "lr": 0.00012125, "wall_s": 384.35, "gpu_mem_gb": 9.696}
{"step": 3250, "ce": 0.003086, "loss": 0.055307, "vac_term": 0.522206, "gn2": 0.001487, "lr": 0.00011085, "wall_s": 399.65, "gpu_mem_gb": 9.696}
{"step": 3375, "ce": 0.002636, "loss": 0.051086, "vac_term": 0.484505, "gn2": 0.001121, "lr": 0.00010083, "wall_s": 415.0, "gpu_mem_gb": 9.696}
{"step": 3500, "ce": 0.000538, "loss": 0.050886, "vac_term": 0.503481, "gn2": 0.000141, "lr": 9.124e-05, "wall_s": 430.37, "gpu_mem_gb": 9.696}
{"step": 3625, "ce": 0.003173, "loss": 0.053665, "vac_term": 0.504915, "gn2": 0.000626, "lr": 8.215e-05, "wall_s": 445.77, "gpu_mem_gb": 9.696}
{"step": 3750, "ce": 0.001528, "loss": 0.050031, "vac_term": 0.485027, "gn2": 0.00091, "lr": 7.363e-05, "wall_s": 461.15, "gpu_mem_gb": 9.696}
{"step": 3875, "ce": 0.001194, "loss": 0.053467, "vac_term": 0.522736, "gn2": 0.000237, "lr": 6.574e-05, "wall_s": 476.58, "gpu_mem_gb": 9.696}
{"step": 4000, "ce": 0.002587, "loss": 0.049273, "vac_term": 0.46686, "gn2": 0.00082, "lr": 5.852e-05, "wall_s": 491.95, "gpu_mem_gb": 9.696}
{"step": 4125, "ce": 0.002672, "loss": 0.055692, "vac_term": 0.530197, "gn2": 0.000608, "lr": 5.203e-05, "wall_s": 507.38, "gpu_mem_gb": 9.696}
{"step": 4250, "ce": 0.001209, "loss": 0.05317, "vac_term": 0.519617, "gn2": 0.000452, "lr": 4.631e-05, "wall_s": 522.97, "gpu_mem_gb": 9.696}
{"step": 4375, "ce": 0.003637, "loss": 0.051921, "vac_term": 0.482844, "gn2": 0.000676, "lr": 4.141e-05, "wall_s": 538.49, "gpu_mem_gb": 9.696}
{"step": 4500, "ce": 0.003031, "loss": 0.056842, "vac_term": 0.53811, "gn2": 0.000929, "lr": 3.734e-05, "wall_s": 553.93, "gpu_mem_gb": 9.696}
{"step": 4625, "ce": 0.003381, "loss": 0.055451, "vac_term": 0.520694, "gn2": 0.001145, "lr": 3.415e-05, "wall_s": 569.38, "gpu_mem_gb": 9.696}
{"step": 4750, "ce": 0.003574, "loss": 0.052621, "vac_term": 0.49047, "gn2": 0.001116, "lr": 3.186e-05, "wall_s": 584.95, "gpu_mem_gb": 9.696}
{"step": 4875, "ce": 0.002727, "loss": 0.051606, "vac_term": 0.488786, "gn2": 0.000747, "lr": 3.047e-05, "wall_s": 600.57, "gpu_mem_gb": 9.696}
{"step": 5000, "ce": 0.003018, "loss": 0.052351, "vac_term": 0.493329, "gn2": 0.000928, "lr": 3e-05, "wall_s": 616.07, "gpu_mem_gb": 9.696}
RESULT_JSON_WRITTEN
{"path": "alpha", "init_ce": 5.647144, "final_ce": 0.003018, "ce_descent": 5.644126, "wall_s": 616.07, "eternal_delta_max": null, "final_vac_term": 0.493329}
