utilization.gpu [%], memory.used [MiB]
0 %, 1 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
69 %, 10137 MiB
78 %, 10137 MiB
76 %, 10137 MiB
83 %, 10137 MiB
72 %, 10137 MiB
75 %, 10137 MiB
76 %, 10137 MiB
77 %, 10137 MiB
77 %, 10137 MiB
73 %, 10137 MiB
43 %, 10137 MiB
80 %, 10137 MiB
87 %, 10137 MiB
86 %, 10137 MiB
74 %, 10137 MiB
76 %, 10137 MiB
78 %, 10137 MiB
69 %, 10137 MiB
73 %, 10137 MiB
86 %, 10137 MiB
80 %, 10137 MiB
79 %, 10137 MiB
76 %, 10137 MiB
78 %, 10137 MiB
81 %, 10137 MiB
69 %, 10137 MiB
71 %, 10137 MiB
73 %, 10137 MiB
76 %, 10137 MiB
73 %, 10137 MiB
78 %, 10137 MiB
75 %, 10137 MiB
82 %, 10137 MiB
79 %, 10137 MiB
77 %, 10137 MiB
59 %, 10137 MiB
77 %, 10137 MiB
69 %, 10137 MiB
78 %, 10137 MiB
77 %, 10137 MiB
85 %, 10137 MiB
69 %, 10137 MiB
67 %, 10137 MiB
75 %, 10137 MiB
80 %, 10137 MiB
73 %, 10137 MiB
67 %, 10137 MiB
80 %, 10137 MiB
74 %, 10137 MiB
71 %, 10137 MiB
77 %, 10137 MiB
77 %, 10137 MiB
75 %, 10137 MiB
77 %, 10137 MiB
76 %, 10137 MiB
78 %, 10137 MiB
76 %, 10137 MiB
76 %, 10137 MiB
77 %, 10137 MiB
73 %, 10137 MiB
