utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
0 %, 4 MiB
97 %, 27393 MiB
95 %, 27393 MiB
95 %, 27393 MiB
97 %, 27393 MiB
99 %, 27393 MiB
96 %, 27393 MiB
94 %, 27393 MiB
96 %, 27393 MiB
94 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
94 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
99 %, 27393 MiB
99 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
98 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
98 %, 27393 MiB
98 %, 27393 MiB
98 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
96 %, 27393 MiB
97 %, 27393 MiB
99 %, 27393 MiB
98 %, 27393 MiB
96 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
99 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
94 %, 27393 MiB
94 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
94 %, 27393 MiB
95 %, 27393 MiB
95 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
95 %, 27393 MiB
95 %, 27393 MiB
94 %, 27393 MiB
96 %, 27393 MiB
95 %, 27393 MiB
96 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
96 %, 27393 MiB
95 %, 27393 MiB
95 %, 27393 MiB
95 %, 27393 MiB
95 %, 27393 MiB
96 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
99 %, 27393 MiB
97 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
96 %, 27393 MiB
94 %, 27393 MiB
96 %, 27393 MiB
98 %, 27393 MiB
97 %, 27393 MiB
96 %, 27393 MiB
96 %, 27393 MiB
96 %, 27393 MiB
94 %, 27393 MiB
