utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
0 %, 4 MiB
91 %, 10115 MiB
90 %, 10115 MiB
91 %, 10115 MiB
89 %, 10115 MiB
88 %, 10115 MiB
91 %, 10115 MiB
90 %, 10115 MiB
88 %, 10115 MiB
87 %, 10115 MiB
90 %, 10115 MiB
89 %, 10115 MiB
89 %, 10115 MiB
92 %, 10115 MiB
90 %, 10115 MiB
90 %, 10115 MiB
86 %, 10115 MiB
59 %, 10115 MiB
88 %, 10115 MiB
91 %, 10115 MiB
91 %, 10115 MiB
92 %, 10115 MiB
88 %, 10115 MiB
90 %, 10115 MiB
87 %, 10115 MiB
87 %, 10115 MiB
88 %, 10115 MiB
88 %, 10115 MiB
87 %, 10115 MiB
86 %, 10115 MiB
86 %, 10115 MiB
83 %, 10115 MiB
89 %, 10115 MiB
86 %, 10115 MiB
