[§125-FF] device=cuda d_model=768 n_layer=12 steps=3000
[§125-FF] corpus bytes: 298,994,326
[§125-FF] step=     1  L̄=766.5844  g+=1.42  g-=1.42  L_head=767.6829  t=0.8s
[§125-FF] step=    75  L̄=39.5576  g+=748.38  g-=697.30  L_head=493.8383  t=30.6s
[§125-FF] step=   150  L̄=0.2210  g+=925.81  g-=626.63  L_head=9.5976  t=61.3s
[§125-FF] step=   225  L̄=10.0043  g+=804.80  g-=650.75  L_head=0.0004  t=92.0s
[§125-FF] step=   300  L̄=0.3824  g+=884.38  g-=493.44  L_head=0.0031  t=122.7s
[§125-FF] step=   375  L̄=0.0000  g+=907.79  g-=521.52  L_head=34.6358  t=153.1s
[§125-FF] step=   450  L̄=0.0000  g+=903.49  g-=514.13  L_head=0.0000  t=183.7s
[§125-FF] step=   525  L̄=0.0000  g+=886.96  g-=501.38  L_head=0.0000  t=214.1s
[§125-FF] step=   600  L̄=7.1740  g+=882.68  g-=497.13  L_head=0.0000  t=243.9s
[§125-FF] step=   675  L̄=0.0000  g+=889.27  g-=519.70  L_head=0.0000  t=274.0s
[§125-FF] step=   750  L̄=0.0000  g+=875.27  g-=512.13  L_head=0.0000  t=304.1s
[§125-FF] step=   825  L̄=0.0000  g+=893.83  g-=522.39  L_head=10.5700  t=333.7s
[§125-FF] step=   900  L̄=0.0000  g+=867.43  g-=507.61  L_head=0.0068  t=364.2s
[§125-FF] step=   975  L̄=0.0000  g+=883.64  g-=513.77  L_head=0.3832  t=394.4s
[§125-FF] step=  1050  L̄=0.0000  g+=874.44  g-=511.52  L_head=6.4399  t=424.0s
[§125-FF] step=  1125  L̄=0.0000  g+=871.97  g-=505.53  L_head=0.0001  t=454.0s
[§125-FF] step=  1200  L̄=0.0000  g+=871.83  g-=516.46  L_head=0.0008  t=484.5s
[§125-FF] step=  1275  L̄=0.0000  g+=871.28  g-=514.15  L_head=0.0000  t=514.1s
[§125-FF] step=  1350  L̄=0.0000  g+=907.30  g-=536.78  L_head=0.0014  t=544.6s
[§125-FF] step=  1425  L̄=0.0000  g+=908.63  g-=530.38  L_head=0.0000  t=575.2s
[§125-FF] step=  1500  L̄=0.0000  g+=904.71  g-=536.70  L_head=0.0000  t=606.0s
[§125-FF] step=  1575  L̄=0.0000  g+=878.27  g-=516.81  L_head=0.0000  t=636.5s
[§125-FF] step=  1650  L̄=13.6100  g+=860.33  g-=639.12  L_head=1.2200  t=666.5s
[§125-FF] step=  1725  L̄=0.0000  g+=931.14  g-=563.63  L_head=0.0036  t=697.2s
[§125-FF] step=  1800  L̄=11.0433  g+=887.37  g-=512.44  L_head=0.0000  t=728.1s
[§125-FF] step=  1875  L̄=0.0000  g+=931.79  g-=550.72  L_head=0.0000  t=758.8s
[§125-FF] step=  1950  L̄=0.0051  g+=1005.96  g-=575.50  L_head=0.0000  t=789.5s
[§125-FF] step=  2025  L̄=0.0000  g+=941.65  g-=539.58  L_head=0.0000  t=819.9s
[§125-FF] step=  2100  L̄=0.0000  g+=927.49  g-=536.27  L_head=0.0000  t=850.4s
[§125-FF] step=  2175  L̄=0.0000  g+=903.81  g-=519.07  L_head=0.0000  t=881.0s
[§125-FF] step=  2250  L̄=0.0000  g+=920.75  g-=519.88  L_head=0.0000  t=910.9s
[§125-FF] step=  2325  L̄=0.0196  g+=915.74  g-=520.86  L_head=0.0000  t=941.3s
[§125-FF] step=  2400  L̄=0.4922  g+=862.46  g-=493.76  L_head=0.0000  t=972.2s
[§125-FF] step=  2475  L̄=0.2007  g+=874.36  g-=559.10  L_head=10.3718  t=1002.8s
[§125-FF] step=  2550  L̄=0.0000  g+=942.14  g-=542.09  L_head=0.0000  t=1033.2s
[§125-FF] step=  2625  L̄=0.0000  g+=910.45  g-=521.72  L_head=0.0000  t=1063.7s
[§125-FF] step=  2700  L̄=0.8318  g+=895.26  g-=507.43  L_head=0.0000  t=1094.1s
[§125-FF] step=  2775  L̄=0.0000  g+=917.86  g-=531.93  L_head=0.0000  t=1124.8s
[§125-FF] step=  2850  L̄=0.0000  g+=905.60  g-=515.95  L_head=0.0000  t=1155.5s
[§125-FF] step=  2925  L̄=0.0000  g+=881.18  g-=503.11  L_head=0.0000  t=1186.2s
[§125-FF] step=  3000  L̄=0.0000  g+=880.00  g-=508.14  L_head=0.0000  t=1216.9s
[§125-FF] DONE wall=1217.7s ckpt=/workspace/s125r/out_main/ckpt_nonce_ff_s125.pt
