utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
87 %, 12211 MiB
86 %, 12211 MiB
78 %, 12211 MiB
80 %, 12211 MiB
85 %, 12211 MiB
86 %, 12211 MiB
87 %, 12211 MiB
86 %, 12211 MiB
80 %, 12211 MiB
88 %, 12211 MiB
86 %, 12211 MiB
85 %, 12211 MiB
84 %, 12211 MiB
87 %, 12211 MiB
86 %, 12211 MiB
83 %, 12211 MiB
85 %, 12211 MiB
83 %, 12211 MiB
80 %, 12211 MiB
84 %, 12211 MiB
80 %, 12211 MiB
78 %, 12211 MiB
79 %, 12211 MiB
86 %, 12211 MiB
85 %, 12211 MiB
79 %, 12211 MiB
86 %, 12211 MiB
87 %, 12211 MiB
85 %, 12211 MiB
79 %, 12211 MiB
79 %, 12211 MiB
83 %, 12211 MiB
83 %, 12211 MiB
81 %, 12211 MiB
80 %, 12211 MiB
84 %, 12211 MiB
81 %, 12211 MiB
84 %, 12211 MiB
85 %, 12211 MiB
79 %, 12211 MiB
87 %, 12211 MiB
82 %, 12211 MiB
86 %, 12211 MiB
83 %, 12211 MiB
86 %, 12211 MiB
82 %, 12211 MiB
86 %, 12211 MiB
87 %, 12211 MiB
87 %, 12211 MiB
84 %, 12211 MiB
80 %, 12211 MiB
83 %, 12211 MiB
83 %, 12211 MiB
86 %, 12211 MiB
