rule,phi
0,0.0
1,0.192645
2,0.5
3,0.830075
4,0.25
5,0.830075
6,4.98045
7,4.13849
8,0.5
9,6.65037
10,1
11,2.03422
12,0.5
13,2.03422
14,2.03422
15,3
16,0.5
17,0.830075
18,0.0
19,1.26257
20,4.98045
21,4.13849
22,23.2957
23,14.4694
24,5.57519
25,26.5996
26,11.5048
27,17.476
28,10.7591
29,21.342
30,19.434
31,11.6832
32,0.5
33,0.0
34,1
35,0.0
36,5.06541
37,10.2768
38,16.0301
39,12.9598
40,3.57519
41,25.551
42,4.32519
43,15.294
44,13.4457
45,6.29662
46,6.24867
47,8.48786
48,1
49,0.0
50,0.0
51,0.0
52,16.0301
53,12.9598
54,6.70152
55,9.73513
56,7.16924
57,24.9022
58,12.0598
59,10.6731
60,15
61,9.10194
62,9.38507
63,1.60552
64,0.25
65,6.65037
66,4.16015
67,26.4023
68,0.0
69,2.03422
70,10.7591
71,21.342
72,0.0
73,4.52782
74,1.33985
75,2.94354
76,0.420855
77,1.62238
78,1.99511
79,2.48979
80,1
81,2.03422
82,11.5048
83,17.1647
84,2.03422
85,3
86,18.6757
87,11.6832
88,1.33985
89,2.94354
90,0.0
91,1.80748
92,1.99511
93,2.48979
94,1.35561
95,1.81595
96,3.57519
97,25.551
98,7.16924
99,24.9022
100,13.4457
101,6.29662
102,15
103,8.77795
104,5.20251
105,8
106,7.01892
107,7.67647
108,3.22339
109,2.86985
110,7.86717
111,7.53352
112,4.32519
113,15.0158
114,12.4748
115,10.6731
116,6.40963
117,8.48786
118,8.38898
119,1.60552
120,6.92243
121,7.01241
122,2.1653
123,2.17442
124,7.70115
125,7.53352
126,2.11495
127,1.40776
128,0.25
129,10
130,9.5
131,16.8804
132,0.0
133,6.58306
134,12.7499
135,8.62083
136,1
137,19.0769
138,3.18459
139,8.84323
140,4.56541
141,11.7123
142,15.0158
143,9.97892
144,9.5
145,16.8804
146,12.9574
147,5.97654
148,12.5424
149,8.62083
150,4
151,6.94071
152,31.6797
153,17.5
154,19.364
155,10.1016
156,24.9022
157,16.1512
158,8.59556
159,7.78878
160,1
161,2.28852
162,2.25
163,2.47131
164,2.91108
165,0.0
166,3.75527
167,1.95177
168,4.14385
169,25.5447
170,3
171,1.62737
172,17.3045
173,9.71765
174,1.62737
175,0.553383
176,2.25
177,2.47131
178,1.62238
179,0.588084
180,3.75527
181,1.62479
182,1.58417
183,0.631283
184,21.7103
185,14.7187
186,1.62737
187,0.0
188,11.8068
189,3.25545
190,1.75238
191,0.424
192,1
193,19.0769
194,31.6797
195,17.5
196,4.56541
197,11.1807
198,24.9022
199,17.1473
200,0.0
201,14.2836
202,11.8539
203,6.78997
204,0.0
205,0.0
206,0.0
207,0.553383
208,3.18459
209,8.84323
210,19.364
211,8.77153
212,15.294
213,9.97892
214,7.96366
215,7.78878
216,11.8539
217,7.28878
218,7.1485
219,1.92201
220,0.0
221,0.553383
222,0.420855
223,0.534083
224,4.14385
225,25.5447
226,21.7103
227,14.5526
228,16.9234
229,9.86728
230,12.9287
231,2.44117
232,14.4694
233,18.0718
234,3.92716
235,3.78145
236,1.76425
237,0.420855
238,0.553383
239,0.220166
240,3
241,1.62737
242,1.62737
243,0.276692
244,1.62737
245,0.553383
246,1.75238
247,0.743362
248,3.92716
249,3.78145
250,0.553383
251,0.110083
252,0.553383
253,0.220166
254,0.110083
255,0.0
