rule,bigphi,lz,proxy_var,proxy_spatial,state_var,excess,diss
0,0.0,0.128788,0.117539,0.0,0.0146924,0.0,2.75966
30,19.434,0.166667,0.0,0.0,0.0,0.0,0.433217
51,0.0,0.25,0.0,0.0,0.24977,0.0,0.0
60,15,0.143939,0.573003,0.0,0.0431589,0.135942,0.693147
90,0.0,0.128788,0.117539,0.0,0.0146924,0.0,1.38629
105,8,0.25,0.0,0.0,0.24977,0.0,0.0
110,7.86717,0.143939,0.573003,0.0,0.0431589,0.135942,0.51986
150,4,0.166667,0.0,0.0,0.0,0.0,0.0
204,0.0,0.166667,0.0,0.0,0.0,0.0,0.0
255,0.0,0.128788,0.117539,0.0,0.0146924,0.0,2.75966
