/workspace/s59/w_native_ptd.py:364: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce_full": 5.640987, "psi_dir": 0.504966, "psi_entropy": 0.93908, "tension": 0.262593, "phi": 0.035845, "curiosity_ema": 0.0, "w_native_err": null, "wall_s": 0.63, "gpu_mem_gb": 7.486}
{"step": 4, "ce_full": 5.531353, "psi_dir": 0.508582, "psi_entropy": 0.924283, "tension": 0.263615, "phi": 0.044002, "curiosity_ema": 0.04495057, "w_native_err": 0.44950566, "wall_s": 0.97, "gpu_mem_gb": 9.738}
{"step": 8, "ce_full": 5.140404, "psi_dir": 0.529863, "psi_entropy": 0.850273, "tension": 0.27035, "phi": 0.062081, "curiosity_ema": 0.07779049, "w_native_err": 0.37334982, "wall_s": 1.36, "gpu_mem_gb": 9.738}
{"step": 12, "ce_full": 4.630636, "psi_dir": 0.563707, "psi_entropy": 0.698589, "tension": 0.2917, "phi": 0.116267, "curiosity_ema": 0.09996901, "w_native_err": 0.29957566, "wall_s": 1.74, "gpu_mem_gb": 9.738}
{"step": 16, "ce_full": 4.309807, "psi_dir": 0.583159, "psi_entropy": 0.786124, "tension": 0.316984, "phi": 0.173275, "curiosity_ema": 0.12354774, "w_native_err": 0.33575636, "wall_s": 2.12, "gpu_mem_gb": 9.738}
{"step": 20, "ce_full": 4.142982, "psi_dir": 0.583938, "psi_entropy": 0.755122, "tension": 0.331032, "phi": 0.22362, "curiosity_ema": 0.14219035, "w_native_err": 0.30997381, "wall_s": 2.5, "gpu_mem_gb": 9.738}
{"step": 24, "ce_full": 3.849614, "psi_dir": 0.574221, "psi_entropy": 0.735992, "tension": 0.327927, "phi": 0.226764, "curiosity_ema": 0.15616762, "w_native_err": 0.28196308, "wall_s": 2.88, "gpu_mem_gb": 9.738}
{"step": 28, "ce_full": 3.61305, "psi_dir": 0.564629, "psi_entropy": 0.629591, "tension": 0.325221, "phi": 0.239501, "curiosity_ema": 0.16233629, "w_native_err": 0.21785429, "wall_s": 3.26, "gpu_mem_gb": 9.738}
{"step": 32, "ce_full": 3.433531, "psi_dir": 0.565616, "psi_entropy": 0.566814, "tension": 0.327469, "phi": 0.274516, "curiosity_ema": 0.16495541, "w_native_err": 0.18852745, "wall_s": 3.64, "gpu_mem_gb": 9.738}
{"step": 36, "ce_full": 3.194724, "psi_dir": 0.563361, "psi_entropy": 0.612379, "tension": 0.339296, "phi": 0.29695, "curiosity_ema": 0.16768038, "w_native_err": 0.19220515, "wall_s": 4.02, "gpu_mem_gb": 9.738}
{"step": 40, "ce_full": 2.913564, "psi_dir": 0.577037, "psi_entropy": 0.5602, "tension": 0.360249, "phi": 0.355593, "curiosity_ema": 0.16766236, "w_native_err": 0.16750018, "wall_s": 4.4, "gpu_mem_gb": 9.738}
{"step": 44, "ce_full": 2.761812, "psi_dir": 0.572854, "psi_entropy": 0.509131, "tension": 0.369872, "phi": 0.382711, "curiosity_ema": 0.16660275, "w_native_err": 0.15706629, "wall_s": 4.77, "gpu_mem_gb": 9.738}
{"step": 48, "ce_full": 2.65184, "psi_dir": 0.580645, "psi_entropy": 0.548617, "tension": 0.382935, "phi": 0.42176, "curiosity_ema": 0.16627354, "w_native_err": 0.16331066, "wall_s": 5.15, "gpu_mem_gb": 9.738}
{"step": 52, "ce_full": 2.572242, "psi_dir": 0.581437, "psi_entropy": 0.467975, "tension": 0.387632, "phi": 0.433848, "curiosity_ema": 0.16283549, "w_native_err": 0.13189304, "wall_s": 5.53, "gpu_mem_gb": 9.738}
{"step": 56, "ce_full": 2.352825, "psi_dir": 0.568553, "psi_entropy": 0.449176, "tension": 0.395608, "phi": 0.4543, "curiosity_ema": 0.15905946, "w_native_err": 0.12507513, "wall_s": 5.91, "gpu_mem_gb": 9.738}
{"step": 60, "ce_full": 2.328038, "psi_dir": 0.579977, "psi_entropy": 0.418912, "tension": 0.404448, "phi": 0.49446, "curiosity_ema": 0.15478075, "w_native_err": 0.11627243, "wall_s": 6.29, "gpu_mem_gb": 9.738}
{"step": 64, "ce_full": 2.277284, "psi_dir": 0.571397, "psi_entropy": 0.461459, "tension": 0.409536, "phi": 0.52745, "curiosity_ema": 0.15136493, "w_native_err": 0.12062247, "wall_s": 6.67, "gpu_mem_gb": 9.738}
{"step": 68, "ce_full": 2.180938, "psi_dir": 0.565437, "psi_entropy": 0.466073, "tension": 0.41262, "phi": 0.535729, "curiosity_ema": 0.14663852, "w_native_err": 0.10410092, "wall_s": 7.05, "gpu_mem_gb": 9.738}
{"step": 72, "ce_full": 2.157658, "psi_dir": 0.569563, "psi_entropy": 0.424441, "tension": 0.419654, "phi": 0.571819, "curiosity_ema": 0.14114724, "w_native_err": 0.0917257, "wall_s": 7.43, "gpu_mem_gb": 9.738}
{"step": 76, "ce_full": 1.999225, "psi_dir": 0.573962, "psi_entropy": 0.440191, "tension": 0.416954, "phi": 0.559905, "curiosity_ema": 0.13568547, "w_native_err": 0.08652951, "wall_s": 7.81, "gpu_mem_gb": 9.738}
{"step": 80, "ce_full": 2.073106, "psi_dir": 0.579066, "psi_entropy": 0.396077, "tension": 0.420166, "phi": 0.592951, "curiosity_ema": 0.12954329, "w_native_err": 0.07426365, "wall_s": 8.19, "gpu_mem_gb": 9.738}
{"step": 84, "ce_full": 1.916259, "psi_dir": 0.58636, "psi_entropy": 0.3992, "tension": 0.420637, "phi": 0.59771, "curiosity_ema": 0.12373633, "w_native_err": 0.07147373, "wall_s": 8.57, "gpu_mem_gb": 9.738}
{"step": 88, "ce_full": 1.874006, "psi_dir": 0.579324, "psi_entropy": 0.402014, "tension": 0.425182, "phi": 0.613104, "curiosity_ema": 0.11777803, "w_native_err": 0.06415331, "wall_s": 8.96, "gpu_mem_gb": 9.738}
{"step": 92, "ce_full": 1.901445, "psi_dir": 0.579546, "psi_entropy": 0.356693, "tension": 0.426365, "phi": 0.614621, "curiosity_ema": 0.11116279, "w_native_err": 0.0516257, "wall_s": 9.33, "gpu_mem_gb": 9.738}
{"step": 96, "ce_full": 1.972259, "psi_dir": 0.57719, "psi_entropy": 0.361318, "tension": 0.429974, "phi": 0.639937, "curiosity_ema": 0.10521728, "w_native_err": 0.05170764, "wall_s": 9.71, "gpu_mem_gb": 9.738}
{"step": 100, "ce_full": 1.710912, "psi_dir": 0.576046, "psi_entropy": 0.357702, "tension": 0.424493, "phi": 0.580686, "curiosity_ema": 0.09824128, "w_native_err": 0.03545732, "wall_s": 10.09, "gpu_mem_gb": 9.738}
{"step": 104, "ce_full": 1.732588, "psi_dir": 0.559135, "psi_entropy": 0.320375, "tension": 0.42527, "phi": 0.573379, "curiosity_ema": 0.09101467, "w_native_err": 0.02597512, "wall_s": 10.47, "gpu_mem_gb": 9.738}
{"step": 108, "ce_full": 1.507204, "psi_dir": 0.559151, "psi_entropy": 0.331348, "tension": 0.431031, "phi": 0.574852, "curiosity_ema": 0.08430899, "w_native_err": 0.02395788, "wall_s": 10.85, "gpu_mem_gb": 9.738}
{"step": 112, "ce_full": 1.552266, "psi_dir": 0.553189, "psi_entropy": 0.264997, "tension": 0.430376, "phi": 0.556632, "curiosity_ema": 0.07736745, "w_native_err": 0.01489358, "wall_s": 11.24, "gpu_mem_gb": 9.738}
{"step": 116, "ce_full": 1.499574, "psi_dir": 0.552994, "psi_entropy": 0.259068, "tension": 0.430016, "phi": 0.534284, "curiosity_ema": 0.07091462, "w_native_err": 0.01283915, "wall_s": 11.62, "gpu_mem_gb": 9.738}
{"step": 120, "ce_full": 1.303477, "psi_dir": 0.566317, "psi_entropy": 0.242846, "tension": 0.43711, "phi": 0.534144, "curiosity_ema": 0.06494252, "w_native_err": 0.01119367, "wall_s": 12.0, "gpu_mem_gb": 9.738}
{"step": 124, "ce_full": 1.170618, "psi_dir": 0.583669, "psi_entropy": 0.226704, "tension": 0.437588, "phi": 0.515278, "curiosity_ema": 0.05933169, "w_native_err": 0.00883416, "wall_s": 12.38, "gpu_mem_gb": 9.738}
{"step": 128, "ce_full": 1.139745, "psi_dir": 0.583394, "psi_entropy": 0.258996, "tension": 0.439103, "phi": 0.495245, "curiosity_ema": 0.05409997, "w_native_err": 0.00701453, "wall_s": 12.76, "gpu_mem_gb": 9.738}
{"step": 132, "ce_full": 1.207329, "psi_dir": 0.574414, "psi_entropy": 0.217844, "tension": 0.44403, "phi": 0.49582, "curiosity_ema": 0.04911913, "w_native_err": 0.00429161, "wall_s": 13.15, "gpu_mem_gb": 9.738}
{"step": 136, "ce_full": 1.143586, "psi_dir": 0.565465, "psi_entropy": 0.198212, "tension": 0.448371, "phi": 0.48007, "curiosity_ema": 0.04453978, "w_native_err": 0.00332555, "wall_s": 13.53, "gpu_mem_gb": 9.738}
{"step": 140, "ce_full": 1.047074, "psi_dir": 0.554749, "psi_entropy": 0.217773, "tension": 0.449583, "phi": 0.455083, "curiosity_ema": 0.04030168, "w_native_err": 0.00215877, "wall_s": 13.91, "gpu_mem_gb": 9.738}
{"step": 144, "ce_full": 0.983236, "psi_dir": 0.544357, "psi_entropy": 0.168336, "tension": 0.454541, "phi": 0.459413, "curiosity_ema": 0.03657167, "w_native_err": 0.00300166, "wall_s": 14.29, "gpu_mem_gb": 9.738}
{"step": 148, "ce_full": 1.119238, "psi_dir": 0.563709, "psi_entropy": 0.259604, "tension": 0.46234, "phi": 0.468065, "curiosity_ema": 0.03319223, "w_native_err": 0.00277727, "wall_s": 14.67, "gpu_mem_gb": 9.738}
{"step": 152, "ce_full": 0.904007, "psi_dir": 0.573287, "psi_entropy": 0.195131, "tension": 0.468518, "phi": 0.470349, "curiosity_ema": 0.0301147, "w_native_err": 0.00241694, "wall_s": 15.06, "gpu_mem_gb": 9.738}
{"step": 156, "ce_full": 0.797287, "psi_dir": 0.595664, "psi_entropy": 0.201728, "tension": 0.469732, "phi": 0.453205, "curiosity_ema": 0.02731265, "w_native_err": 0.00209417, "wall_s": 15.45, "gpu_mem_gb": 9.738}
{"step": 160, "ce_full": 0.847049, "psi_dir": 0.588414, "psi_entropy": 0.198619, "tension": 0.483454, "phi": 0.475847, "curiosity_ema": 0.0248191, "w_native_err": 0.00237714, "wall_s": 15.83, "gpu_mem_gb": 9.738}
