0 %, 595 MiB, 114.41 W
0 %, 595 MiB, 114.43 W
0 %, 1189 MiB, 113.43 W
0 %, 1189 MiB, 111.48 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.61 W
0 %, 1189 MiB, 110.64 W
0 %, 1187 MiB, 110.65 W
0 %, 1191 MiB, 110.55 W
0 %, 1191 MiB, 110.50 W
0 %, 1191 MiB, 110.50 W
0 %, 1189 MiB, 110.57 W
0 %, 1189 MiB, 110.58 W
0 %, 1187 MiB, 110.62 W
1 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.57 W
0 %, 1191 MiB, 110.58 W
0 %, 1191 MiB, 110.58 W
0 %, 1191 MiB, 110.60 W
0 %, 1191 MiB, 110.64 W
0 %, 1191 MiB, 110.65 W
0 %, 1189 MiB, 110.62 W
0 %, 1189 MiB, 110.64 W
0 %, 1187 MiB, 110.63 W
1 %, 1191 MiB, 110.61 W
0 %, 1191 MiB, 110.63 W
0 %, 1191 MiB, 110.63 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.54 W
0 %, 1187 MiB, 110.50 W
0 %, 1187 MiB, 110.49 W
0 %, 1187 MiB, 110.47 W
0 %, 1187 MiB, 110.49 W
0 %, 1187 MiB, 110.54 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.58 W
0 %, 1187 MiB, 110.55 W
0 %, 1187 MiB, 110.53 W
0 %, 1187 MiB, 110.56 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.62 W
0 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.68 W
0 %, 1187 MiB, 110.65 W
0 %, 1187 MiB, 110.67 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.72 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.74 W
0 %, 1187 MiB, 110.80 W
0 %, 1187 MiB, 110.70 W
0 %, 1187 MiB, 110.65 W
0 %, 1187 MiB, 110.68 W
0 %, 1187 MiB, 110.67 W
0 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.71 W
0 %, 1187 MiB, 110.75 W
0 %, 1187 MiB, 110.71 W
0 %, 1187 MiB, 110.77 W
0 %, 1187 MiB, 110.79 W
0 %, 1187 MiB, 110.72 W
