[§126-PCN] device=cuda d_model=768 n_layer=12 steps=3000
[§126-PCN] corpus bytes: 298,994,326
[§126-PCN] step=     1  L̄_block=0.320908  L_head=0.003895  t=1.0s
[§126-PCN] step=    75  L̄_block=0.008107  L_head=0.003893  t=45.7s
[§126-PCN] step=   150  L̄_block=0.002044  L_head=0.003884  t=91.1s
[§126-PCN] step=   225  L̄_block=0.000856  L_head=0.003868  t=136.4s
[§126-PCN] step=   300  L̄_block=0.000372  L_head=0.003791  t=181.7s
[§126-PCN] step=   375  L̄_block=0.000384  L_head=0.003785  t=227.1s
[§126-PCN] step=   450  L̄_block=0.000042  L_head=0.003777  t=272.4s
[§126-PCN] step=   525  L̄_block=0.000026  L_head=0.003778  t=317.7s
[§126-PCN] step=   600  L̄_block=0.000015  L_head=0.003768  t=363.0s
[§126-PCN] step=   675  L̄_block=0.000011  L_head=0.003772  t=408.3s
[§126-PCN] step=   750  L̄_block=0.000011  L_head=0.003773  t=453.7s
[§126-PCN] step=   825  L̄_block=0.000008  L_head=0.003781  t=499.0s
[§126-PCN] step=   900  L̄_block=0.000008  L_head=0.003779  t=544.4s
[§126-PCN] step=   975  L̄_block=0.000006  L_head=0.003771  t=589.8s
[§126-PCN] step=  1050  L̄_block=0.000006  L_head=0.003776  t=635.1s
[§126-PCN] step=  1125  L̄_block=0.000004  L_head=0.003775  t=680.5s
[§126-PCN] step=  1200  L̄_block=0.000004  L_head=0.003770  t=725.9s
[§126-PCN] step=  1275  L̄_block=0.000004  L_head=0.003778  t=771.2s
[§126-PCN] step=  1350  L̄_block=0.000003  L_head=0.003774  t=816.6s
[§126-PCN] step=  1425  L̄_block=0.000003  L_head=0.003774  t=862.0s
[§126-PCN] step=  1500  L̄_block=0.000004  L_head=0.003771  t=907.4s
[§126-PCN] step=  1575  L̄_block=0.000003  L_head=0.003779  t=952.7s
[§126-PCN] step=  1650  L̄_block=0.000003  L_head=0.003779  t=998.1s
[§126-PCN] step=  1725  L̄_block=0.000002  L_head=0.003773  t=1043.5s
[§126-PCN] step=  1800  L̄_block=0.000003  L_head=0.003779  t=1088.8s
[§126-PCN] step=  1875  L̄_block=0.000004  L_head=0.003781  t=1134.2s
[§126-PCN] step=  1950  L̄_block=0.000003  L_head=0.003776  t=1179.6s
[§126-PCN] step=  2025  L̄_block=0.000002  L_head=0.003772  t=1224.9s
[§126-PCN] step=  2100  L̄_block=0.000002  L_head=0.003776  t=1270.3s
[§126-PCN] step=  2175  L̄_block=0.000002  L_head=0.003778  t=1315.7s
[§126-PCN] step=  2250  L̄_block=0.000002  L_head=0.003773  t=1361.0s
[§126-PCN] step=  2325  L̄_block=0.000002  L_head=0.003782  t=1406.4s
[§126-PCN] step=  2400  L̄_block=0.000002  L_head=0.003777  t=1451.8s
[§126-PCN] step=  2475  L̄_block=0.000002  L_head=0.003772  t=1497.2s
[§126-PCN] step=  2550  L̄_block=0.000002  L_head=0.003770  t=1542.6s
[§126-PCN] step=  2625  L̄_block=0.000002  L_head=0.003774  t=1587.9s
[§126-PCN] step=  2700  L̄_block=0.000001  L_head=0.003769  t=1633.3s
[§126-PCN] step=  2775  L̄_block=0.000001  L_head=0.003772  t=1678.7s
[§126-PCN] step=  2850  L̄_block=0.000002  L_head=0.003779  t=1724.0s
[§126-PCN] step=  2925  L̄_block=0.000001  L_head=0.003773  t=1769.4s
[§126-PCN] step=  3000  L̄_block=0.000001  L_head=0.003769  t=1814.8s
[§126-PCN] DONE wall=1815.5s ckpt=/workspace/s126r/out_main/ckpt_pcn_s126.pt
