VCD info: dumpfile state/strange_loop.vcd opened for output.
[F-HW-SL-1] cycle=0 state=29cbb8 (expect 29CBB8)
PASS F-HW-SL-1
[F-HW-SL-1 substantive] reset seed verified
[cycle=1] state=8e371c
[cycle=2] state=924924
[cycle=3] state=249249
[cycle=4] state=492492
[cycle=5] state=249249
[cycle=6] state=492492
[cycle=7] state=249249
[cycle=8] state=492492
[cycle=9] state=249249
[cycle=10] state=492492
[cycle=11] state=249249
[cycle=12] state=492492
[cycle=13] state=249249
[cycle=14] state=492492
[cycle=15] state=249249
[cycle=16] state=492492
[cycle=17] state=249249
[cycle=18] state=492492
[cycle=19] state=249249
[cycle=20] state=492492
[cycle=21] state=249249
[cycle=22] state=492492
[cycle=23] state=249249
[cycle=24] state=492492
[cycle=25] state=249249
[cycle=26] state=492492
[cycle=27] state=249249
[cycle=28] state=492492
[cycle=29] state=249249
[cycle=30] state=492492
[cycle=31] state=249249
[cycle=32] state=492492
[cycle=33] state=249249
[cycle=34] state=492492
[cycle=35] state=249249
[cycle=36] state=492492
[cycle=37] state=249249
[cycle=38] state=492492
[cycle=39] state=249249
[cycle=40] state=492492
[cycle=41] state=249249
[cycle=42] state=492492
[cycle=43] state=249249
[cycle=44] state=492492
[cycle=45] state=249249
[cycle=46] state=492492
[cycle=47] state=249249
[cycle=48] state=492492
[cycle=49] state=249249
[cycle=50] state=492492
[cycle=51] state=249249
[cycle=52] state=492492
[cycle=53] state=249249
[cycle=54] state=492492
[cycle=55] state=249249
[cycle=56] state=492492
[cycle=57] state=249249
[cycle=58] state=492492
[cycle=59] state=249249
[cycle=60] state=492492
[cycle=61] state=249249
[cycle=62] state=492492
[cycle=63] state=249249
[cycle=64] state=492492
[cycle=65] state=249249
[cycle=66] state=492492
[cycle=67] state=249249
[cycle=68] state=492492
[cycle=69] state=249249
[cycle=70] state=492492
[cycle=71] state=249249
[cycle=72] state=492492
[cycle=73] state=249249
[cycle=74] state=492492
[cycle=75] state=249249
[cycle=76] state=492492
[cycle=77] state=249249
[cycle=78] state=492492
[cycle=79] state=249249
[cycle=80] state=492492
[cycle=81] state=249249
[cycle=82] state=492492
[cycle=83] state=249249
[cycle=84] state=492492
[cycle=85] state=249249
[cycle=86] state=492492
[cycle=87] state=249249
[cycle=88] state=492492
[cycle=89] state=249249
[cycle=90] state=492492
[cycle=91] state=249249
[cycle=92] state=492492
[cycle=93] state=249249
[cycle=94] state=492492
[cycle=95] state=249249
[cycle=96] state=492492
[cycle=97] state=249249
[cycle=98] state=492492
[cycle=99] state=249249
[cycle=100] state=492492
[DONE] final step=100 state=492492
/Users/ghost/core/anima/anima-physics/hw/strange_loop_ice40/src/strange_loop_tb.v:56: $finish called at 1025000 (1ps)
