timestamp_s,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
0.000000,27060.810547,-1231.670532,-3019.877197,-632.286133,-1471.370605,9788.879883,18393.921875,3376.722656,-20523.662109,-32957.019531,-21073.582031,-35320.316406,-41647.335938,-32446.552734,-23584.845703,-29896.910156
0.008000,54120.167969,-2466.090332,-6040.559082,-1262.158325,-2943.143555,19599.507812,36800.714844,6816.879883,-40885.675781,-66692.578125,-42940.832031,-69637.460938,-82781.023438,-66465.882812,-46931.109375,-61359.496094
0.016000,54122.828125,-2466.157471,-6043.889160,-1267.008667,-2947.546875,19583.816406,36790.949219,6822.870117,-40885.140625,-66689.000000,-42919.214844,-69636.320312,-82786.906250,-66462.132812,-46914.968750,-61246.328125
0.024000,54127.988281,-2457.037842,-6041.788086,-1267.008667,-2942.473145,19592.242188,36795.621094,6800.250000,-40886.300781,-66694.835938,-42941.031250,-69630.601562,-82782.257812,-66471.984375,-46937.187500,-61360.007812
0.032000,54122.984375,-2458.580078,-6042.727051,-1261.867676,-2946.697510,19585.224609,36798.460938,6835.275391,-40886.371094,-66676.617188,-42917.203125,-69627.070312,-82788.828125,-66466.375000,-46918.031250,-61253.660156
0.040000,54122.761719,-2460.234131,-6042.727051,-1262.113647,-2944.417725,19588.197266,36797.675781,6787.263672,-40888.312500,-66696.976562,-42943.175781,-69631.671875,-82785.476562,-66475.046875,-46938.082031,-61357.015625
0.048000,54124.437500,-2462.134033,-6049.164551,-1266.673340,-2947.323486,19588.621094,36793.652344,6845.624023,-40887.753906,-66687.031250,-42917.808594,-69631.789062,-82791.734375,-66469.546875,-46916.691406,-61259.246094
0.056000,54117.777344,-2461.441162,-6048.493652,-1264.348755,-2946.116455,19582.542969,36790.300781,6770.857422,-40887.105469,-66691.054688,-42947.355469,-69631.609375,-82785.679688,-66472.812500,-46933.277344,-61349.125000
0.064000,54121.351562,-2457.350830,-6042.503418,-1261.621826,-2942.785889,19593.695312,36797.832031,6858.520996,-40886.167969,-66681.421875,-42918.613281,-69636.812500,-82788.406250,-66467.312500,-46917.628906,-61265.304688
0.072000,54118.265625,-2458.602539,-6046.213867,-1265.354614,-2942.540039,19579.345703,36786.636719,6763.928223,-40885.812500,-66699.375000,-42946.507812,-69628.007812,-82783.640625,-66479.632812,-46934.750000,-61337.613281
0.080000,54121.464844,-2459.719971,-6043.375488,-1262.538330,-2942.048340,19596.421875,36798.546875,6869.003906,-40887.175781,-66685.312500,-42924.179688,-69628.078125,-82790.640625,-66469.906250,-46919.820312,-61279.050781
0.088000,54116.324219,-2458.200195,-6049.298340,-1262.180664,-2943.434082,19576.306641,36783.238281,6757.513672,-40890.550781,-66691.593750,-42948.183594,-69628.726562,-82790.101562,-66474.625000,-46938.195312,-61328.738281
0.096000,54120.816406,-2453.819092,-6040.469727,-1260.839600,-2940.528564,19599.910156,36800.070312,6871.730957,-40888.292969,-66681.960938,-42927.531250,-69626.843750,-82790.523438,-66469.617188,-46919.082031,-61294.941406
0.104000,54111.828125,-2456.702637,-6045.565918,-1261.465454,-2939.187256,19576.238281,36783.707031,6750.606934,-40887.308594,-66692.328125,-42945.500000,-69632.992188,-82787.507812,-66476.210938,-46934.640625,-61316.421875
0.112000,54118.601562,-2454.780273,-6042.503418,-1254.759888,-2940.506104,19601.406250,36797.585938,6872.289551,-40887.195312,-66685.242188,-42929.968750,-69636.304688,-82787.039062,-66466.289062,-46915.531250,-61311.281250
0.120000,54111.898438,-2457.797852,-6045.431641,-1261.398315,-2948.910400,19572.685547,36777.226562,6756.485352,-40893.074219,-66693.757812,-42945.367188,-69625.859375,-82795.484375,-66476.257812,-46932.785156,-61299.054688
0.128000,54119.964844,-2452.343994,-6034.501465,-1258.179688,-2941.534180,19604.849609,36798.636719,6873.854492,-40894.171875,-66679.656250,-42935.421875,-69622.601562,-82794.078125,-66466.375000,-46927.062500,-61321.632812
0.136000,54106.128906,-2454.311035,-6037.675781,-1264.862915,-2944.641113,19572.193359,36775.707031,6753.847656,-40899.355469,-66687.992188,-42939.871094,-69629.773438,-82792.601562,-66474.179688,-46937.746094,-61289.511719
0.144000,54124.859375,-2445.012695,-6024.845703,-1257.129150,-2934.962891,19604.759766,36805.007812,6863.572754,-40897.277344,-66682.828125,-42932.628906,-69632.367188,-82794.281250,-66472.789062,-46928.941406,-61350.039062
0.152000,54115.382812,-2451.807617,-6035.038086,-1261.979492,-2942.048340,19574.986328,36781.046875,6769.181152,-40897.859375,-66689.960938,-42930.480469,-69629.882812,-82795.195312,-66475.765625,-46935.332031,-61278.917969
0.160000,54127.765625,-2446.264404,-6025.985840,-1258.269043,-2934.001709,19607.957031,36805.074219,6861.381836,-40899.066406,-66691.281250,-42938.484375,-69638.046875,-82792.781250,-66477.421875,-46932.250000,-61350.957031
0.168000,54113.976562,-2458.490723,-6038.927246,-1267.120361,-2944.797607,19572.349609,36775.792969,6775.350098,-40900.832031,-66690.320312,-42932.695312,-69627.468750,-82795.218750,-66475.921875,-46930.324219,-61268.500000
