roi;name;aal_code;x_mni;y_mni;z_mni
1;L Precentral Gyrus;2001;-38.930;-6.961;49.640
2;R Precentral Gyrus;2002;41.101;-9.550;50.810
3;L Superior Frontal Gyrus;2101;-18.773;33.490;40.954
4;R Superior Frontal Gyrus;2102;21.603;29.910;42.504
5;L Superior Orbital Gyrus;2111;-16.825;45.919;-14.719
6;R Superior Orbital Gyrus;2112;18.179;46.618;-15.494
7;L Middle Frontal Gyrus;2201;-33.759;31.489;34.131
8;R Middle Frontal Gyrus;2202;37.392;31.751;32.814
9;L Middle Orbital Gyrus;2211;-30.885;49.142;-10.986
10;R Middle Orbital Gyrus;2212;32.895;51.275;-12.142
11;L IFG (p. Opercularis);2301;-48.796;11.491;17.802
12;R IFG (p. Opercularis);2302;49.927;13.675;20.196
13;L IFG (p. Triangularis);2311;-45.890;28.667;12.583
14;R IFG (p. Triangularis);2312;50.061;28.902;12.817
15;L IFG (p. Orbitalis);2321;-36.240;29.492;-13.459
16;R IFG (p. Orbitalis);2322;40.910;30.995;-13.258
17;L Rolandic Operculum;2331;-47.406;-9.776;12.638
18;R Rolandic Operculum;2332;52.382;-7.537;13.330
19;L Posterior-Medial Frontal;2401;-5.691;3.550;60.064
20;R Posterior-Medial Frontal;2402;8.246;-1.093;60.513
21;L Olfactory cortex;2501;-8.264;13.864;-12.686
22;R Olfactory cortex;2502;10.125;14.664;-12.561
23;L Superior Medial Gyrus;2601;-5.174;47.887;29.636
24;R Superior Medial Gyrus;2602;8.751;49.529;28.927
25;L Mid Orbital Gyrus;2611;-5.438;52.517;-8.857
26;R Mid Orbital Gyrus;2612;7.834;50.407;-8.516
27;L Rectal Gyrus;2701;-5.441;35.707;-19.568
28;R Rectal Gyrus;2702;8.003;34.451;-19.436
29;L Insula Lobe;3001;-35.410;5.440;2.172
30;R Insula Lobe;3002;38.722;5.020;0.814
31;L Cingulum Ant;4001;-4.364;34.196;12.536
32;R Cingulum Ant;4002;8.117;35.723;14.433
33;L Cingulum Mid;4011;-5.883;-16.101;40.214
34;R Cingulum Mid;4012;7.664;-10.197;38.438
35;L Cingulum Post;4021;-5.205;-44.173;23.279
36;R Cingulum Post;4022;7.176;-43.087;20.472
37;L Hippocampus;4101;-25.255;-21.964;-11.384
38;R Hippocampus;4102;28.945;-20.992;-11.577
39;L ParaHippocampal Gyrus;4111;-21.493;-17.292;-21.918
40;R ParaHippocampal Gyrus;4112;25.148;-16.300;-21.744
41;L Amygdala;4201;-23.509;-1.945;-18.455
42;R Amygdala;4202;27.056;-0.573;-18.806
43;L Calcarine Gyrus;5001;-7.483;-79.821;5.104
44;R Calcarine Gyrus;5002;15.710;-74.449;8.019
45;L Cuneus;5011;-6.257;-81.425;25.839
46;R Cuneus;5012;13.190;-80.590;26.853
47;L Lingual Gyrus;5021;-14.858;-68.865;-6.008
48;R Lingual Gyrus;5022;16.077;-68.142;-5.216
49;L Superior Occipital Gyrus;5101;-16.757;-85.611;26.854
50;R Superior Occipital Gyrus;5102;23.963;-82.207;29.265
51;L Middle Occipital Gyrus;5201;-32.617;-82.021;14.768
52;R Middle Occipital Gyrus;5202;37.128;-80.993;18.068
53;L Inferior Occipital Gyrus;5301;-36.482;-79.569;-9.165
54;R Inferior Occipital Gyrus;5302;37.871;-83.191;-8.993
55;L Fusiform Gyrus;5401;-31.390;-41.405;-21.606
56;R Fusiform Gyrus;5402;33.659;-40.199;-21.534
57;L Postcentral Gyrus;6001;-42.904;-23.775;47.457
58;R Postcentral Gyrus;6002;41.158;-26.773;51.254
59;L Superior Parietal Lobule;6101;-23.713;-60.808;57.657
60;R Superior Parietal Lobule;6102;25.842;-60.428;60.714
61;L Inferior Parietal Lobule;6201;-43.107;-47.019;45.423
62;R Inferior Parietal Lobule;6202;46.291;-47.588;48.192
63;L SupraMarginal Gyrus;6211;-56.146;-34.936;29.119
64;R SupraMarginal Gyrus;6212;57.262;-32.818;33.135
65;L Angular Gyrus;6221;-44.435;-62.082;34.283
66;R Angular Gyrus;6222;45.228;-61.239;37.315
67;L Precuneus;6301;-7.591;-57.325;46.640
68;R Precuneus;6302;9.689;-57.314;42.361
69;L Paracentral Lobule;6401;-7.975;-26.651;68.692
70;R Paracentral Lobule;6402;7.127;-32.943;66.792
71;L Caudate Nucleus;7001;-11.767;9.723;8.071
72;R Caudate Nucleus;7002;14.495;10.777;8.149
73;L Putamen;7011;-24.208;2.601;1.070
74;R Putamen;7012;27.485;3.679;1.194
75;L Pallidum;7021;-18.061;-1.358;-1.044
76;R Pallidum;7022;20.921;-1.057;-1.086
77;L Thalamus;7101;-11.198;-18.844;6.607
78;R Thalamus;7102;12.704;-18.768;6.728
79;L Heschls Gyrus;8101;-42.347;-20.036;8.676
80;R Heschls Gyrus;8102;45.880;-18.145;9.044
81;L Superior Temporal Gyrus;8111;-53.436;-22.010;5.841
82;R Superior Temporal Gyrus;8112;57.833;-23.011;5.419
83;L Temporal Pole;8121;-40.154;13.868;-21.437
84;R Temporal Pole;8122;47.937;13.457;-18.190
85;L Middle Temporal Gyrus;8201;-55.869;-34.984;-3.585
86;R Middle Temporal Gyrus;8202;57.160;-38.566;-2.775
87;L Medial Temporal Pole;8211;-36.744;13.301;-35.367
88;R Medial Temporal Pole;8212;44.040;13.247;-33.518
89;L Inferior Temporal Gyrus;8301;-50.036;-29.292;-24.519
90;R Inferior Temporal Gyrus;8302;53.382;-32.139;-23.731
