Warning: Permanently added '[212.13.234.23]:13651' (ED25519) to the list of known hosts.
Welcome to vast.ai. If authentication fails, try again after a few seconds, and double check your ssh key.
Have fun!
[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-40GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 1024, 'n_head': 16, 'ffn_dim': 4096, 'max_seq': 128, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=42,432,576  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP     0] loss=716.7385 ce=717.4215 aux=1.0000 ent_gate=0.6931/0.693 wmax=0.5057 active>.01=2.0/2 λ=1.0000 cells=2 splits=0 cost=$0.00
[STEP    50] loss=685.2200 ce=701.4170 aux=1.1314 ent_gate=2.0856/3.497 wmax=0.3300 active>.01=3.4/33 λ=1.0000 cells=33 splits=31 cost=$0.00
[STEP   100] loss=559.4092 ce=625.3119 aux=1.2975 ent_gate=3.9828/4.159 wmax=0.2646 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   150] loss=189.7501 ce=385.9448 aux=1.3472 ent_gate=4.1515/4.159 wmax=0.3022 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   200] loss=25.5506 ce=75.5248 aux=1.5681 ent_gate=4.1421/4.159 wmax=0.3407 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   250] loss=2.8469 ce=13.7232 aux=2.0882 ent_gate=4.1073/4.159 wmax=0.3865 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   300] loss=0.1149 ce=5.1241 aux=2.8271 ent_gate=4.0370/4.159 wmax=0.4223 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   350] loss=-1.1437 ce=3.2328 aux=3.2246 ent_gate=3.9921/4.159 wmax=0.4356 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.04
[STEP   400] loss=-1.4470 ce=2.7221 aux=2.9432 ent_gate=4.0252/4.159 wmax=0.4297 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.05
[STEP   450] loss=-1.8366 ce=2.5640 aux=2.6083 ent_gate=4.0615/4.159 wmax=0.4167 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.05
[STEP   500] loss=-1.8840 ce=2.3886 aux=2.3922 ent_gate=4.0825/4.159 wmax=0.4084 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.06
[STEP   550] loss=-1.8123 ce=2.2740 aux=2.2107 ent_gate=4.0987/4.159 wmax=0.3975 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.07
[STEP   600] loss=-2.0111 ce=2.3910 aux=2.0865 ent_gate=4.1090/4.159 wmax=0.3904 active>.01=4.0/64 λ=0.9999 cells=64 splits=62 cost=$0.07
[STEP   650] loss=-2.1533 ce=2.1573 aux=1.9866 ent_gate=4.1167/4.159 wmax=0.3847 active>.01=4.0/64 λ=0.9997 cells=64 splits=62 cost=$0.08
[STEP   700] loss=-2.0446 ce=2.0116 aux=1.9002 ent_gate=4.1229/4.159 wmax=0.3797 active>.01=4.0/64 λ=0.9995 cells=64 splits=62 cost=$0.09
[STEP   750] loss=-2.0958 ce=1.9669 aux=1.8422 ent_gate=4.1270/4.159 wmax=0.3726 active>.01=4.0/64 λ=0.9993 cells=64 splits=62 cost=$0.09
[STEP   800] loss=-1.9826 ce=1.9303 aux=1.7628 ent_gate=4.1321/4.159 wmax=0.3623 active>.01=4.0/64 λ=0.9990 cells=64 splits=62 cost=$0.10
[STEP   850] loss=-2.1896 ce=1.8866 aux=1.6887 ent_gate=4.1367/4.159 wmax=0.3567 active>.01=4.0/64 λ=0.9986 cells=64 splits=62 cost=$0.11
[STEP   900] loss=-2.1753 ce=1.7813 aux=1.6616 ent_gate=4.1382/4.159 wmax=0.3547 active>.01=4.0/64 λ=0.9981 cells=64 splits=62 cost=$0.11
[STEP   950] loss=-2.3050 ce=1.8002 aux=1.6184 ent_gate=4.1406/4.159 wmax=0.3496 active>.01=4.0/64 λ=0.9976 cells=64 splits=62 cost=$0.12
[STEP  1000] loss=-2.3221 ce=1.7053 aux=1.5718 ent_gate=4.1430/4.159 wmax=0.3422 active>.01=4.0/64 λ=0.9971 cells=64 splits=62 cost=$0.12
[STEP  1050] loss=-2.4039 ce=1.7304 aux=1.5591 ent_gate=4.1436/4.159 wmax=0.3401 active>.01=4.0/64 λ=0.9965 cells=64 splits=62 cost=$0.13
[STEP  1100] loss=-2.4348 ce=1.6825 aux=1.5595 ent_gate=4.1436/4.159 wmax=0.3390 active>.01=4.0/64 λ=0.9958 cells=64 splits=62 cost=$0.14
[STEP  1150] loss=-2.5973 ce=1.6489 aux=1.5099 ent_gate=4.1460/4.159 wmax=0.3325 active>.01=4.0/64 λ=0.9951 cells=64 splits=62 cost=$0.14
[STEP  1200] loss=-2.4227 ce=1.5353 aux=1.4882 ent_gate=4.1470/4.159 wmax=0.3306 active>.01=4.0/64 λ=0.9943 cells=64 splits=62 cost=$0.15
[STEP  1250] loss=-2.5005 ce=1.5479 aux=1.4721 ent_gate=4.1477/4.159 wmax=0.3290 active>.01=4.0/64 λ=0.9935 cells=64 splits=62 cost=$0.16
[STEP  1300] loss=-2.6450 ce=1.5437 aux=1.4225 ent_gate=4.1497/4.159 wmax=0.3213 active>.01=4.0/64 λ=0.9926 cells=64 splits=62 cost=$0.16
[STEP  1350] loss=-2.4416 ce=1.4177 aux=1.4041 ent_gate=4.1505/4.159 wmax=0.3180 active>.01=4.0/64 λ=0.9916 cells=64 splits=62 cost=$0.17
[STEP  1400] loss=-2.6971 ce=1.4895 aux=1.3945 ent_gate=4.1508/4.159 wmax=0.3170 active>.01=4.0/64 λ=0.9906 cells=64 splits=62 cost=$0.18
[STEP  1450] loss=-2.8469 ce=1.4090 aux=1.3859 ent_gate=4.1512/4.159 wmax=0.3160 active>.01=4.0/64 λ=0.9896 cells=64 splits=62 cost=$0.18
[STEP  1500] loss=-2.4462 ce=1.3433 aux=1.3615 ent_gate=4.1520/4.159 wmax=0.3138 active>.01=4.0/64 λ=0.9884 cells=64 splits=62 cost=$0.19
[STEP  1550] loss=-2.7948 ce=1.2634 aux=1.3429 ent_gate=4.1525/4.159 wmax=0.3089 active>.01=4.0/64 λ=0.9872 cells=64 splits=62 cost=$0.20
[STEP  1600] loss=-2.8545 ce=1.2035 aux=1.3301 ent_gate=4.1530/4.159 wmax=0.3077 active>.01=4.0/64 λ=0.9860 cells=64 splits=62 cost=$0.20
[STEP  1650] loss=-2.7493 ce=1.1565 aux=1.3047 ent_gate=4.1538/4.159 wmax=0.3046 active>.01=4.0/64 λ=0.9847 cells=64 splits=62 cost=$0.21
[STEP  1700] loss=-2.8630 ce=1.1170 aux=1.3053 ent_gate=4.1539/4.159 wmax=0.3045 active>.01=4.0/64 λ=0.9834 cells=64 splits=62 cost=$0.22
[STEP  1750] loss=-2.9328 ce=1.1298 aux=1.2839 ent_gate=4.1544/4.159 wmax=0.3005 active>.01=4.0/64 λ=0.9820 cells=64 splits=62 cost=$0.22
[STEP  1800] loss=-3.0291 ce=1.1023 aux=1.2781 ent_gate=4.1545/4.159 wmax=0.3013 active>.01=4.0/64 λ=0.9805 cells=64 splits=62 cost=$0.23
[STEP  1850] loss=-3.0080 ce=1.0682 aux=1.2594 ent_gate=4.1551/4.159 wmax=0.2974 active>.01=4.0/64 λ=0.9790 cells=64 splits=62 cost=$0.23
[STEP  1900] loss=-2.9599 ce=0.9701 aux=1.2664 ent_gate=4.1550/4.159 wmax=0.2991 active>.01=4.0/64 λ=0.9774 cells=64 splits=62 cost=$0.24
[STEP  1950] loss=-3.3559 ce=0.9901 aux=1.2464 ent_gate=4.1554/4.159 wmax=0.2980 active>.01=4.0/64 λ=0.9758 cells=64 splits=62 cost=$0.25
  [SNAP 2000] 4a KL=1.5754 z=0.65 | 4b cos_z=0.32
[STEP  2000] loss=-3.2131 ce=0.9863 aux=1.2387 ent_gate=4.1556/4.159 wmax=0.2986 active>.01=4.0/64 λ=0.9741 cells=64 splits=62 cost=$0.26
[STEP  2050] loss=-3.0196 ce=0.9212 aux=1.2300 ent_gate=4.1558/4.159 wmax=0.2976 active>.01=4.0/64 λ=0.9723 cells=64 splits=62 cost=$0.26
[STEP  2100] loss=-3.2498 ce=0.8639 aux=1.2301 ent_gate=4.1558/4.159 wmax=0.2987 active>.01=4.0/64 λ=0.9706 cells=64 splits=62 cost=$0.27
[STEP  2150] loss=-3.2494 ce=0.8886 aux=1.2161 ent_gate=4.1562/4.159 wmax=0.2985 active>.01=4.0/64 λ=0.9687 cells=64 splits=62 cost=$0.27
[STEP  2200] loss=-3.2060 ce=0.8517 aux=1.2129 ent_gate=4.1561/4.159 wmax=0.2975 active>.01=4.0/64 λ=0.9668 cells=64 splits=62 cost=$0.28
[STEP  2250] loss=-3.3650 ce=0.8128 aux=1.2281 ent_gate=4.1558/4.159 wmax=0.2973 active>.01=4.0/64 λ=0.9648 cells=64 splits=62 cost=$0.29
[STEP  2300] loss=-3.2295 ce=0.8144 aux=1.2026 ent_gate=4.1563/4.159 wmax=0.2986 active>.01=4.0/64 λ=0.9628 cells=64 splits=62 cost=$0.29
[STEP  2350] loss=-3.0104 ce=0.7812 aux=1.2217 ent_gate=4.1561/4.159 wmax=0.3004 active>.01=4.0/64 λ=0.9608 cells=64 splits=62 cost=$0.30
[STEP  2400] loss=-3.1861 ce=0.7830 aux=1.1973 ent_gate=4.1564/4.159 wmax=0.2952 active>.01=4.0/64 λ=0.9586 cells=64 splits=62 cost=$0.31
[STEP  2450] loss=-3.3757 ce=0.7426 aux=1.1778 ent_gate=4.1569/4.159 wmax=0.2868 active>.01=4.0/64 λ=0.9565 cells=64 splits=62 cost=$0.31
[STEP  2500] loss=-3.1194 ce=0.7449 aux=1.1953 ent_gate=4.1567/4.159 wmax=0.2929 active>.01=4.0/64 λ=0.9542 cells=64 splits=62 cost=$0.32
[STEP  2550] loss=-3.3111 ce=0.7023 aux=1.1821 ent_gate=4.1569/4.159 wmax=0.2929 active>.01=4.0/64 λ=0.9520 cells=64 splits=62 cost=$0.33
[STEP  2600] loss=-3.1284 ce=0.6692 aux=1.1803 ent_gate=4.1569/4.159 wmax=0.2893 active>.01=4.0/64 λ=0.9496 cells=64 splits=62 cost=$0.33
[STEP  2650] loss=-3.4445 ce=0.6743 aux=1.1730 ent_gate=4.1570/4.159 wmax=0.2908 active>.01=4.0/64 λ=0.9473 cells=64 splits=62 cost=$0.34
[STEP  2700] loss=-3.2453 ce=0.6648 aux=1.1565 ent_gate=4.1573/4.159 wmax=0.2849 active>.01=4.0/64 λ=0.9448 cells=64 splits=62 cost=$0.35
[STEP  2750] loss=-3.2307 ce=0.6693 aux=1.1563 ent_gate=4.1573/4.159 wmax=0.2822 active>.01=4.0/64 λ=0.9423 cells=64 splits=62 cost=$0.35
[STEP  2800] loss=-3.2848 ce=0.6205 aux=1.1664 ent_gate=4.1571/4.159 wmax=0.2851 active>.01=4.0/64 λ=0.9398 cells=64 splits=62 cost=$0.36
[STEP  2850] loss=-3.3275 ce=0.6004 aux=1.1476 ent_gate=4.1575/4.159 wmax=0.2790 active>.01=4.0/64 λ=0.9372 cells=64 splits=62 cost=$0.37
[STEP  2900] loss=-3.4047 ce=0.6104 aux=1.1412 ent_gate=4.1575/4.159 wmax=0.2788 active>.01=4.0/64 λ=0.9346 cells=64 splits=62 cost=$0.37
[STEP  2950] loss=-3.3146 ce=0.5992 aux=1.1452 ent_gate=4.1575/4.159 wmax=0.2803 active>.01=4.0/64 λ=0.9319 cells=64 splits=62 cost=$0.38
[STEP  3000] loss=-3.3228 ce=0.6226 aux=1.1456 ent_gate=4.1575/4.159 wmax=0.2810 active>.01=4.0/64 λ=0.9291 cells=64 splits=62 cost=$0.38
[STEP  3050] loss=-3.3640 ce=0.5407 aux=1.1427 ent_gate=4.1575/4.159 wmax=0.2802 active>.01=4.0/64 λ=0.9264 cells=64 splits=62 cost=$0.39
[STEP  3100] loss=-3.2736 ce=0.5482 aux=1.1372 ent_gate=4.1576/4.159 wmax=0.2790 active>.01=4.0/64 λ=0.9235 cells=64 splits=62 cost=$0.40
[STEP  3150] loss=-3.3089 ce=0.5644 aux=1.1293 ent_gate=4.1577/4.159 wmax=0.2760 active>.01=4.0/64 λ=0.9206 cells=64 splits=62 cost=$0.40
[STEP  3200] loss=-3.2659 ce=0.5130 aux=1.1354 ent_gate=4.1577/4.159 wmax=0.2768 active>.01=4.0/64 λ=0.9177 cells=64 splits=62 cost=$0.41
[STEP  3250] loss=-3.2849 ce=0.5299 aux=1.1202 ent_gate=4.1578/4.159 wmax=0.2764 active>.01=4.0/64 λ=0.9147 cells=64 splits=62 cost=$0.42
[STEP  3300] loss=-3.2956 ce=0.4899 aux=1.1262 ent_gate=4.1578/4.159 wmax=0.2805 active>.01=4.0/64 λ=0.9117 cells=64 splits=62 cost=$0.42
[STEP  3350] loss=-3.0652 ce=0.5184 aux=1.1157 ent_gate=4.1579/4.159 wmax=0.2754 active>.01=4.0/64 λ=0.9086 cells=64 splits=62 cost=$0.43
[STEP  3400] loss=-3.2129 ce=0.4898 aux=1.1191 ent_gate=4.1579/4.159 wmax=0.2745 active>.01=4.0/64 λ=0.9055 cells=64 splits=62 cost=$0.44
