/workspace/anima/train_d768x12l.py:103: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce": 5.590832, "gn2": 41.954096, "ppl": 267.9584, "lr": 2.4e-06, "wall_s": 0.72, "gpu_mem_gb": 7.455}
{"step": 62, "ce": 1.206865, "gn2": 13.164413, "ppl": 3.343, "lr": 0.0001488, "wall_s": 8.85, "gpu_mem_gb": 9.685}
{"step": 124, "ce": 0.341785, "gn2": 2.146192, "ppl": 1.4075, "lr": 0.0002976, "wall_s": 17.07, "gpu_mem_gb": 9.685}
{"step": 186, "ce": 0.173157, "gn2": 1.524981, "ppl": 1.1891, "lr": 0.00029958, "wall_s": 25.3, "gpu_mem_gb": 9.685}
{"step": 248, "ce": 0.097841, "gn2": 1.413775, "ppl": 1.1028, "lr": 0.00029825, "wall_s": 33.55, "gpu_mem_gb": 9.685}
{"step": 310, "ce": 0.030892, "gn2": 0.422803, "ppl": 1.0314, "lr": 0.00029602, "wall_s": 41.83, "gpu_mem_gb": 9.685}
{"step": 372, "ce": 0.041255, "gn2": 0.450662, "ppl": 1.0421, "lr": 0.00029292, "wall_s": 50.12, "gpu_mem_gb": 9.685}
{"step": 434, "ce": 0.033906, "gn2": 0.223471, "ppl": 1.0345, "lr": 0.00028895, "wall_s": 58.44, "gpu_mem_gb": 9.685}
{"step": 496, "ce": 0.047695, "gn2": 0.353457, "ppl": 1.0489, "lr": 0.00028415, "wall_s": 66.94, "gpu_mem_gb": 9.685}
{"step": 558, "ce": 0.020114, "gn2": 0.172884, "ppl": 1.0203, "lr": 0.00027855, "wall_s": 75.29, "gpu_mem_gb": 9.685}
{"step": 620, "ce": 0.014566, "gn2": 0.058952, "ppl": 1.0147, "lr": 0.00027219, "wall_s": 83.66, "gpu_mem_gb": 9.685}
{"step": 682, "ce": 0.025661, "gn2": 0.15848, "ppl": 1.026, "lr": 0.00026511, "wall_s": 92.04, "gpu_mem_gb": 9.685}
{"step": 744, "ce": 0.023868, "gn2": 0.264488, "ppl": 1.0242, "lr": 0.00025735, "wall_s": 100.45, "gpu_mem_gb": 9.685}
{"step": 806, "ce": 0.007451, "gn2": 0.026058, "ppl": 1.0075, "lr": 0.00024897, "wall_s": 108.85, "gpu_mem_gb": 9.685}
{"step": 868, "ce": 0.017099, "gn2": 0.261958, "ppl": 1.0172, "lr": 0.00024003, "wall_s": 117.24, "gpu_mem_gb": 9.685}
{"step": 930, "ce": 0.012973, "gn2": 0.07323, "ppl": 1.0131, "lr": 0.00023058, "wall_s": 125.62, "gpu_mem_gb": 9.685}
{"step": 992, "ce": 0.006344, "gn2": 0.021325, "ppl": 1.0064, "lr": 0.0002207, "wall_s": 133.99, "gpu_mem_gb": 9.685}
{"step": 1054, "ce": 0.006736, "gn2": 0.034547, "ppl": 1.0068, "lr": 0.00021044, "wall_s": 142.35, "gpu_mem_gb": 9.685}
{"step": 1116, "ce": 0.006654, "gn2": 0.031643, "ppl": 1.0067, "lr": 0.00019987, "wall_s": 150.71, "gpu_mem_gb": 9.685}
{"step": 1178, "ce": 0.009668, "gn2": 0.159971, "ppl": 1.0097, "lr": 0.00018907, "wall_s": 159.07, "gpu_mem_gb": 9.685}
{"step": 1240, "ce": 0.005288, "gn2": 0.015167, "ppl": 1.0053, "lr": 0.0001781, "wall_s": 167.41, "gpu_mem_gb": 9.685}
{"step": 1302, "ce": 0.009415, "gn2": 0.111453, "ppl": 1.0095, "lr": 0.00016705, "wall_s": 175.76, "gpu_mem_gb": 9.685}
{"step": 1364, "ce": 0.006533, "gn2": 0.012544, "ppl": 1.0066, "lr": 0.00015599, "wall_s": 184.11, "gpu_mem_gb": 9.685}
{"step": 1426, "ce": 0.003152, "gn2": 0.001513, "ppl": 1.0032, "lr": 0.00014498, "wall_s": 192.46, "gpu_mem_gb": 9.685}
{"step": 1488, "ce": 0.003501, "gn2": 0.023404, "ppl": 1.0035, "lr": 0.00013411, "wall_s": 200.87, "gpu_mem_gb": 9.685}
