utilization.gpu [%], memory.used [MiB], power.draw [W]
0 %, 0 MiB, 38.31 W
95 %, 10133 MiB, 257.55 W
93 %, 10133 MiB, 265.58 W
93 %, 10133 MiB, 222.32 W
95 %, 10133 MiB, 275.75 W
94 %, 10133 MiB, 261.41 W
94 %, 10133 MiB, 246.89 W
92 %, 10133 MiB, 272.05 W
94 %, 10133 MiB, 255.63 W
94 %, 10133 MiB, 258.10 W
94 %, 10133 MiB, 260.72 W
95 %, 10133 MiB, 255.23 W
93 %, 10133 MiB, 259.32 W
92 %, 10133 MiB, 246.44 W
92 %, 10133 MiB, 260.29 W
94 %, 10133 MiB, 208.11 W
94 %, 10133 MiB, 260.32 W
93 %, 10133 MiB, 212.07 W
95 %, 10133 MiB, 232.11 W
91 %, 10133 MiB, 247.03 W
92 %, 10133 MiB, 266.71 W
94 %, 10133 MiB, 262.61 W
92 %, 10133 MiB, 210.52 W
