[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-40GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 512, 'n_head': 8, 'ffn_dim': 1536, 'max_seq': 128, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=8,631,360  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP     0] loss=356.5610 ce=357.2434 aux=1.0000 ent_gate=0.6925/0.693 wmax=0.5186 active>.01=2.0/2 λ=1.0000 cells=2 splits=0 cost=$0.00
[STEP    50] loss=342.1499 ce=347.1182 aux=1.0278 ent_gate=1.2807/2.079 wmax=0.3901 active>.01=3.1/8 λ=1.0000 cells=8 splits=6 cost=$0.00
[STEP   100] loss=341.0921 ce=344.6802 aux=1.0908 ent_gate=2.1062/2.197 wmax=0.2760 active>.01=4.0/9 λ=1.0000 cells=9 splits=7 cost=$0.00
[STEP   150] loss=334.7370 ce=340.7615 aux=1.1362 ent_gate=2.4232/2.565 wmax=0.2662 active>.01=4.0/13 λ=1.0000 cells=13 splits=11 cost=$0.00
[STEP   200] loss=307.2902 ce=327.0235 aux=1.1986 ent_gate=2.9527/3.714 wmax=0.2723 active>.01=4.0/41 λ=1.0000 cells=41 splits=39 cost=$0.00
[STEP   250] loss=228.3975 ce=273.7807 aux=1.2533 ent_gate=3.9901/4.159 wmax=0.2638 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.00
[STEP   300] loss=102.4254 ce=166.3839 aux=1.2109 ent_gate=4.1560/4.159 wmax=0.2785 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   350] loss=49.6952 ce=76.9571 aux=1.1571 ent_gate=4.1566/4.159 wmax=0.3014 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   400] loss=18.0868 ce=35.7935 aux=1.1604 ent_gate=4.1568/4.159 wmax=0.3124 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   450] loss=4.4450 ce=14.5814 aux=1.1984 ent_gate=4.1556/4.159 wmax=0.3409 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   500] loss=0.1077 ce=6.3572 aux=1.4513 ent_gate=4.1407/4.159 wmax=0.4812 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   550] loss=-0.6394 ce=3.7417 aux=1.8985 ent_gate=4.1007/4.159 wmax=0.6157 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   600] loss=-1.3972 ce=2.9515 aux=2.2283 ent_gate=4.0635/4.159 wmax=0.6804 active>.01=4.0/64 λ=0.9999 cells=64 splits=62 cost=$0.02
[STEP   650] loss=-1.3581 ce=2.6287 aux=2.1015 ent_gate=4.0789/4.159 wmax=0.6575 active>.01=4.0/64 λ=0.9997 cells=64 splits=62 cost=$0.02
[STEP   700] loss=-1.7196 ce=2.4576 aux=1.9700 ent_gate=4.0942/4.159 wmax=0.6301 active>.01=4.0/64 λ=0.9995 cells=64 splits=62 cost=$0.02
[STEP   750] loss=-1.8809 ce=2.3245 aux=1.8538 ent_gate=4.1070/4.159 wmax=0.6004 active>.01=4.0/64 λ=0.9993 cells=64 splits=62 cost=$0.03
[STEP   800] loss=-1.8832 ce=2.2534 aux=1.7632 ent_gate=4.1155/4.159 wmax=0.5807 active>.01=4.0/64 λ=0.9990 cells=64 splits=62 cost=$0.03
[STEP   850] loss=-2.1223 ce=2.1576 aux=1.6738 ent_gate=4.1236/4.159 wmax=0.5574 active>.01=4.0/64 λ=0.9986 cells=64 splits=62 cost=$0.03
[STEP   900] loss=-2.0502 ce=2.1059 aux=1.6012 ent_gate=4.1300/4.159 wmax=0.5339 active>.01=4.0/64 λ=0.9981 cells=64 splits=62 cost=$0.03
[STEP   950] loss=-2.0193 ce=2.0713 aux=1.5645 ent_gate=4.1331/4.159 wmax=0.5211 active>.01=4.0/64 λ=0.9976 cells=64 splits=62 cost=$0.04
[STEP  1000] loss=-2.1760 ce=2.0516 aux=1.5323 ent_gate=4.1358/4.159 wmax=0.5079 active>.01=4.0/64 λ=0.9971 cells=64 splits=62 cost=$0.04
[STEP  1050] loss=-2.0705 ce=2.0002 aux=1.4951 ent_gate=4.1386/4.159 wmax=0.4951 active>.01=4.0/64 λ=0.9965 cells=64 splits=62 cost=$0.04
[STEP  1100] loss=-2.1779 ce=1.9585 aux=1.4463 ent_gate=4.1420/4.159 wmax=0.4771 active>.01=4.0/64 λ=0.9958 cells=64 splits=62 cost=$0.04
[STEP  1150] loss=-2.1639 ce=1.9362 aux=1.4184 ent_gate=4.1437/4.159 wmax=0.4679 active>.01=4.0/64 λ=0.9951 cells=64 splits=62 cost=$0.05
[STEP  1200] loss=-1.9279 ce=1.9290 aux=1.3932 ent_gate=4.1456/4.159 wmax=0.4535 active>.01=4.0/64 λ=0.9943 cells=64 splits=62 cost=$0.05
[STEP  1250] loss=-2.1808 ce=1.8833 aux=1.3746 ent_gate=4.1466/4.159 wmax=0.4469 active>.01=4.0/64 λ=0.9935 cells=64 splits=62 cost=$0.05
[STEP  1300] loss=-2.1726 ce=1.8654 aux=1.3484 ent_gate=4.1481/4.159 wmax=0.4370 active>.01=4.0/64 λ=0.9926 cells=64 splits=62 cost=$0.05
[STEP  1350] loss=-2.2292 ce=1.8475 aux=1.3334 ent_gate=4.1490/4.159 wmax=0.4289 active>.01=4.0/64 λ=0.9916 cells=64 splits=62 cost=$0.05
[STEP  1400] loss=-2.3633 ce=1.8347 aux=1.3138 ent_gate=4.1499/4.159 wmax=0.4220 active>.01=4.0/64 λ=0.9906 cells=64 splits=62 cost=$0.06
[STEP  1450] loss=-2.2474 ce=1.8014 aux=1.3053 ent_gate=4.1504/4.159 wmax=0.4190 active>.01=4.0/64 λ=0.9896 cells=64 splits=62 cost=$0.06
[STEP  1500] loss=-2.2099 ce=1.7942 aux=1.2937 ent_gate=4.1511/4.159 wmax=0.4094 active>.01=4.0/64 λ=0.9884 cells=64 splits=62 cost=$0.06
[STEP  1550] loss=-2.3291 ce=1.7833 aux=1.2817 ent_gate=4.1518/4.159 wmax=0.4025 active>.01=4.0/64 λ=0.9872 cells=64 splits=62 cost=$0.06
[STEP  1600] loss=-2.3419 ce=1.7745 aux=1.2706 ent_gate=4.1522/4.159 wmax=0.3988 active>.01=4.0/64 λ=0.9860 cells=64 splits=62 cost=$0.07
[STEP  1650] loss=-2.3220 ce=1.7476 aux=1.2639 ent_gate=4.1526/4.159 wmax=0.3948 active>.01=4.0/64 λ=0.9847 cells=64 splits=62 cost=$0.07
[STEP  1700] loss=-2.3733 ce=1.7440 aux=1.2511 ent_gate=4.1532/4.159 wmax=0.3873 active>.01=4.0/64 λ=0.9834 cells=64 splits=62 cost=$0.07
[STEP  1750] loss=-2.2440 ce=1.7293 aux=1.2484 ent_gate=4.1533/4.159 wmax=0.3859 active>.01=4.0/64 λ=0.9820 cells=64 splits=62 cost=$0.07
[STEP  1800] loss=-2.4165 ce=1.7061 aux=1.2348 ent_gate=4.1538/4.159 wmax=0.3799 active>.01=4.0/64 λ=0.9805 cells=64 splits=62 cost=$0.07
[STEP  1850] loss=-2.2741 ce=1.6892 aux=1.2295 ent_gate=4.1541/4.159 wmax=0.3755 active>.01=4.0/64 λ=0.9790 cells=64 splits=62 cost=$0.08
[STEP  1900] loss=-2.2619 ce=1.6832 aux=1.2255 ent_gate=4.1543/4.159 wmax=0.3733 active>.01=4.0/64 λ=0.9774 cells=64 splits=62 cost=$0.08
[STEP  1950] loss=-2.3650 ce=1.6812 aux=1.2115 ent_gate=4.1548/4.159 wmax=0.3642 active>.01=4.0/64 λ=0.9758 cells=64 splits=62 cost=$0.08
  [SNAP 2000] 4a KL=3.1498 z=0.11 | 4b cos_z=2.44
[STEP  2000] loss=-2.3050 ce=1.6663 aux=1.2115 ent_gate=4.1548/4.159 wmax=0.3681 active>.01=4.0/64 λ=0.9741 cells=64 splits=62 cost=$0.08
[STEP  2050] loss=-2.4299 ce=1.6228 aux=1.1944 ent_gate=4.1554/4.159 wmax=0.3581 active>.01=4.0/64 λ=0.9723 cells=64 splits=62 cost=$0.09
[STEP  2100] loss=-2.3508 ce=1.6413 aux=1.1914 ent_gate=4.1556/4.159 wmax=0.3535 active>.01=4.0/64 λ=0.9706 cells=64 splits=62 cost=$0.09
[STEP  2150] loss=-2.4749 ce=1.6097 aux=1.1847 ent_gate=4.1558/4.159 wmax=0.3512 active>.01=4.0/64 λ=0.9687 cells=64 splits=62 cost=$0.09
[STEP  2200] loss=-2.3957 ce=1.6018 aux=1.1789 ent_gate=4.1560/4.159 wmax=0.3488 active>.01=4.0/64 λ=0.9668 cells=64 splits=62 cost=$0.09
[STEP  2250] loss=-2.4506 ce=1.5813 aux=1.1685 ent_gate=4.1563/4.159 wmax=0.3423 active>.01=4.0/64 λ=0.9648 cells=64 splits=62 cost=$0.10
[STEP  2300] loss=-2.3758 ce=1.5731 aux=1.1641 ent_gate=4.1565/4.159 wmax=0.3375 active>.01=4.0/64 λ=0.9628 cells=64 splits=62 cost=$0.10
[STEP  2350] loss=-2.2895 ce=1.5611 aux=1.1556 ent_gate=4.1567/4.159 wmax=0.3314 active>.01=4.0/64 λ=0.9608 cells=64 splits=62 cost=$0.10
[STEP  2400] loss=-2.3002 ce=1.5343 aux=1.1441 ent_gate=4.1570/4.159 wmax=0.3274 active>.01=4.0/64 λ=0.9586 cells=64 splits=62 cost=$0.10
[STEP  2450] loss=-2.4462 ce=1.5230 aux=1.1347 ent_gate=4.1572/4.159 wmax=0.3206 active>.01=4.0/64 λ=0.9565 cells=64 splits=62 cost=$0.11
[STEP  2500] loss=-2.4854 ce=1.5128 aux=1.1403 ent_gate=4.1572/4.159 wmax=0.3225 active>.01=4.0/64 λ=0.9542 cells=64 splits=62 cost=$0.11
[STEP  2550] loss=-2.4428 ce=1.5175 aux=1.1346 ent_gate=4.1572/4.159 wmax=0.3238 active>.01=4.0/64 λ=0.9520 cells=64 splits=62 cost=$0.11
[STEP  2600] loss=-2.4100 ce=1.5084 aux=1.1359 ent_gate=4.1573/4.159 wmax=0.3206 active>.01=4.0/64 λ=0.9496 cells=64 splits=62 cost=$0.11
[STEP  2650] loss=-2.5358 ce=1.4858 aux=1.1254 ent_gate=4.1575/4.159 wmax=0.3135 active>.01=4.0/64 λ=0.9473 cells=64 splits=62 cost=$0.11
[STEP  2700] loss=-2.4356 ce=1.4760 aux=1.1189 ent_gate=4.1576/4.159 wmax=0.3100 active>.01=4.0/64 λ=0.9448 cells=64 splits=62 cost=$0.12
[STEP  2750] loss=-2.3393 ce=1.4619 aux=1.1118 ent_gate=4.1578/4.159 wmax=0.3082 active>.01=4.0/64 λ=0.9423 cells=64 splits=62 cost=$0.12
[STEP  2800] loss=-2.3305 ce=1.4479 aux=1.1137 ent_gate=4.1577/4.159 wmax=0.3075 active>.01=4.0/64 λ=0.9398 cells=64 splits=62 cost=$0.12
[STEP  2850] loss=-2.5045 ce=1.4599 aux=1.1053 ent_gate=4.1579/4.159 wmax=0.3032 active>.01=4.0/64 λ=0.9372 cells=64 splits=62 cost=$0.12
[STEP  2900] loss=-2.3832 ce=1.4225 aux=1.0980 ent_gate=4.1580/4.159 wmax=0.3003 active>.01=4.0/64 λ=0.9346 cells=64 splits=62 cost=$0.13
[STEP  2950] loss=-2.4392 ce=1.4145 aux=1.0967 ent_gate=4.1580/4.159 wmax=0.2987 active>.01=4.0/64 λ=0.9319 cells=64 splits=62 cost=$0.13
[STEP  3000] loss=-2.4272 ce=1.4162 aux=1.0984 ent_gate=4.1580/4.159 wmax=0.2967 active>.01=4.0/64 λ=0.9291 cells=64 splits=62 cost=$0.13
[STEP  3050] loss=-2.3619 ce=1.3910 aux=1.0943 ent_gate=4.1581/4.159 wmax=0.2937 active>.01=4.0/64 λ=0.9264 cells=64 splits=62 cost=$0.13
[STEP  3100] loss=-2.4924 ce=1.3606 aux=1.0871 ent_gate=4.1582/4.159 wmax=0.2887 active>.01=4.0/64 λ=0.9235 cells=64 splits=62 cost=$0.13
[STEP  3150] loss=-2.3279 ce=1.3706 aux=1.0771 ent_gate=4.1583/4.159 wmax=0.2847 active>.01=4.0/64 λ=0.9206 cells=64 splits=62 cost=$0.14
[STEP  3200] loss=-2.4952 ce=1.3479 aux=1.0814 ent_gate=4.1583/4.159 wmax=0.2838 active>.01=4.0/64 λ=0.9177 cells=64 splits=62 cost=$0.14
[STEP  3250] loss=-2.4810 ce=1.3705 aux=1.0759 ent_gate=4.1584/4.159 wmax=0.2821 active>.01=4.0/64 λ=0.9147 cells=64 splits=62 cost=$0.14
[STEP  3300] loss=-2.4986 ce=1.3215 aux=1.0695 ent_gate=4.1584/4.159 wmax=0.2771 active>.01=4.0/64 λ=0.9117 cells=64 splits=62 cost=$0.14
[STEP  3350] loss=-2.5441 ce=1.2847 aux=1.0664 ent_gate=4.1585/4.159 wmax=0.2748 active>.01=4.0/64 λ=0.9086 cells=64 splits=62 cost=$0.15
[STEP  3400] loss=-2.4568 ce=1.2939 aux=1.0563 ent_gate=4.1586/4.159 wmax=0.2671 active>.01=4.0/64 λ=0.9055 cells=64 splits=62 cost=$0.15
[STEP  3450] loss=-2.3684 ce=1.2919 aux=1.0538 ent_gate=4.1586/4.159 wmax=0.2674 active>.01=4.0/64 λ=0.9023 cells=64 splits=62 cost=$0.15
