Warning: Permanently added '[157.90.56.162]:31741' (ED25519) to the list of known hosts.
Welcome to vast.ai. If authentication fails, try again after a few seconds, and double check your ssh key.
Have fun!
[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-40GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 512, 'n_head': 8, 'ffn_dim': 1536, 'max_seq': 128, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=8,631,360  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP     0] loss=359.6852 ce=360.3626 aux=1.0000 ent_gate=0.6874/0.693 wmax=0.5534 active>.01=2.0/2 λ=1.0000 cells=2 splits=0 cost=$0.00
[STEP    50] loss=344.7944 ce=351.1336 aux=1.0209 ent_gate=1.2805/2.708 wmax=0.4018 active>.01=3.0/15 λ=1.0000 cells=15 splits=13 cost=$0.00
[STEP   100] loss=322.0287 ce=339.4037 aux=1.1648 ent_gate=3.3737/3.807 wmax=0.2672 active>.01=4.0/45 λ=1.0000 cells=45 splits=43 cost=$0.00
[STEP   150] loss=272.5526 ce=301.8518 aux=1.2175 ent_gate=4.0697/4.159 wmax=0.2713 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   200] loss=214.3436 ce=243.2582 aux=1.1727 ent_gate=4.1564/4.159 wmax=0.3182 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   250] loss=63.1841 ce=129.4326 aux=1.2239 ent_gate=4.1540/4.159 wmax=0.3770 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   300] loss=16.7515 ce=35.9086 aux=1.3713 ent_gate=4.1463/4.159 wmax=0.4512 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   350] loss=3.9601 ce=12.7865 aux=1.6143 ent_gate=4.1282/4.159 wmax=0.5404 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   400] loss=-0.3104 ce=5.7373 aux=2.0041 ent_gate=4.0891/4.159 wmax=0.6389 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   450] loss=-1.2350 ce=3.2094 aux=2.5151 ent_gate=4.0253/4.159 wmax=0.7226 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   500] loss=-1.6380 ce=2.5756 aux=2.5922 ent_gate=4.0150/4.159 wmax=0.7333 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   550] loss=-1.6584 ce=2.3313 aux=2.3765 ent_gate=4.0448/4.159 wmax=0.7027 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   600] loss=-1.9877 ce=2.1799 aux=2.2095 ent_gate=4.0662/4.159 wmax=0.6764 active>.01=4.0/64 λ=0.9999 cells=64 splits=62 cost=$0.03
[STEP   650] loss=-1.9369 ce=2.0793 aux=2.0809 ent_gate=4.0813/4.159 wmax=0.6543 active>.01=4.0/64 λ=0.9997 cells=64 splits=62 cost=$0.04
[STEP   700] loss=-2.0796 ce=2.0150 aux=1.9991 ent_gate=4.0908/4.159 wmax=0.6378 active>.01=4.0/64 λ=0.9995 cells=64 splits=62 cost=$0.04
[STEP   750] loss=-2.0963 ce=1.9710 aux=1.9407 ent_gate=4.0971/4.159 wmax=0.6255 active>.01=4.0/64 λ=0.9993 cells=64 splits=62 cost=$0.04
[STEP   800] loss=-2.3007 ce=1.9286 aux=1.8839 ent_gate=4.1032/4.159 wmax=0.6128 active>.01=4.0/64 λ=0.9990 cells=64 splits=62 cost=$0.04
[STEP   850] loss=-2.2064 ce=1.8779 aux=1.8432 ent_gate=4.1074/4.159 wmax=0.6032 active>.01=4.0/64 λ=0.9986 cells=64 splits=62 cost=$0.05
[STEP   900] loss=-2.2107 ce=1.8569 aux=1.8124 ent_gate=4.1105/4.159 wmax=0.5952 active>.01=4.0/64 λ=0.9981 cells=64 splits=62 cost=$0.05
[STEP   950] loss=-2.1498 ce=1.8167 aux=1.7719 ent_gate=4.1145/4.159 wmax=0.5849 active>.01=4.0/64 λ=0.9976 cells=64 splits=62 cost=$0.05
[STEP  1000] loss=-2.2890 ce=1.7848 aux=1.7341 ent_gate=4.1180/4.159 wmax=0.5751 active>.01=4.0/64 λ=0.9971 cells=64 splits=62 cost=$0.06
[STEP  1050] loss=-2.2360 ce=1.7534 aux=1.7095 ent_gate=4.1202/4.159 wmax=0.5691 active>.01=4.0/64 λ=0.9965 cells=64 splits=62 cost=$0.06
[STEP  1100] loss=-2.3869 ce=1.7378 aux=1.6866 ent_gate=4.1224/4.159 wmax=0.5619 active>.01=4.0/64 λ=0.9958 cells=64 splits=62 cost=$0.06
[STEP  1150] loss=-2.2314 ce=1.7104 aux=1.6686 ent_gate=4.1239/4.159 wmax=0.5577 active>.01=4.0/64 λ=0.9951 cells=64 splits=62 cost=$0.07
[STEP  1200] loss=-2.4927 ce=1.6973 aux=1.6639 ent_gate=4.1245/4.159 wmax=0.5550 active>.01=4.0/64 λ=0.9943 cells=64 splits=62 cost=$0.07
[STEP  1250] loss=-2.3595 ce=1.7061 aux=1.6482 ent_gate=4.1258/4.159 wmax=0.5506 active>.01=4.0/64 λ=0.9935 cells=64 splits=62 cost=$0.07
[STEP  1300] loss=-2.4422 ce=1.6637 aux=1.6391 ent_gate=4.1267/4.159 wmax=0.5473 active>.01=4.0/64 λ=0.9926 cells=64 splits=62 cost=$0.08
[STEP  1350] loss=-2.4768 ce=1.6633 aux=1.6259 ent_gate=4.1278/4.159 wmax=0.5436 active>.01=4.0/64 λ=0.9916 cells=64 splits=62 cost=$0.08
[STEP  1400] loss=-2.4524 ce=1.6489 aux=1.6076 ent_gate=4.1293/4.159 wmax=0.5378 active>.01=4.0/64 λ=0.9906 cells=64 splits=62 cost=$0.08
[STEP  1450] loss=-2.4497 ce=1.6383 aux=1.5996 ent_gate=4.1300/4.159 wmax=0.5351 active>.01=4.0/64 λ=0.9896 cells=64 splits=62 cost=$0.08
[STEP  1500] loss=-2.5198 ce=1.5791 aux=1.5888 ent_gate=4.1310/4.159 wmax=0.5310 active>.01=4.0/64 λ=0.9884 cells=64 splits=62 cost=$0.09
[STEP  1550] loss=-2.5350 ce=1.6330 aux=1.5746 ent_gate=4.1321/4.159 wmax=0.5271 active>.01=4.0/64 λ=0.9872 cells=64 splits=62 cost=$0.09
[STEP  1600] loss=-2.6884 ce=1.5682 aux=1.5644 ent_gate=4.1330/4.159 wmax=0.5225 active>.01=4.0/64 λ=0.9860 cells=64 splits=62 cost=$0.09
[STEP  1650] loss=-2.4469 ce=1.5425 aux=1.5528 ent_gate=4.1338/4.159 wmax=0.5202 active>.01=4.0/64 λ=0.9847 cells=64 splits=62 cost=$0.10
[STEP  1700] loss=-2.4429 ce=1.5412 aux=1.5587 ent_gate=4.1334/4.159 wmax=0.5208 active>.01=4.0/64 λ=0.9834 cells=64 splits=62 cost=$0.10
[STEP  1750] loss=-2.5128 ce=1.5184 aux=1.5410 ent_gate=4.1348/4.159 wmax=0.5148 active>.01=4.0/64 λ=0.9820 cells=64 splits=62 cost=$0.10
[STEP  1800] loss=-2.5541 ce=1.5065 aux=1.5308 ent_gate=4.1355/4.159 wmax=0.5122 active>.01=4.0/64 λ=0.9805 cells=64 splits=62 cost=$0.11
[STEP  1850] loss=-2.5623 ce=1.4788 aux=1.5113 ent_gate=4.1369/4.159 wmax=0.5062 active>.01=4.0/64 λ=0.9790 cells=64 splits=62 cost=$0.11
[STEP  1900] loss=-2.5565 ce=1.5001 aux=1.5192 ent_gate=4.1365/4.159 wmax=0.5078 active>.01=4.0/64 λ=0.9774 cells=64 splits=62 cost=$0.11
[STEP  1950] loss=-2.5550 ce=1.4469 aux=1.5049 ent_gate=4.1375/4.159 wmax=0.5026 active>.01=4.0/64 λ=0.9758 cells=64 splits=62 cost=$0.12
  [SNAP 2000] 4a KL=2.9427 z=1.40 | 4b cos_z=0.55
[STEP  2000] loss=-2.5931 ce=1.4460 aux=1.4907 ent_gate=4.1386/4.159 wmax=0.4976 active>.01=4.0/64 λ=0.9741 cells=64 splits=62 cost=$0.12
[STEP  2050] loss=-2.5762 ce=1.4196 aux=1.4780 ent_gate=4.1395/4.159 wmax=0.4923 active>.01=4.0/64 λ=0.9723 cells=64 splits=62 cost=$0.12
[STEP  2100] loss=-2.5758 ce=1.4184 aux=1.4876 ent_gate=4.1389/4.159 wmax=0.4955 active>.01=4.0/64 λ=0.9706 cells=64 splits=62 cost=$0.13
[STEP  2150] loss=-2.5898 ce=1.4028 aux=1.4741 ent_gate=4.1397/4.159 wmax=0.4926 active>.01=4.0/64 λ=0.9687 cells=64 splits=62 cost=$0.13
[STEP  2200] loss=-2.7047 ce=1.3787 aux=1.4781 ent_gate=4.1394/4.159 wmax=0.4934 active>.01=4.0/64 λ=0.9668 cells=64 splits=62 cost=$0.13
[STEP  2250] loss=-2.6296 ce=1.3598 aux=1.4721 ent_gate=4.1399/4.159 wmax=0.4902 active>.01=4.0/64 λ=0.9648 cells=64 splits=62 cost=$0.14
[STEP  2300] loss=-2.5717 ce=1.3627 aux=1.4568 ent_gate=4.1410/4.159 wmax=0.4843 active>.01=4.0/64 λ=0.9628 cells=64 splits=62 cost=$0.14
[STEP  2350] loss=-2.5403 ce=1.3446 aux=1.4485 ent_gate=4.1415/4.159 wmax=0.4821 active>.01=4.0/64 λ=0.9608 cells=64 splits=62 cost=$0.14
[STEP  2400] loss=-2.7158 ce=1.3278 aux=1.4491 ent_gate=4.1415/4.159 wmax=0.4815 active>.01=4.0/64 λ=0.9586 cells=64 splits=62 cost=$0.14
[STEP  2450] loss=-2.5201 ce=1.3266 aux=1.4524 ent_gate=4.1415/4.159 wmax=0.4808 active>.01=4.0/64 λ=0.9565 cells=64 splits=62 cost=$0.15
[STEP  2500] loss=-2.6445 ce=1.2946 aux=1.4382 ent_gate=4.1424/4.159 wmax=0.4765 active>.01=4.0/64 λ=0.9542 cells=64 splits=62 cost=$0.15
[STEP  2550] loss=-2.6538 ce=1.3067 aux=1.4316 ent_gate=4.1427/4.159 wmax=0.4755 active>.01=4.0/64 λ=0.9520 cells=64 splits=62 cost=$0.15
[STEP  2600] loss=-2.6510 ce=1.2788 aux=1.4310 ent_gate=4.1429/4.159 wmax=0.4723 active>.01=4.0/64 λ=0.9496 cells=64 splits=62 cost=$0.16
[STEP  2650] loss=-2.7620 ce=1.2679 aux=1.4286 ent_gate=4.1428/4.159 wmax=0.4756 active>.01=4.0/64 λ=0.9473 cells=64 splits=62 cost=$0.16
[STEP  2700] loss=-2.7624 ce=1.2564 aux=1.4170 ent_gate=4.1438/4.159 wmax=0.4681 active>.01=4.0/64 λ=0.9448 cells=64 splits=62 cost=$0.16
[STEP  2750] loss=-2.5803 ce=1.2581 aux=1.4162 ent_gate=4.1439/4.159 wmax=0.4666 active>.01=4.0/64 λ=0.9423 cells=64 splits=62 cost=$0.17
[STEP  2800] loss=-2.7257 ce=1.2173 aux=1.4138 ent_gate=4.1440/4.159 wmax=0.4669 active>.01=4.0/64 λ=0.9398 cells=64 splits=62 cost=$0.17
[STEP  2850] loss=-2.8396 ce=1.2283 aux=1.4161 ent_gate=4.1441/4.159 wmax=0.4640 active>.01=4.0/64 λ=0.9372 cells=64 splits=62 cost=$0.17
[STEP  2900] loss=-2.6186 ce=1.2140 aux=1.4039 ent_gate=4.1446/4.159 wmax=0.4625 active>.01=4.0/64 λ=0.9346 cells=64 splits=62 cost=$0.18
[STEP  2950] loss=-2.8108 ce=1.1622 aux=1.4029 ent_gate=4.1448/4.159 wmax=0.4598 active>.01=4.0/64 λ=0.9319 cells=64 splits=62 cost=$0.18
[STEP  3000] loss=-2.7151 ce=1.1654 aux=1.4022 ent_gate=4.1444/4.159 wmax=0.4658 active>.01=4.0/64 λ=0.9291 cells=64 splits=62 cost=$0.18
[STEP  3050] loss=-2.7182 ce=1.1538 aux=1.4030 ent_gate=4.1446/4.159 wmax=0.4640 active>.01=4.0/64 λ=0.9264 cells=64 splits=62 cost=$0.19
[STEP  3100] loss=-2.7073 ce=1.1229 aux=1.3897 ent_gate=4.1454/4.159 wmax=0.4575 active>.01=4.0/64 λ=0.9235 cells=64 splits=62 cost=$0.19
[STEP  3150] loss=-2.6009 ce=1.1228 aux=1.3904 ent_gate=4.1454/4.159 wmax=0.4576 active>.01=4.0/64 λ=0.9206 cells=64 splits=62 cost=$0.19
[STEP  3200] loss=-2.5904 ce=1.1131 aux=1.3980 ent_gate=4.1449/4.159 wmax=0.4607 active>.01=4.0/64 λ=0.9177 cells=64 splits=62 cost=$0.19
[STEP  3250] loss=-2.6987 ce=1.0965 aux=1.3928 ent_gate=4.1458/4.159 wmax=0.4510 active>.01=4.0/64 λ=0.9147 cells=64 splits=62 cost=$0.20
[STEP  3300] loss=-2.6784 ce=1.0777 aux=1.3875 ent_gate=4.1456/4.159 wmax=0.4567 active>.01=4.0/64 λ=0.9117 cells=64 splits=62 cost=$0.20
[STEP  3350] loss=-2.7163 ce=1.1095 aux=1.3876 ent_gate=4.1456/4.159 wmax=0.4568 active>.01=4.0/64 λ=0.9086 cells=64 splits=62 cost=$0.20
[STEP  3400] loss=-2.6993 ce=1.0398 aux=1.3905 ent_gate=4.1453/4.159 wmax=0.4593 active>.01=4.0/64 λ=0.9055 cells=64 splits=62 cost=$0.21
