Warning: Permanently added '[82.66.51.122]:48064' (ED25519) to the list of known hosts.
Welcome to vast.ai. If authentication fails, try again after a few seconds, and double check your ssh key.
Have fun!
[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-80GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 512, 'n_head': 8, 'ffn_dim': 1536, 'max_seq': 128, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=8,631,360  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP     0] loss=352.5546 ce=352.8458 aux=1.0000 ent_gate=0.3012/0.693 wmax=0.9106 active>.01=2.0/2 λ=1.0000 cells=2 splits=0 cost=$0.00
[STEP    50] loss=334.8777 ce=342.9673 aux=1.4884 ent_gate=0.9375/2.944 wmax=0.6568 active>.01=2.8/19 λ=1.0000 cells=19 splits=17 cost=$0.00
[STEP   100] loss=336.9841 ce=338.3454 aux=5.6489 ent_gate=2.2029/4.060 wmax=0.5729 active>.01=3.9/58 λ=1.0000 cells=58 splits=56 cost=$0.00
[STEP   150] loss=332.1924 ce=335.8625 aux=8.7987 ent_gate=2.8098/4.159 wmax=0.5241 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   200] loss=301.0468 ce=322.0596 aux=9.3247 ent_gate=2.7013/4.159 wmax=0.5534 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   250] loss=235.7346 ce=276.2358 aux=9.3270 ent_gate=2.6740/4.159 wmax=0.5464 active>.01=3.9/64 λ=1.0000 cells=64 splits=62 cost=$0.01
[STEP   300] loss=134.4583 ce=192.9527 aux=9.1124 ent_gate=2.7914/4.159 wmax=0.4998 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   350] loss=69.4183 ce=96.7871 aux=8.5887 ent_gate=2.9104/4.159 wmax=0.5146 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   400] loss=27.1094 ce=42.4939 aux=9.2442 ent_gate=2.7506/4.159 wmax=0.5368 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   450] loss=11.0555 ce=20.5041 aux=8.8346 ent_gate=2.8696/4.159 wmax=0.5224 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   500] loss=5.3628 ce=11.1096 aux=9.6189 ent_gate=2.6002/4.159 wmax=0.5373 active>.01=3.9/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   550] loss=5.6678 ce=7.3725 aux=9.4391 ent_gate=2.6579/4.159 wmax=0.5487 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   600] loss=2.1203 ce=5.3699 aux=9.1985 ent_gate=2.7490/4.159 wmax=0.5229 active>.01=4.0/64 λ=0.9999 cells=64 splits=62 cost=$0.04
[STEP   650] loss=1.2828 ce=4.4531 aux=8.9297 ent_gate=2.8284/4.159 wmax=0.5003 active>.01=4.0/64 λ=0.9997 cells=64 splits=62 cost=$0.04
[STEP   700] loss=1.1656 ce=3.8348 aux=9.4615 ent_gate=2.6699/4.159 wmax=0.5191 active>.01=3.9/64 λ=0.9995 cells=64 splits=62 cost=$0.04
[STEP   750] loss=-0.0145 ce=3.4280 aux=9.3839 ent_gate=2.6603/4.159 wmax=0.5393 active>.01=4.0/64 λ=0.9993 cells=64 splits=62 cost=$0.05
[STEP   800] loss=-0.1278 ce=3.0529 aux=9.3143 ent_gate=2.7207/4.159 wmax=0.5304 active>.01=4.0/64 λ=0.9990 cells=64 splits=62 cost=$0.05
[STEP   850] loss=2.0543 ce=2.9349 aux=9.1567 ent_gate=2.6974/4.159 wmax=0.5421 active>.01=3.9/64 λ=0.9986 cells=64 splits=62 cost=$0.05
[STEP   900] loss=-0.5359 ce=2.7048 aux=9.7192 ent_gate=2.6126/4.159 wmax=0.5676 active>.01=3.9/64 λ=0.9981 cells=64 splits=62 cost=$0.06
[STEP   950] loss=-0.1081 ce=2.5603 aux=8.5908 ent_gate=2.8591/4.159 wmax=0.5453 active>.01=4.0/64 λ=0.9976 cells=64 splits=62 cost=$0.06
[STEP  1000] loss=0.0156 ce=2.4908 aux=9.1169 ent_gate=2.7001/4.159 wmax=0.5542 active>.01=3.9/64 λ=0.9971 cells=64 splits=62 cost=$0.06
[STEP  1050] loss=-0.2078 ce=2.4278 aux=9.1751 ent_gate=2.7080/4.159 wmax=0.5660 active>.01=4.0/64 λ=0.9965 cells=64 splits=62 cost=$0.07
[STEP  1100] loss=1.4607 ce=2.3362 aux=9.7553 ent_gate=2.6075/4.159 wmax=0.5743 active>.01=3.9/64 λ=0.9958 cells=64 splits=62 cost=$0.07
[STEP  1150] loss=-1.1259 ce=2.2789 aux=9.5741 ent_gate=2.6408/4.159 wmax=0.5416 active>.01=4.0/64 λ=0.9951 cells=64 splits=62 cost=$0.07
[STEP  1200] loss=-0.7393 ce=2.2000 aux=9.0179 ent_gate=2.7805/4.159 wmax=0.5139 active>.01=3.9/64 λ=0.9943 cells=64 splits=62 cost=$0.08
[STEP  1250] loss=0.5387 ce=2.1590 aux=9.7320 ent_gate=2.5900/4.159 wmax=0.5831 active>.01=4.0/64 λ=0.9935 cells=64 splits=62 cost=$0.08
[STEP  1300] loss=-1.0228 ce=2.1419 aux=8.9334 ent_gate=2.7550/4.159 wmax=0.5484 active>.01=3.9/64 λ=0.9926 cells=64 splits=62 cost=$0.08
[STEP  1350] loss=0.3841 ce=2.0598 aux=9.5467 ent_gate=2.6169/4.159 wmax=0.5646 active>.01=3.8/64 λ=0.9916 cells=64 splits=62 cost=$0.09
[STEP  1400] loss=-0.3806 ce=2.0411 aux=9.2442 ent_gate=2.7229/4.159 wmax=0.5164 active>.01=3.9/64 λ=0.9906 cells=64 splits=62 cost=$0.09
[STEP  1450] loss=0.4615 ce=2.0211 aux=9.0495 ent_gate=2.7275/4.159 wmax=0.5205 active>.01=3.9/64 λ=0.9896 cells=64 splits=62 cost=$0.09
[STEP  1500] loss=0.0212 ce=1.9863 aux=9.1733 ent_gate=2.6918/4.159 wmax=0.5537 active>.01=3.8/64 λ=0.9884 cells=64 splits=62 cost=$0.10
[STEP  1550] loss=-1.2435 ce=1.9614 aux=9.4197 ent_gate=2.6291/4.159 wmax=0.5769 active>.01=3.9/64 λ=0.9872 cells=64 splits=62 cost=$0.10
[STEP  1600] loss=0.3355 ce=1.9455 aux=8.7756 ent_gate=2.7893/4.159 wmax=0.5454 active>.01=3.9/64 λ=0.9860 cells=64 splits=62 cost=$0.10
[STEP  1650] loss=0.1123 ce=1.9223 aux=10.1918 ent_gate=2.4728/4.159 wmax=0.5512 active>.01=3.9/64 λ=0.9847 cells=64 splits=62 cost=$0.11
[STEP  1700] loss=0.3502 ce=1.8811 aux=9.1327 ent_gate=2.7361/4.159 wmax=0.5370 active>.01=4.0/64 λ=0.9834 cells=64 splits=62 cost=$0.11
[STEP  1750] loss=-1.5820 ce=1.8735 aux=9.2307 ent_gate=2.7348/4.159 wmax=0.4998 active>.01=3.9/64 λ=0.9820 cells=64 splits=62 cost=$0.11
[STEP  1800] loss=-1.0495 ce=1.8796 aux=10.1318 ent_gate=2.4640/4.159 wmax=0.6067 active>.01=3.9/64 λ=0.9805 cells=64 splits=62 cost=$0.12
[STEP  1850] loss=-1.1773 ce=1.8244 aux=9.0064 ent_gate=2.7610/4.159 wmax=0.5227 active>.01=3.9/64 λ=0.9790 cells=64 splits=62 cost=$0.12
[STEP  1900] loss=-0.8517 ce=1.8293 aux=8.9182 ent_gate=2.8049/4.159 wmax=0.5373 active>.01=3.9/64 λ=0.9774 cells=64 splits=62 cost=$0.12
[STEP  1950] loss=-1.4250 ce=1.8074 aux=9.1826 ent_gate=2.7344/4.159 wmax=0.5364 active>.01=4.0/64 λ=0.9758 cells=64 splits=62 cost=$0.13
  [SNAP 2000] 4a KL=13.8192 z=1.36 | 4b cos_z=0.77
[STEP  2000] loss=0.1649 ce=1.8044 aux=9.4779 ent_gate=2.6858/4.159 wmax=0.5330 active>.01=3.9/64 λ=0.9741 cells=64 splits=62 cost=$0.13
[STEP  2050] loss=-1.5618 ce=1.7634 aux=9.1675 ent_gate=2.6881/4.159 wmax=0.5503 active>.01=3.8/64 λ=0.9723 cells=64 splits=62 cost=$0.13
[STEP  2100] loss=-0.9480 ce=1.7509 aux=9.4804 ent_gate=2.6878/4.159 wmax=0.5379 active>.01=4.0/64 λ=0.9706 cells=64 splits=62 cost=$0.14
[STEP  2150] loss=-0.1940 ce=1.7590 aux=9.9630 ent_gate=2.4809/4.159 wmax=0.5962 active>.01=3.9/64 λ=0.9687 cells=64 splits=62 cost=$0.14
[STEP  2200] loss=-1.7232 ce=1.7229 aux=8.9611 ent_gate=2.7921/4.159 wmax=0.5294 active>.01=4.0/64 λ=0.9668 cells=64 splits=62 cost=$0.14
[STEP  2250] loss=-0.4866 ce=1.7263 aux=9.5441 ent_gate=2.7052/4.159 wmax=0.5156 active>.01=4.0/64 λ=0.9648 cells=64 splits=62 cost=$0.15
[STEP  2300] loss=-0.8751 ce=1.7109 aux=9.1039 ent_gate=2.7679/4.159 wmax=0.4984 active>.01=4.0/64 λ=0.9628 cells=64 splits=62 cost=$0.15
[STEP  2350] loss=-1.6653 ce=1.7008 aux=8.9040 ent_gate=2.8034/4.159 wmax=0.5604 active>.01=4.0/64 λ=0.9608 cells=64 splits=62 cost=$0.15
[STEP  2400] loss=-1.7023 ce=1.6796 aux=9.1203 ent_gate=2.7110/4.159 wmax=0.5491 active>.01=4.0/64 λ=0.9586 cells=64 splits=62 cost=$0.16
[STEP  2450] loss=-0.0044 ce=1.6764 aux=10.2449 ent_gate=2.4518/4.159 wmax=0.5857 active>.01=3.8/64 λ=0.9565 cells=64 splits=62 cost=$0.16
[STEP  2500] loss=-0.3653 ce=1.6456 aux=9.5845 ent_gate=2.6111/4.159 wmax=0.5463 active>.01=3.9/64 λ=0.9542 cells=64 splits=62 cost=$0.17
[STEP  2550] loss=-1.5225 ce=1.6689 aux=9.3807 ent_gate=2.7213/4.159 wmax=0.5245 active>.01=4.0/64 λ=0.9520 cells=64 splits=62 cost=$0.17
[STEP  2600] loss=-0.9936 ce=1.6436 aux=9.4046 ent_gate=2.6902/4.159 wmax=0.5424 active>.01=3.9/64 λ=0.9496 cells=64 splits=62 cost=$0.17
[STEP  2650] loss=-0.2031 ce=1.6391 aux=9.3406 ent_gate=2.6764/4.159 wmax=0.5602 active>.01=3.9/64 λ=0.9473 cells=64 splits=62 cost=$0.18
[STEP  2700] loss=-1.2286 ce=1.6439 aux=9.2573 ent_gate=2.7039/4.159 wmax=0.5429 active>.01=3.9/64 λ=0.9448 cells=64 splits=62 cost=$0.18
[STEP  2750] loss=-1.4980 ce=1.6161 aux=9.4766 ent_gate=2.5990/4.159 wmax=0.5625 active>.01=3.8/64 λ=0.9423 cells=64 splits=62 cost=$0.18
[STEP  2800] loss=0.0185 ce=1.6139 aux=10.0123 ent_gate=2.5236/4.159 wmax=0.5572 active>.01=3.9/64 λ=0.9398 cells=64 splits=62 cost=$0.19
[STEP  2850] loss=-0.7776 ce=1.5791 aux=9.3301 ent_gate=2.7057/4.159 wmax=0.5102 active>.01=3.9/64 λ=0.9372 cells=64 splits=62 cost=$0.19
[STEP  2900] loss=-1.7765 ce=1.5753 aux=9.2798 ent_gate=2.7617/4.159 wmax=0.5254 active>.01=3.9/64 λ=0.9346 cells=64 splits=62 cost=$0.19
[STEP  2950] loss=-0.7117 ce=1.5661 aux=9.1729 ent_gate=2.7371/4.159 wmax=0.5211 active>.01=3.9/64 λ=0.9319 cells=64 splits=62 cost=$0.20
[STEP  3000] loss=1.5061 ce=1.5627 aux=9.2753 ent_gate=2.6929/4.159 wmax=0.5462 active>.01=3.9/64 λ=0.9291 cells=64 splits=62 cost=$0.20
[STEP  3050] loss=-1.8515 ce=1.5534 aux=8.5941 ent_gate=2.8884/4.159 wmax=0.4943 active>.01=4.0/64 λ=0.9264 cells=64 splits=62 cost=$0.20
[STEP  3100] loss=-1.2964 ce=1.5326 aux=8.4307 ent_gate=2.8776/4.159 wmax=0.4992 active>.01=3.9/64 λ=0.9235 cells=64 splits=62 cost=$0.21
[STEP  3150] loss=-1.6300 ce=1.5472 aux=8.9921 ent_gate=2.8126/4.159 wmax=0.4838 active>.01=4.0/64 λ=0.9206 cells=64 splits=62 cost=$0.21
[STEP  3200] loss=-1.6658 ce=1.5130 aux=9.0134 ent_gate=2.7731/4.159 wmax=0.5173 active>.01=4.0/64 λ=0.9177 cells=64 splits=62 cost=$0.21
[STEP  3250] loss=-1.6656 ce=1.4984 aux=9.2496 ent_gate=2.7035/4.159 wmax=0.5251 active>.01=3.9/64 λ=0.9147 cells=64 splits=62 cost=$0.22
[STEP  3300] loss=-1.6553 ce=1.5063 aux=9.4794 ent_gate=2.6589/4.159 wmax=0.5424 active>.01=3.9/64 λ=0.9117 cells=64 splits=62 cost=$0.22
[STEP  3350] loss=-0.8831 ce=1.5116 aux=9.3307 ent_gate=2.7202/4.159 wmax=0.5452 active>.01=4.0/64 λ=0.9086 cells=64 splits=62 cost=$0.22
[STEP  3400] loss=-0.3805 ce=1.4776 aux=8.9300 ent_gate=2.8353/4.159 wmax=0.5023 active>.01=4.0/64 λ=0.9055 cells=64 splits=62 cost=$0.23
