[2026-05-04T02:00:49Z] start watcher pod=pvkyhb0lb87ydu watchdog_kill=$27 hard_cap=$30 rate=$2.99/hr
[2026-05-04T02:00:51Z] elapsed=0min spend=$0.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=71/10000
[2026-05-04T02:10:54Z] elapsed=10min spend=$0.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=305/10000
[2026-05-04T02:20:56Z] elapsed=20min spend=$1.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=544/10000
[2026-05-04T02:42:16Z] elapsed=40min spend=$2.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=1045/10000
[2026-05-04T02:53:33Z] elapsed=51min spend=$2.56 probe=DONE=0 PHASE=none ALIVE=1 STEP=1316/10000
[2026-05-04T03:04:51Z] elapsed=62min spend=$3.13 probe=DONE=0 PHASE=none ALIVE=1 STEP=1584/10000
[2026-05-04T03:16:08Z] elapsed=74min spend=$3.69 probe=DONE=0 PHASE=none ALIVE=1 STEP=1851/10000
[2026-05-04T03:27:26Z] elapsed=85min spend=$4.25 probe=DONE=0 PHASE=none ALIVE=1 STEP=2118/10000
[2026-05-04T03:38:43Z] elapsed=96min spend=$4.81 probe=DONE=0 PHASE=none ALIVE=1 STEP=2386/10000
[2026-05-04T03:48:46Z] elapsed=107min spend=$5.38 probe=DONE=0 PHASE=none ALIVE=1 STEP=2612/10000
[2026-05-04T04:00:03Z] elapsed=117min spend=$5.88 probe=DONE=0 PHASE=none ALIVE=1 STEP=2881/10000
[2026-05-04T04:11:21Z] elapsed=129min spend=$6.44 probe=DONE=0 PHASE=none ALIVE=1 STEP=3140/10000
[2026-05-04T04:21:24Z] elapsed=140min spend=$7.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=3379/10000
[2026-05-04T04:31:27Z] elapsed=150min spend=$7.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=3619/10000
[2026-05-04T04:41:29Z] elapsed=160min spend=$8.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=3855/10000
[2026-05-04T04:52:48Z] elapsed=170min spend=$8.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=4121/10000
[2026-05-04T05:02:50Z] elapsed=181min spend=$9.07 probe=DONE=0 PHASE=none ALIVE=1 STEP=4355/10000
[2026-05-04T05:12:53Z] elapsed=192min spend=$9.57 probe=DONE=0 PHASE=none ALIVE=1 STEP=4594/10000
[2026-05-04T05:24:10Z] elapsed=202min spend=$10.07 probe=DONE=0 PHASE=none ALIVE=1 STEP=4860/10000
[2026-05-04T05:34:12Z] elapsed=213min spend=$10.63 probe=DONE=0 PHASE=none ALIVE=1 STEP=5093/10000
[2026-05-04T05:45:30Z] elapsed=223min spend=$11.13 probe=DONE=0 PHASE=none ALIVE=1 STEP=5360/10000
[2026-05-04T05:56:48Z] elapsed=234min spend=$11.70 probe=DONE=0 PHASE=none ALIVE=1 STEP=5628/10000
[2026-05-04T06:06:51Z] elapsed=245min spend=$12.26 probe=DONE=0 PHASE=none ALIVE=1 STEP=5862/10000
[2026-05-04T06:18:08Z] elapsed=256min spend=$12.76 probe=DONE=0 PHASE=none ALIVE=1 STEP=6123/10000
[2026-05-04T06:29:26Z] elapsed=267min spend=$13.32 probe=DONE=0 PHASE=none ALIVE=1 STEP=6384/10000
[2026-05-04T06:39:28Z] elapsed=278min spend=$13.88 probe=DONE=0 PHASE=none ALIVE=1 STEP=6612/10000
[2026-05-04T06:49:30Z] elapsed=288min spend=$14.38 probe=DONE=0 PHASE=none ALIVE=1 STEP=6851/10000
[2026-05-04T06:59:32Z] elapsed=298min spend=$14.88 probe=DONE=0 PHASE=none ALIVE=1 STEP=7087/10000
[2026-05-04T07:09:36Z] elapsed=308min spend=$15.38 probe=DONE=0 PHASE=none ALIVE=1 STEP=7320/10000
[2026-05-04T07:19:38Z] elapsed=318min spend=$15.89 probe=DONE=0 PHASE=none ALIVE=1 STEP=7556/10000
[2026-05-04T07:29:41Z] elapsed=328min spend=$16.39 probe=DONE=0 PHASE=none ALIVE=1 STEP=7794/10000
[2026-05-04T07:39:44Z] elapsed=338min spend=$16.89 probe=DONE=0 PHASE=none ALIVE=1 STEP=8027/10000
[2026-05-04T07:49:49Z] elapsed=348min spend=$17.39 probe=DONE=0 PHASE=none ALIVE=1 STEP=8264/10000
[2026-05-04T08:00:00Z] elapsed=359min spend=$17.89 probe=DONE=0 PHASE=none ALIVE=1 STEP=8504/10000
[2026-05-04T08:11:22Z] elapsed=369min spend=$18.40 probe=DONE=0 PHASE=none ALIVE=1 STEP=8774/10000
[2026-05-04T08:22:40Z] elapsed=380min spend=$18.96 probe=DONE=0 PHASE=none ALIVE=1 STEP=9036/10000
[2026-05-04T08:32:42Z] elapsed=391min spend=$19.53 probe=DONE=0 PHASE=none ALIVE=1 STEP=9270/10000
