[2026-05-04T04:45:47Z] start watcher pod=nzw0btc8br78yy watchdog_kill=$27 hard_cap=$30 rate=$2.99/hr
[2026-05-04T04:45:51Z] elapsed=0min spend=$0.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=36/10000
[2026-05-04T04:55:54Z] elapsed=10min spend=$0.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=299/10000
[2026-05-04T05:05:58Z] elapsed=20min spend=$1.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=564/10000
[2026-05-04T05:16:03Z] elapsed=30min spend=$1.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=825/10000
[2026-05-04T05:26:07Z] elapsed=40min spend=$2.01 probe=DONE=0 PHASE=none ALIVE=1 STEP=1086/10000
[2026-05-04T05:36:10Z] elapsed=50min spend=$2.51 probe=DONE=0 PHASE=none ALIVE=1 STEP=1344/10000
[2026-05-04T05:46:13Z] elapsed=60min spend=$3.01 probe=DONE=0 PHASE=none ALIVE=1 STEP=1610/10000
[2026-05-04T05:56:17Z] elapsed=70min spend=$3.51 probe=DONE=0 PHASE=none ALIVE=1 STEP=1868/10000
[2026-05-04T06:06:21Z] elapsed=80min spend=$4.01 probe=DONE=0 PHASE=none ALIVE=1 STEP=2127/10000
[2026-05-04T06:16:25Z] elapsed=90min spend=$4.51 probe=DONE=0 PHASE=none ALIVE=1 STEP=2390/10000
[2026-05-04T06:26:29Z] elapsed=100min spend=$5.01 probe=DONE=0 PHASE=none ALIVE=1 STEP=2654/10000
[2026-05-04T06:36:32Z] elapsed=110min spend=$5.52 probe=DONE=0 PHASE=none ALIVE=1 STEP=2911/10000
[2026-05-04T06:46:35Z] elapsed=120min spend=$6.02 probe=DONE=0 PHASE=none ALIVE=1 STEP=3171/10000
[2026-05-04T06:56:39Z] elapsed=130min spend=$6.52 probe=DONE=0 PHASE=none ALIVE=1 STEP=3429/10000
[2026-05-04T07:06:50Z] elapsed=140min spend=$7.02 probe=DONE=0 PHASE=none ALIVE=1 STEP=3699/10000
[2026-05-04T07:16:57Z] elapsed=151min spend=$7.53 probe=DONE=0 PHASE=none ALIVE=1 STEP=3961/10000
[2026-05-04T07:27:01Z] elapsed=161min spend=$8.03 probe=DONE=0 PHASE=none ALIVE=1 STEP=4216/10000
[2026-05-04T07:37:05Z] elapsed=171min spend=$8.53 probe=DONE=0 PHASE=none ALIVE=1 STEP=4480/10000
[2026-05-04T07:47:09Z] elapsed=181min spend=$9.04 probe=DONE=0 PHASE=none ALIVE=1 STEP=4743/10000
[2026-05-04T07:57:15Z] elapsed=191min spend=$9.54 probe=DONE=0 PHASE=none ALIVE=1 STEP=5001/10000
[2026-05-04T08:07:19Z] elapsed=201min spend=$10.04 probe=DONE=0 PHASE=none ALIVE=1 STEP=5267/10000
[2026-05-04T08:17:23Z] elapsed=211min spend=$10.54 probe=DONE=0 PHASE=none ALIVE=1 STEP=5528/10000
[2026-05-04T08:27:29Z] elapsed=221min spend=$11.04 probe=DONE=0 PHASE=none ALIVE=1 STEP=5792/10000
