[A_rules] n_layers=24 unfreeze_from=16 trainable_params=88,754,176
[A_rules] step=0/1500 loss=2.1634 elapsed=1s lr=3.00e-07
[A_rules] step=50/1500 loss=0.1875 elapsed=29s lr=7.80e-06
[A_rules] step=100/1500 loss=0.0662 elapsed=58s lr=1.50e-05
[A_rules] step=150/1500 loss=0.0479 elapsed=86s lr=1.50e-05
[A_rules] step=200/1500 loss=0.0392 elapsed=115s lr=1.48e-05
[A_rules] step=250/1500 loss=0.0293 elapsed=144s lr=1.46e-05
[A_rules] step=300/1500 loss=0.0384 elapsed=172s lr=1.42e-05
[A_rules] step=350/1500 loss=0.0433 elapsed=201s lr=1.38e-05
[A_rules] step=400/1500 loss=0.0426 elapsed=230s lr=1.34e-05
[A_rules] step=450/1500 loss=0.0466 elapsed=258s lr=1.28e-05
[A_rules] step=500/1500 loss=0.0278 elapsed=287s lr=1.22e-05
[A_rules] step=550/1500 loss=0.0501 elapsed=316s lr=1.15e-05
[A_rules] step=600/1500 loss=0.0371 elapsed=344s lr=1.07e-05
[A_rules] step=650/1500 loss=0.0325 elapsed=373s lr=9.96e-06
[A_rules] step=700/1500 loss=0.0340 elapsed=402s lr=9.15e-06
[A_rules] step=750/1500 loss=0.0375 elapsed=430s lr=8.32e-06
[A_rules] step=800/1500 loss=0.0617 elapsed=459s lr=7.48e-06
[A_rules] step=850/1500 loss=0.0378 elapsed=488s lr=6.64e-06
[A_rules] step=900/1500 loss=0.0328 elapsed=517s lr=5.81e-06
[A_rules] step=950/1500 loss=0.0303 elapsed=545s lr=5.01e-06
[A_rules] step=1000/1500 loss=0.0303 elapsed=574s lr=4.23e-06
[A_rules] step=1050/1500 loss=0.0449 elapsed=603s lr=3.50e-06
[A_rules] step=1100/1500 loss=0.0490 elapsed=631s lr=2.81e-06
[A_rules] step=1150/1500 loss=0.0377 elapsed=660s lr=2.18e-06
[A_rules] step=1200/1500 loss=0.0346 elapsed=689s lr=1.63e-06
[A_rules] step=1250/1500 loss=0.0428 elapsed=717s lr=1.14e-06
[A_rules] step=1300/1500 loss=0.0438 elapsed=746s lr=7.35e-07
[A_rules] step=1350/1500 loss=0.0293 elapsed=775s lr=4.15e-07
[A_rules] step=1400/1500 loss=0.0463 elapsed=804s lr=1.84e-07
[A_rules] step=1450/1500 loss=0.0365 elapsed=832s lr=4.53e-08
[A_rules] step=1499/1500 loss=0.0470 elapsed=860s lr=0.00e+00
FINAL ckpt=/home/aiden/mac_home/core/anima/state/p_idr_identity_rules_2026_05_12/ckpt_A_rules_step1500.pt loss_first=2.1634 loss_final=0.0470 trainable=88,754,176
