[B_substrate] n_layers=24 unfreeze_from=16 trainable_params=88,754,176
[B_substrate] step=0/1500 loss=0.0859 elapsed=1s lr=3.00e-07
[B_substrate] step=50/1500 loss=0.0900 elapsed=29s lr=7.80e-06
[B_substrate] step=100/1500 loss=0.0754 elapsed=57s lr=1.50e-05
[B_substrate] step=150/1500 loss=0.0791 elapsed=86s lr=1.50e-05
[B_substrate] step=200/1500 loss=0.0897 elapsed=114s lr=1.48e-05
[B_substrate] step=250/1500 loss=0.1928 elapsed=143s lr=1.46e-05
[B_substrate] step=300/1500 loss=0.0949 elapsed=172s lr=1.42e-05
[B_substrate] step=350/1500 loss=0.0956 elapsed=200s lr=1.38e-05
[B_substrate] step=400/1500 loss=0.0939 elapsed=229s lr=1.34e-05
[B_substrate] step=450/1500 loss=0.0872 elapsed=258s lr=1.28e-05
[B_substrate] step=500/1500 loss=0.0680 elapsed=287s lr=1.22e-05
[B_substrate] step=550/1500 loss=0.0701 elapsed=316s lr=1.15e-05
[B_substrate] step=600/1500 loss=0.0816 elapsed=345s lr=1.07e-05
[B_substrate] step=650/1500 loss=0.0872 elapsed=374s lr=9.96e-06
[B_substrate] step=700/1500 loss=0.0760 elapsed=403s lr=9.15e-06
[B_substrate] step=750/1500 loss=0.0617 elapsed=431s lr=8.32e-06
[B_substrate] step=800/1500 loss=0.1056 elapsed=460s lr=7.48e-06
[B_substrate] step=850/1500 loss=0.0701 elapsed=489s lr=6.64e-06
[B_substrate] step=900/1500 loss=0.0817 elapsed=518s lr=5.81e-06
[B_substrate] step=950/1500 loss=0.0677 elapsed=546s lr=5.01e-06
[B_substrate] step=1000/1500 loss=0.0932 elapsed=575s lr=4.23e-06
[B_substrate] step=1050/1500 loss=0.0762 elapsed=604s lr=3.50e-06
[B_substrate] step=1100/1500 loss=0.0877 elapsed=632s lr=2.81e-06
[B_substrate] step=1150/1500 loss=0.0853 elapsed=661s lr=2.18e-06
[B_substrate] step=1200/1500 loss=0.0841 elapsed=690s lr=1.63e-06
[B_substrate] step=1250/1500 loss=0.0854 elapsed=719s lr=1.14e-06
[B_substrate] step=1300/1500 loss=0.0915 elapsed=749s lr=7.35e-07
[B_substrate] step=1350/1500 loss=0.0959 elapsed=779s lr=4.15e-07
[B_substrate] step=1400/1500 loss=0.0808 elapsed=810s lr=1.84e-07
[B_substrate] step=1450/1500 loss=0.0790 elapsed=839s lr=4.53e-08
[B_substrate] step=1499/1500 loss=0.0864 elapsed=868s lr=0.00e+00
FINAL ckpt=/home/aiden/mac_home/core/anima/state/p_idr_identity_rules_2026_05_12/ckpt_B_substrate_step1500.pt loss_first=0.0859 loss_final=0.0864 trainable=88,754,176
