timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 10:14:47.727, 0 %, 0 MiB
2026/05/28 10:14:57.730, 0 %, 0 MiB
2026/05/28 10:15:07.730, 0 %, 0 MiB
2026/05/28 10:15:17.731, 0 %, 0 MiB
2026/05/28 10:15:27.731, 0 %, 0 MiB
2026/05/28 10:15:37.732, 0 %, 0 MiB
2026/05/28 10:15:47.732, 0 %, 0 MiB
2026/05/28 10:15:57.733, 0 %, 0 MiB
2026/05/28 10:16:07.734, 0 %, 0 MiB
2026/05/28 10:16:17.734, 0 %, 595 MiB
2026/05/28 10:16:27.734, 0 %, 595 MiB
2026/05/28 10:16:37.735, 0 %, 595 MiB
2026/05/28 10:16:47.735, 0 %, 893 MiB
2026/05/28 10:16:57.735, 0 %, 595 MiB
2026/05/28 10:17:07.736, 0 %, 595 MiB
2026/05/28 10:17:17.736, 0 %, 595 MiB
2026/05/28 10:17:27.736, 0 %, 595 MiB
2026/05/28 10:17:37.737, 0 %, 595 MiB
2026/05/28 10:17:47.737, 0 %, 595 MiB
2026/05/28 10:17:57.737, 0 %, 893 MiB
2026/05/28 10:18:07.738, 0 %, 595 MiB
2026/05/28 10:18:17.738, 0 %, 595 MiB
2026/05/28 10:18:27.738, 0 %, 595 MiB
2026/05/28 10:18:37.739, 0 %, 595 MiB
2026/05/28 10:18:47.739, 0 %, 595 MiB
2026/05/28 10:18:57.740, 0 %, 595 MiB
2026/05/28 10:19:07.740, 0 %, 595 MiB
2026/05/28 10:19:17.740, 0 %, 595 MiB
2026/05/28 10:19:27.741, 0 %, 893 MiB
2026/05/28 10:19:37.741, 0 %, 595 MiB
2026/05/28 10:19:47.742, 0 %, 595 MiB
2026/05/28 10:19:57.742, 0 %, 595 MiB
2026/05/28 10:20:07.743, 0 %, 595 MiB
2026/05/28 10:20:17.743, 0 %, 595 MiB
2026/05/28 10:20:27.743, 0 %, 595 MiB
2026/05/28 10:20:37.744, 0 %, 595 MiB
2026/05/28 10:20:47.744, 0 %, 595 MiB
2026/05/28 10:20:57.744, 5 %, 595 MiB
2026/05/28 10:21:07.745, 0 %, 595 MiB
2026/05/28 10:21:17.745, 0 %, 895 MiB
2026/05/28 10:21:27.745, 0 %, 595 MiB
2026/05/28 10:21:37.746, 0 %, 895 MiB
2026/05/28 10:21:47.746, 0 %, 595 MiB
2026/05/28 10:21:57.746, 0 %, 595 MiB
2026/05/28 10:22:07.747, 0 %, 595 MiB
2026/05/28 10:22:17.747, 0 %, 595 MiB
2026/05/28 10:22:27.747, 0 %, 595 MiB
2026/05/28 10:22:37.747, 0 %, 595 MiB
2026/05/28 10:22:47.748, 0 %, 595 MiB
2026/05/28 10:22:57.748, 0 %, 595 MiB
2026/05/28 10:23:07.749, 0 %, 595 MiB
2026/05/28 10:23:17.749, 0 %, 595 MiB
2026/05/28 10:23:27.750, 6 %, 595 MiB
2026/05/28 10:23:37.750, 0 %, 595 MiB
2026/05/28 10:23:47.750, 0 %, 895 MiB
2026/05/28 10:23:57.750, 0 %, 595 MiB
2026/05/28 10:24:07.751, 0 %, 895 MiB
2026/05/28 10:24:17.751, 0 %, 595 MiB
2026/05/28 10:24:27.751, 1 %, 595 MiB
2026/05/28 10:24:37.752, 0 %, 595 MiB
2026/05/28 10:24:47.752, 0 %, 595 MiB
2026/05/28 10:24:57.752, 0 %, 595 MiB
2026/05/28 10:25:07.752, 0 %, 595 MiB
2026/05/28 10:25:17.753, 0 %, 595 MiB
2026/05/28 10:25:27.753, 0 %, 595 MiB
2026/05/28 10:25:37.754, 0 %, 595 MiB
2026/05/28 10:25:47.754, 0 %, 595 MiB
2026/05/28 10:25:57.754, 0 %, 595 MiB
2026/05/28 10:26:07.755, 0 %, 595 MiB
2026/05/28 10:26:17.756, 0 %, 595 MiB
2026/05/28 10:26:27.757, 0 %, 595 MiB
2026/05/28 10:26:37.757, 0 %, 895 MiB
2026/05/28 10:26:47.757, 0 %, 595 MiB
2026/05/28 10:26:57.757, 0 %, 895 MiB
2026/05/28 10:27:07.758, 0 %, 595 MiB
2026/05/28 10:27:17.758, 0 %, 595 MiB
2026/05/28 10:27:27.758, 0 %, 595 MiB
2026/05/28 10:27:37.758, 0 %, 595 MiB
2026/05/28 10:27:47.759, 0 %, 595 MiB
2026/05/28 10:27:57.759, 0 %, 595 MiB
2026/05/28 10:28:07.759, 0 %, 595 MiB
2026/05/28 10:28:17.760, 0 %, 595 MiB
2026/05/28 10:28:27.760, 0 %, 595 MiB
2026/05/28 10:28:37.761, 0 %, 595 MiB
2026/05/28 10:28:47.762, 0 %, 595 MiB
2026/05/28 10:28:57.763, 0 %, 595 MiB
2026/05/28 10:29:07.764, 0 %, 895 MiB
2026/05/28 10:29:17.764, 0 %, 595 MiB
