timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 10:14:49.660, 0 %, 0 MiB
2026/05/28 10:14:59.664, 0 %, 0 MiB
2026/05/28 10:15:09.665, 0 %, 0 MiB
2026/05/28 10:15:19.665, 0 %, 0 MiB
2026/05/28 10:15:29.666, 0 %, 0 MiB
2026/05/28 10:15:39.667, 0 %, 0 MiB
2026/05/28 10:15:49.668, 0 %, 0 MiB
2026/05/28 10:15:59.669, 0 %, 0 MiB
2026/05/28 10:16:09.670, 0 %, 0 MiB
2026/05/28 10:16:19.671, 0 %, 595 MiB
2026/05/28 10:16:29.672, 0 %, 595 MiB
2026/05/28 10:16:39.673, 0 %, 893 MiB
2026/05/28 10:16:49.674, 0 %, 595 MiB
2026/05/28 10:16:59.675, 0 %, 595 MiB
2026/05/28 10:17:09.676, 0 %, 595 MiB
2026/05/28 10:17:19.677, 0 %, 595 MiB
2026/05/28 10:17:29.678, 0 %, 595 MiB
2026/05/28 10:17:39.679, 0 %, 595 MiB
2026/05/28 10:17:49.679, 0 %, 893 MiB
2026/05/28 10:17:59.680, 0 %, 595 MiB
2026/05/28 10:18:09.681, 0 %, 595 MiB
2026/05/28 10:18:19.682, 0 %, 595 MiB
2026/05/28 10:18:29.683, 0 %, 595 MiB
2026/05/28 10:18:39.684, 0 %, 595 MiB
2026/05/28 10:18:49.685, 0 %, 595 MiB
2026/05/28 10:18:59.686, 0 %, 893 MiB
2026/05/28 10:19:09.686, 0 %, 595 MiB
2026/05/28 10:19:19.687, 0 %, 595 MiB
2026/05/28 10:19:29.688, 0 %, 595 MiB
2026/05/28 10:19:39.689, 0 %, 595 MiB
2026/05/28 10:19:49.690, 0 %, 595 MiB
2026/05/28 10:19:59.691, 0 %, 595 MiB
2026/05/28 10:20:09.691, 0 %, 893 MiB
2026/05/28 10:20:19.692, 0 %, 595 MiB
2026/05/28 10:20:29.693, 0 %, 595 MiB
2026/05/28 10:20:39.694, 0 %, 595 MiB
2026/05/28 10:20:49.695, 0 %, 595 MiB
2026/05/28 10:20:59.695, 0 %, 595 MiB
2026/05/28 10:21:09.696, 0 %, 595 MiB
2026/05/28 10:21:19.697, 0 %, 893 MiB
2026/05/28 10:21:29.698, 0 %, 595 MiB
2026/05/28 10:21:39.699, 0 %, 595 MiB
2026/05/28 10:21:49.700, 0 %, 595 MiB
2026/05/28 10:21:59.700, 0 %, 595 MiB
2026/05/28 10:22:09.701, 0 %, 595 MiB
2026/05/28 10:22:19.702, 0 %, 595 MiB
2026/05/28 10:22:29.703, 0 %, 893 MiB
2026/05/28 10:22:39.704, 0 %, 595 MiB
2026/05/28 10:22:49.704, 0 %, 595 MiB
2026/05/28 10:22:59.705, 0 %, 595 MiB
2026/05/28 10:23:09.706, 0 %, 595 MiB
2026/05/28 10:23:19.707, 7 %, 595 MiB
2026/05/28 10:23:29.707, 0 %, 595 MiB
2026/05/28 10:23:39.708, 0 %, 595 MiB
2026/05/28 10:23:49.709, 0 %, 595 MiB
2026/05/28 10:23:59.710, 0 %, 595 MiB
2026/05/28 10:24:09.710, 0 %, 595 MiB
2026/05/28 10:24:19.712, 0 %, 595 MiB
2026/05/28 10:24:29.713, 0 %, 895 MiB
2026/05/28 10:24:39.714, 0 %, 595 MiB
2026/05/28 10:24:49.714, 0 %, 595 MiB
2026/05/28 10:24:59.715, 0 %, 595 MiB
2026/05/28 10:25:09.716, 0 %, 595 MiB
