timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 08:06:44.405, 0 %, 0 MiB
2026/05/28 08:06:49.410, 0 %, 0 MiB
2026/05/28 08:06:54.410, 0 %, 0 MiB
2026/05/28 08:06:59.411, 0 %, 0 MiB
2026/05/28 08:07:04.412, 0 %, 0 MiB
2026/05/28 08:07:09.413, 0 %, 0 MiB
2026/05/28 08:07:14.414, 0 %, 0 MiB
2026/05/28 08:07:19.415, 0 %, 0 MiB
2026/05/28 08:07:24.415, 0 %, 0 MiB
2026/05/28 08:07:29.416, 0 %, 0 MiB
2026/05/28 08:07:34.417, 0 %, 0 MiB
2026/05/28 08:07:39.418, 0 %, 0 MiB
2026/05/28 08:07:44.419, 0 %, 0 MiB
2026/05/28 08:07:49.420, 0 %, 0 MiB
2026/05/28 08:07:54.420, 0 %, 0 MiB
2026/05/28 08:07:59.421, 0 %, 0 MiB
2026/05/28 08:08:04.422, 0 %, 0 MiB
2026/05/28 08:08:09.423, 0 %, 0 MiB
2026/05/28 08:08:14.424, 0 %, 595 MiB
2026/05/28 08:08:19.425, 2 %, 671 MiB
2026/05/28 08:08:24.426, 2 %, 595 MiB
2026/05/28 08:08:29.426, 0 %, 595 MiB
2026/05/28 08:08:34.428, 0 %, 595 MiB
2026/05/28 08:08:39.429, 0 %, 595 MiB
2026/05/28 08:08:44.430, 0 %, 595 MiB
2026/05/28 08:08:49.430, 0 %, 595 MiB
2026/05/28 08:08:54.431, 0 %, 671 MiB
2026/05/28 08:08:59.431, 0 %, 595 MiB
2026/05/28 08:09:04.431, 0 %, 595 MiB
2026/05/28 08:09:09.432, 0 %, 595 MiB
2026/05/28 08:09:14.433, 0 %, 595 MiB
2026/05/28 08:09:19.434, 0 %, 595 MiB
2026/05/28 08:09:24.435, 0 %, 595 MiB
2026/05/28 08:09:29.436, 0 %, 595 MiB
2026/05/28 08:09:34.436, 0 %, 671 MiB
2026/05/28 08:09:39.437, 0 %, 595 MiB
2026/05/28 08:09:44.438, 0 %, 595 MiB
2026/05/28 08:09:49.439, 0 %, 595 MiB
2026/05/28 08:09:54.440, 0 %, 595 MiB
2026/05/28 08:09:59.441, 0 %, 595 MiB
2026/05/28 08:10:04.442, 0 %, 595 MiB
2026/05/28 08:10:09.443, 0 %, 595 MiB
2026/05/28 08:10:14.444, 0 %, 595 MiB
2026/05/28 08:10:19.445, 2 %, 671 MiB
2026/05/28 08:10:24.446, 0 %, 671 MiB
2026/05/28 08:10:29.446, 0 %, 595 MiB
2026/05/28 08:10:34.447, 0 %, 595 MiB
2026/05/28 08:10:39.448, 0 %, 595 MiB
2026/05/28 08:10:44.448, 0 %, 595 MiB
2026/05/28 08:10:49.449, 0 %, 595 MiB
2026/05/28 08:10:54.450, 0 %, 595 MiB
2026/05/28 08:10:59.451, 0 %, 671 MiB
2026/05/28 08:11:04.452, 0 %, 595 MiB
2026/05/28 08:11:09.453, 0 %, 595 MiB
2026/05/28 08:11:14.454, 0 %, 595 MiB
2026/05/28 08:11:19.455, 0 %, 595 MiB
2026/05/28 08:11:24.455, 0 %, 595 MiB
2026/05/28 08:11:29.456, 0 %, 595 MiB
2026/05/28 08:11:34.457, 0 %, 595 MiB
2026/05/28 08:11:39.458, 2 %, 673 MiB
2026/05/28 08:11:44.458, 0 %, 673 MiB
2026/05/28 08:11:49.459, 4 %, 595 MiB
2026/05/28 08:11:54.460, 0 %, 595 MiB
2026/05/28 08:11:59.461, 0 %, 595 MiB
2026/05/28 08:12:04.461, 0 %, 595 MiB
2026/05/28 08:12:09.462, 0 %, 595 MiB
2026/05/28 08:12:14.463, 0 %, 595 MiB
2026/05/28 08:12:19.463, 0 %, 595 MiB
2026/05/28 08:12:24.464, 3 %, 673 MiB
2026/05/28 08:12:29.465, 0 %, 595 MiB
2026/05/28 08:12:34.466, 0 %, 595 MiB
2026/05/28 08:12:39.467, 0 %, 595 MiB
2026/05/28 08:12:44.468, 0 %, 595 MiB
2026/05/28 08:12:49.469, 0 %, 595 MiB
2026/05/28 08:12:54.470, 0 %, 595 MiB
2026/05/28 08:12:59.471, 0 %, 595 MiB
2026/05/28 08:13:04.471, 0 %, 673 MiB
2026/05/28 08:13:09.472, 4 %, 595 MiB
2026/05/28 08:13:14.473, 0 %, 595 MiB
2026/05/28 08:13:19.474, 0 %, 595 MiB
2026/05/28 08:13:24.474, 0 %, 595 MiB
2026/05/28 08:13:29.475, 0 %, 595 MiB
2026/05/28 08:13:34.476, 0 %, 595 MiB
2026/05/28 08:13:39.477, 0 %, 595 MiB
2026/05/28 08:13:44.478, 0 %, 595 MiB
2026/05/28 08:13:49.478, 0 %, 673 MiB
2026/05/28 08:13:54.479, 2 %, 595 MiB
2026/05/28 08:13:59.480, 0 %, 595 MiB
2026/05/28 08:14:04.481, 0 %, 595 MiB
2026/05/28 08:14:09.482, 0 %, 595 MiB
2026/05/28 08:14:14.483, 0 %, 595 MiB
2026/05/28 08:14:19.483, 0 %, 595 MiB
2026/05/28 08:14:24.484, 0 %, 595 MiB
2026/05/28 08:14:29.485, 0 %, 673 MiB
2026/05/28 08:14:34.486, 0 %, 673 MiB
2026/05/28 08:14:39.487, 0 %, 595 MiB
2026/05/28 08:14:44.487, 0 %, 595 MiB
2026/05/28 08:14:49.488, 0 %, 595 MiB
2026/05/28 08:14:54.489, 0 %, 595 MiB
2026/05/28 08:14:59.490, 0 %, 595 MiB
2026/05/28 08:15:04.491, 0 %, 614 MiB
2026/05/28 08:15:09.492, 0 %, 595 MiB
2026/05/28 08:15:14.493, 0 %, 673 MiB
2026/05/28 08:15:19.494, 0 %, 749 MiB
2026/05/28 08:15:24.495, 0 %, 595 MiB
2026/05/28 08:15:29.496, 0 %, 595 MiB
2026/05/28 08:15:34.497, 0 %, 595 MiB
2026/05/28 08:15:39.497, 0 %, 595 MiB
2026/05/28 08:15:44.498, 0 %, 595 MiB
2026/05/28 08:15:49.499, 0 %, 595 MiB
2026/05/28 08:15:54.500, 0 %, 595 MiB
2026/05/28 08:15:59.501, 0 %, 673 MiB
2026/05/28 08:16:04.501, 0 %, 595 MiB
2026/05/28 08:16:09.502, 0 %, 595 MiB
2026/05/28 08:16:14.503, 0 %, 595 MiB
2026/05/28 08:16:19.504, 0 %, 595 MiB
2026/05/28 08:16:24.504, 0 %, 595 MiB
2026/05/28 08:16:29.505, 0 %, 595 MiB
2026/05/28 08:16:34.506, 0 %, 595 MiB
2026/05/28 08:16:39.507, 0 %, 595 MiB
2026/05/28 08:16:44.507, 0 %, 673 MiB
2026/05/28 08:16:49.508, 0 %, 595 MiB
2026/05/28 08:16:54.509, 0 %, 595 MiB
2026/05/28 08:16:59.510, 0 %, 595 MiB
