timestamp_utc,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,host_used_mib,host_available_mib
2026-08-14T13:34:53Z,0,14,49140,16.55,20423,490653
2026-08-14T13:35:03Z,0,14,49140,16.49,39646,471431
2026-08-14T13:35:13Z,0,14,49140,16.51,48618,462458
2026-08-14T13:35:23Z,0,14,49140,16.54,37980,473096
2026-08-14T13:35:33Z,0,14,49140,16.36,51531,459545
2026-08-14T13:35:43Z,0,14,49140,16.52,57961,453115
2026-08-14T13:35:53Z,0,14,49140,16.67,65562,445514
2026-08-14T13:36:03Z,0,14,49140,17.68,70859,440212
2026-08-14T13:36:13Z,0,14,49140,16.75,73908,437168
2026-08-14T13:36:23Z,0,14,49140,16.50,81212,429864
2026-08-14T13:36:33Z,0,14,49140,16.56,85082,425995
2026-08-14T13:36:43Z,0,14,49140,16.71,89395,421681
2026-08-14T13:36:53Z,0,14,49140,16.57,93998,417078
2026-08-14T13:37:03Z,0,14,49140,16.69,98104,412972
2026-08-14T13:37:13Z,0,14,49140,16.57,98601,412475
2026-08-14T13:37:23Z,0,14,49140,16.93,100369,410707
2026-08-14T13:37:33Z,0,14,49140,16.52,102701,408375
2026-08-14T13:37:43Z,0,14,49140,16.61,105214,405862
2026-08-14T13:37:53Z,0,14,49140,16.64,89320,421756
2026-08-14T13:38:03Z,0,14,49140,16.58,55543,455533
2026-08-14T13:38:13Z,0,14,49140,17.04,37612,473464
2026-08-14T13:38:23Z,0,14,49140,16.68,43372,467704
2026-08-14T13:38:33Z,0,14,49140,16.72,43453,467624
2026-08-14T13:38:43Z,0,14,49140,16.64,52297,458779
2026-08-14T13:38:53Z,0,14,49140,16.41,65165,445911
2026-08-14T13:39:03Z,0,14,49140,16.54,67895,443182
2026-08-14T13:39:13Z,0,14,49140,16.70,72315,438761
2026-08-14T13:39:23Z,0,14,49140,16.86,76491,434586
2026-08-14T13:39:33Z,0,14,49140,16.64,82620,428456
2026-08-14T13:39:43Z,0,14,49140,16.66,88482,422594
2026-08-14T13:39:54Z,0,14,49140,16.79,92917,418159
2026-08-14T13:40:04Z,0,14,49140,16.80,94864,416213
2026-08-14T13:40:14Z,0,14,49140,16.69,101747,409329
2026-08-14T13:40:24Z,0,14,49140,16.80,100686,410390
2026-08-14T13:40:34Z,0,14,49140,16.82,102084,408992
2026-08-14T13:40:44Z,0,14,49140,16.61,104199,406877
2026-08-14T13:40:54Z,0,14,49140,16.61,88604,422472
2026-08-14T13:41:04Z,0,14,49140,16.61,67637,443439
2026-08-14T13:41:14Z,0,14,49140,16.66,59300,451777
2026-08-14T13:41:24Z,0,14,49140,16.77,34536,476540
2026-08-14T13:41:34Z,0,14,49140,16.72,44237,466839
2026-08-14T13:41:44Z,0,14,49140,16.78,52710,458366
2026-08-14T13:41:54Z,0,14,49140,16.75,51879,459197
2026-08-14T13:42:04Z,0,14,49140,16.87,67499,443577
2026-08-14T13:42:14Z,0,14,49140,16.72,68119,442957
2026-08-14T13:42:24Z,0,14,49140,16.75,74190,436886
2026-08-14T13:42:34Z,0,14,49140,16.66,78638,432438
2026-08-14T13:42:44Z,0,14,49140,16.66,82552,428524
2026-08-14T13:42:54Z,0,14,49140,16.49,87535,423541
2026-08-14T13:43:04Z,0,14,49140,16.49,91713,419363
2026-08-14T13:43:14Z,0,14,49140,16.69,94958,416118
2026-08-14T13:43:24Z,0,14,49140,16.74,99321,411755
2026-08-14T13:43:34Z,0,14,49140,16.65,100112,410964
2026-08-14T13:43:44Z,0,14,49140,16.64,102228,408848
2026-08-14T13:43:54Z,0,14,49140,16.64,104825,406251
2026-08-14T13:44:04Z,0,14,49140,16.74,94243,416833
2026-08-14T13:44:14Z,0,14,49140,16.69,53191,457885
2026-08-14T13:44:24Z,0,14,49140,16.73,36719,474357
2026-08-14T13:44:34Z,0,14,49140,16.73,40895,470181
2026-08-14T13:44:44Z,0,14,49140,16.71,42773,468303
2026-08-14T13:44:54Z,0,14,49140,17.00,50616,460460
2026-08-14T13:45:04Z,0,14,49140,16.74,55325,455751
2026-08-14T13:45:14Z,0,14,49140,16.85,63868,447208
2026-08-14T13:45:24Z,0,14,49140,16.70,70464,440612
2026-08-14T13:45:34Z,0,14,49140,16.72,74032,437044
2026-08-14T13:45:44Z,0,14,49140,16.62,79329,431747
2026-08-14T13:45:54Z,0,14,49140,16.67,85081,425995
2026-08-14T13:46:05Z,0,14,49140,16.63,89046,422030
2026-08-14T13:46:15Z,0,14,49140,16.51,94642,416434
2026-08-14T13:46:25Z,0,14,49140,16.59,95551,415525
2026-08-14T13:46:35Z,0,14,49140,16.61,100319,410757
2026-08-14T13:46:45Z,0,14,49140,16.66,101347,409729
2026-08-14T13:46:55Z,0,14,49140,16.44,103364,407712
2026-08-14T13:47:05Z,0,14,49140,16.61,105585,405491
2026-08-14T13:47:15Z,0,14,49140,16.28,90002,421074
2026-08-14T13:47:25Z,0,14,49140,16.32,69421,441655
2026-08-14T13:47:35Z,0,14,49140,16.62,66264,444813
2026-08-14T13:47:45Z,0,14,49140,16.36,45679,465397
2026-08-14T13:47:55Z,0,14,49140,16.38,66367,444709
2026-08-14T13:48:05Z,0,14,49140,16.98,70016,441060
2026-08-14T13:48:15Z,0,14,49140,16.68,70979,440097
2026-08-14T13:48:25Z,0,14,49140,16.41,70058,441018
2026-08-14T13:48:35Z,0,14,49140,16.50,68364,442712
2026-08-14T13:48:45Z,0,14,49140,16.77,74603,436473
2026-08-14T13:48:55Z,0,14,49140,16.54,86886,424190
2026-08-14T13:49:05Z,0,14,49140,16.67,94978,416098
2026-08-14T13:49:15Z,0,14,49140,16.55,101986,409090
2026-08-14T13:49:25Z,0,14,49140,16.32,112782,398295
2026-08-14T13:49:35Z,0,14,49140,16.25,121711,389365
2026-08-14T13:49:45Z,0,14,49140,16.48,127288,383788
2026-08-14T13:49:55Z,0,14,49140,16.35,129604,381472
2026-08-14T13:50:05Z,0,14,49140,16.33,129963,381113
2026-08-14T13:50:15Z,0,14,49140,16.35,130122,380954
2026-08-14T13:50:25Z,0,14,49140,16.46,132375,378701
2026-08-14T13:50:35Z,0,14,49140,16.03,135298,375778
2026-08-14T13:50:45Z,0,14,49140,15.70,139874,371202
2026-08-14T13:50:55Z,0,14,49140,15.94,144835,366241
2026-08-14T13:51:05Z,0,14,49140,16.39,146362,364714
2026-08-14T13:51:15Z,0,14,49140,16.28,156224,354852
2026-08-14T13:51:25Z,0,14,49140,16.13,159204,351872
2026-08-14T13:51:35Z,0,14,49140,16.01,156607,354469
2026-08-14T13:51:45Z,0,14,49140,16.19,156444,354633
2026-08-14T13:51:55Z,0,14,49140,15.79,170721,340355
2026-08-14T13:52:06Z,0,14,49140,15.63,174589,336487
2026-08-14T13:52:16Z,0,14,49140,15.97,174298,336778
2026-08-14T13:52:26Z,0,14,49140,15.73,174706,336370
2026-08-14T13:52:36Z,0,14,49140,16.15,174721,336356
2026-08-14T13:52:46Z,0,14,49140,16.32,175087,335989
2026-08-14T13:52:56Z,0,14,49140,16.46,176738,334338
2026-08-14T13:53:06Z,0,14,49140,16.38,178741,332335
2026-08-14T13:53:16Z,0,14,49140,16.48,180345,330731
2026-08-14T13:53:26Z,0,14,49140,16.39,182318,328758
2026-08-14T13:53:36Z,0,14,49140,16.28,184293,326783
2026-08-14T13:53:46Z,0,14,49140,16.21,186065,325011
2026-08-14T13:53:56Z,0,14,49140,16.22,188027,323049
2026-08-14T13:54:06Z,0,14,49140,16.33,190389,320687
2026-08-14T13:54:16Z,0,14,49140,16.21,165630,345446
2026-08-14T13:54:26Z,0,14,49140,16.50,136521,374555
2026-08-14T13:54:36Z,0,14,49140,16.36,128302,382774
2026-08-14T13:54:46Z,0,14,49140,16.36,74544,436532
2026-08-14T13:54:56Z,0,14,49140,16.31,41447,469629
2026-08-14T13:55:06Z,0,14,49140,16.32,61443,449633
2026-08-14T13:55:16Z,0,14,49140,16.33,71112,439964
2026-08-14T13:55:26Z,0,14,49140,16.50,72876,438200
2026-08-14T13:55:36Z,0,14,49140,16.50,68996,442080
2026-08-14T13:55:46Z,0,14,49140,16.39,60662,450414
2026-08-14T13:55:56Z,0,14,49140,16.61,66541,444536
2026-08-14T13:56:06Z,0,14,49140,16.53,94391,416685
2026-08-14T13:56:16Z,0,14,49140,16.69,98156,412921
2026-08-14T13:56:26Z,0,14,49140,16.54,97174,413902
2026-08-14T13:56:36Z,0,14,49140,16.48,107810,403266
2026-08-14T13:56:46Z,0,14,49140,16.58,118625,392451
2026-08-14T13:56:56Z,0,14,49140,16.42,128577,382500
2026-08-14T13:57:06Z,0,14,49140,16.37,131605,379471
2026-08-14T13:57:16Z,0,14,49140,16.38,131798,379278
2026-08-14T13:57:26Z,0,14,49140,16.33,132108,378968
2026-08-14T13:57:36Z,0,14,49140,16.05,131826,379250
2026-08-14T13:57:46Z,0,14,49140,16.13,133797,377279
2026-08-14T13:57:56Z,0,14,49140,16.20,138410,372666
2026-08-14T13:58:07Z,0,14,49140,16.40,143449,367627
2026-08-14T13:58:17Z,0,14,49140,16.31,147448,363628
2026-08-14T13:58:27Z,0,14,49140,16.46,149957,361119
2026-08-14T13:58:37Z,0,14,49140,16.31,156391,354685
2026-08-14T13:58:47Z,0,14,49140,16.08,158052,353024
2026-08-14T13:58:57Z,0,14,49140,16.20,157936,353140
2026-08-14T13:59:07Z,0,14,49140,15.92,157843,353233
2026-08-14T13:59:17Z,0,14,49140,16.25,166378,344698
2026-08-14T13:59:27Z,0,14,49140,15.76,179451,331625
2026-08-14T13:59:37Z,0,14,49140,16.12,175818,335258
2026-08-14T13:59:47Z,0,14,49140,16.15,176252,334825
2026-08-14T13:59:57Z,0,14,49140,16.61,176040,335037
2026-08-14T14:00:07Z,0,14,49140,16.64,175916,335160
2026-08-14T14:00:17Z,0,14,49140,16.57,176633,334443
2026-08-14T14:00:27Z,0,14,49140,16.74,178386,332690
2026-08-14T14:00:37Z,0,14,49140,16.58,180340,330736
2026-08-14T14:00:47Z,0,14,49140,16.60,182050,329026
2026-08-14T14:00:57Z,0,14,49140,16.46,184029,327048
2026-08-14T14:01:07Z,0,14,49140,16.56,186109,324967
2026-08-14T14:01:17Z,0,14,49140,16.44,188055,323022
2026-08-14T14:01:27Z,0,14,49140,16.21,191088,319988
2026-08-14T14:01:37Z,0,14,49140,16.52,193360,317716
2026-08-14T14:01:47Z,0,14,49140,16.43,166493,344583
2026-08-14T14:01:57Z,0,14,49140,16.02,138921,372155
2026-08-14T14:02:07Z,0,14,49140,16.67,109089,401987
2026-08-14T14:02:17Z,0,14,49140,16.01,28223,482853
2026-08-14T14:02:27Z,0,14,49140,16.40,28416,482660
2026-08-14T14:02:37Z,0,14,49140,16.02,27522,483554
2026-08-14T14:02:47Z,0,14,49140,15.91,27328,483748
2026-08-14T14:02:57Z,0,14,49140,15.75,27395,483682
2026-08-14T14:03:07Z,0,14,49140,15.81,27983,483093
2026-08-14T14:03:17Z,0,14,49140,15.80,27888,483188
2026-08-14T14:03:27Z,0,14,49140,15.67,27648,483428
2026-08-14T14:03:37Z,99,28544,49140,298.30,27622,483436
2026-08-14T14:03:47Z,100,28544,49140,297.27,27336,483722
2026-08-14T14:03:57Z,100,28544,49140,297.63,27137,483920
2026-08-14T14:04:07Z,100,28544,49140,297.02,27014,484043
2026-08-14T14:04:18Z,100,28544,49140,297.77,26827,484231
2026-08-14T14:04:28Z,99,28544,49140,298.20,26899,484159
2026-08-14T14:04:38Z,100,28544,49140,296.90,26858,484200
2026-08-14T14:04:48Z,100,28544,49140,297.63,26302,484755
2026-08-14T14:04:58Z,100,28544,49140,297.95,26256,484802
2026-08-14T14:05:08Z,100,28544,49140,297.64,26309,484748
2026-08-14T14:05:18Z,100,28544,49140,297.54,26229,484829
2026-08-14T14:05:28Z,100,28544,49140,297.67,26187,484871
2026-08-14T14:05:38Z,99,28544,49140,297.84,26125,484933
2026-08-14T14:05:48Z,100,28544,49140,298.76,26114,484944
2026-08-14T14:05:58Z,100,28544,49140,298.48,26156,484902
2026-08-14T14:06:08Z,100,28544,49140,299.07,26153,484905
2026-08-14T14:06:18Z,100,28544,49140,299.03,26122,484936
2026-08-14T14:06:28Z,100,28544,49140,298.32,26162,484896
2026-08-14T14:06:38Z,100,28544,49140,298.89,26140,484917
2026-08-14T14:06:48Z,99,28544,49140,297.64,26110,484947
2026-08-14T14:06:58Z,100,28544,49140,298.40,26087,484970
2026-08-14T14:07:08Z,100,28544,49140,299.36,26189,484863
