[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-80GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 384, 'n_head': 6, 'ffn_dim': 1536, 'max_seq': 256, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=6,131,008  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP     0] loss=263.2671 ce=263.9495 aux=1.0000 ent_gate=0.6924/0.693 wmax=0.5193 active>.01=2.0/2 λ=1.0000 cells=2 splits=0 cost=$0.00
[STEP    50] loss=252.6636 ce=257.0591 aux=1.0315 ent_gate=1.6732/3.367 wmax=0.3671 active>.01=3.1/29 λ=1.0000 cells=29 splits=27 cost=$0.00
[STEP   100] loss=249.5635 ce=254.8091 aux=1.1609 ent_gate=3.8406/4.094 wmax=0.2644 active>.01=4.0/60 λ=1.0000 cells=60 splits=58 cost=$0.01
[STEP   150] loss=247.4717 ce=252.9166 aux=1.1673 ent_gate=4.1539/4.159 wmax=0.2668 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.02
[STEP   200] loss=234.2871 ce=246.0063 aux=1.1277 ent_gate=4.1574/4.159 wmax=0.2720 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.03
[STEP   250] loss=198.5291 ce=223.8487 aux=1.1059 ent_gate=4.1576/4.159 wmax=0.2861 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.04
[STEP   300] loss=143.4230 ce=175.0333 aux=1.1107 ent_gate=4.1576/4.159 wmax=0.3016 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.05
[STEP   350] loss=81.0255 ce=116.5058 aux=1.1404 ent_gate=4.1577/4.159 wmax=0.3007 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.07
[STEP   400] loss=38.7121 ce=62.2600 aux=1.1738 ent_gate=4.1568/4.159 wmax=0.3237 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.08
[STEP   450] loss=17.9125 ce=31.2396 aux=1.2225 ent_gate=4.1550/4.159 wmax=0.3580 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.09
[STEP   500] loss=7.8028 ce=16.2668 aux=1.2488 ent_gate=4.1545/4.159 wmax=0.3520 active>.01=4.0/64 λ=1.0000 cells=64 splits=62 cost=$0.10
[STEP   550] loss=3.0075 ce=9.1562 aux=1.1938 ent_gate=4.1560/4.159 wmax=0.3268 active>.01=4.0/64 λ=0.9999 cells=64 splits=62 cost=$0.11
[STEP   600] loss=0.8063 ce=5.8867 aux=1.1539 ent_gate=4.1571/4.159 wmax=0.3079 active>.01=4.0/64 λ=0.9996 cells=64 splits=62 cost=$0.12
[STEP   650] loss=-0.1646 ce=4.4155 aux=1.0843 ent_gate=4.1583/4.159 wmax=0.2707 active>.01=4.0/64 λ=0.9990 cells=64 splits=62 cost=$0.13
[STEP   700] loss=-0.7122 ce=3.6411 aux=1.0563 ent_gate=4.1586/4.159 wmax=0.2638 active>.01=4.0/64 λ=0.9983 cells=64 splits=62 cost=$0.14
[STEP   750] loss=-1.2214 ce=3.1433 aux=1.0527 ent_gate=4.1586/4.159 wmax=0.2627 active>.01=4.0/64 λ=0.9973 cells=64 splits=62 cost=$0.15
[STEP   800] loss=-1.3330 ce=2.8295 aux=1.0483 ent_gate=4.1587/4.159 wmax=0.2637 active>.01=4.0/64 λ=0.9961 cells=64 splits=62 cost=$0.17
[STEP   850] loss=-1.5366 ce=2.5996 aux=1.0549 ent_gate=4.1586/4.159 wmax=0.2689 active>.01=4.0/64 λ=0.9947 cells=64 splits=62 cost=$0.18
[STEP   900] loss=-1.7144 ce=2.4530 aux=1.0367 ent_gate=4.1587/4.159 wmax=0.2594 active>.01=4.0/64 λ=0.9931 cells=64 splits=62 cost=$0.19
[STEP   950] loss=-1.8015 ce=2.3437 aux=1.0326 ent_gate=4.1588/4.159 wmax=0.2556 active>.01=4.0/64 λ=0.9912 cells=64 splits=62 cost=$0.20
[STEP  1000] loss=-1.8403 ce=2.2465 aux=1.0206 ent_gate=4.1588/4.159 wmax=0.2522 active>.01=4.0/64 λ=0.9892 cells=64 splits=62 cost=$0.21
[STEP  1050] loss=-1.9200 ce=2.1891 aux=1.0216 ent_gate=4.1588/4.159 wmax=0.2531 active>.01=4.0/64 λ=0.9869 cells=64 splits=62 cost=$0.22
[STEP  1100] loss=-2.0083 ce=2.1355 aux=1.0241 ent_gate=4.1588/4.159 wmax=0.2541 active>.01=4.0/64 λ=0.9844 cells=64 splits=62 cost=$0.23
[STEP  1150] loss=-2.0104 ce=2.0848 aux=1.0228 ent_gate=4.1588/4.159 wmax=0.2522 active>.01=4.0/64 λ=0.9818 cells=64 splits=62 cost=$0.24
[STEP  1200] loss=-1.9759 ce=2.0618 aux=1.0233 ent_gate=4.1588/4.159 wmax=0.2532 active>.01=4.0/64 λ=0.9789 cells=64 splits=62 cost=$0.25
[STEP  1250] loss=-1.9931 ce=2.0439 aux=1.0226 ent_gate=4.1588/4.159 wmax=0.2523 active>.01=4.0/64 λ=0.9758 cells=64 splits=62 cost=$0.26
[STEP  1300] loss=-2.0380 ce=2.0045 aux=1.0214 ent_gate=4.1588/4.159 wmax=0.2527 active>.01=4.0/64 λ=0.9725 cells=64 splits=62 cost=$0.28
[STEP  1350] loss=-2.0545 ce=1.9819 aux=1.0251 ent_gate=4.1588/4.159 wmax=0.2544 active>.01=4.0/64 λ=0.9690 cells=64 splits=62 cost=$0.29
[STEP  1400] loss=-2.0505 ce=1.9586 aux=1.0222 ent_gate=4.1588/4.159 wmax=0.2535 active>.01=4.0/64 λ=0.9652 cells=64 splits=62 cost=$0.30
[STEP  1450] loss=-2.0282 ce=1.9507 aux=1.0223 ent_gate=4.1588/4.159 wmax=0.2524 active>.01=4.0/64 λ=0.9613 cells=64 splits=62 cost=$0.31
[STEP  1500] loss=-2.0636 ce=1.9394 aux=1.0217 ent_gate=4.1588/4.159 wmax=0.2529 active>.01=4.0/64 λ=0.9572 cells=64 splits=62 cost=$0.32
[STEP  1550] loss=-2.0413 ce=1.9238 aux=1.0213 ent_gate=4.1588/4.159 wmax=0.2526 active>.01=4.0/64 λ=0.9529 cells=64 splits=62 cost=$0.33
[STEP  1600] loss=-2.0359 ce=1.9043 aux=1.0235 ent_gate=4.1588/4.159 wmax=0.2548 active>.01=4.0/64 λ=0.9484 cells=64 splits=62 cost=$0.34
[STEP  1650] loss=-2.0398 ce=1.8796 aux=1.0266 ent_gate=4.1588/4.159 wmax=0.2570 active>.01=4.0/64 λ=0.9437 cells=64 splits=62 cost=$0.35
[STEP  1700] loss=-2.0071 ce=1.8839 aux=1.0201 ent_gate=4.1588/4.159 wmax=0.2521 active>.01=4.0/64 λ=0.9388 cells=64 splits=62 cost=$0.36
[STEP  1750] loss=-1.9760 ce=1.8666 aux=1.0229 ent_gate=4.1588/4.159 wmax=0.2538 active>.01=4.0/64 λ=0.9337 cells=64 splits=62 cost=$0.38
[STEP  1800] loss=-2.0299 ce=1.8537 aux=1.0257 ent_gate=4.1588/4.159 wmax=0.2558 active>.01=4.0/64 λ=0.9284 cells=64 splits=62 cost=$0.39
[STEP  1850] loss=-2.0075 ce=1.8476 aux=1.0352 ent_gate=4.1588/4.159 wmax=0.2625 active>.01=4.0/64 λ=0.9229 cells=64 splits=62 cost=$0.40
[STEP  1900] loss=-2.0030 ce=1.8358 aux=1.0288 ent_gate=4.1588/4.159 wmax=0.2573 active>.01=4.0/64 λ=0.9173 cells=64 splits=62 cost=$0.41
[STEP  1950] loss=-1.9378 ce=1.8262 aux=1.0305 ent_gate=4.1588/4.159 wmax=0.2607 active>.01=4.0/64 λ=0.9115 cells=64 splits=62 cost=$0.42
  [SNAP 2000] 4a KL=4.2769 z=0.77 | 4b cos_z=0.22
[STEP  2000] loss=-1.9561 ce=1.8229 aux=1.0388 ent_gate=4.1588/4.159 wmax=0.2658 active>.01=4.0/64 λ=0.9055 cells=64 splits=62 cost=$0.43
[STEP  2050] loss=-1.9277 ce=1.8129 aux=1.0269 ent_gate=4.1588/4.159 wmax=0.2557 active>.01=4.0/64 λ=0.8993 cells=64 splits=62 cost=$0.44
[STEP  2100] loss=-1.8704 ce=1.8031 aux=1.0230 ent_gate=4.1588/4.159 wmax=0.2532 active>.01=4.0/64 λ=0.8929 cells=64 splits=62 cost=$0.45
[STEP  2150] loss=-1.8492 ce=1.7966 aux=1.0298 ent_gate=4.1588/4.159 wmax=0.2586 active>.01=4.0/64 λ=0.8864 cells=64 splits=62 cost=$0.46
[STEP  2200] loss=-1.8741 ce=1.7852 aux=1.0309 ent_gate=4.1588/4.159 wmax=0.2612 active>.01=4.0/64 λ=0.8797 cells=64 splits=62 cost=$0.48
[STEP  2250] loss=-1.8100 ce=1.7817 aux=1.0486 ent_gate=4.1587/4.159 wmax=0.2735 active>.01=4.0/64 λ=0.8729 cells=64 splits=62 cost=$0.49
[STEP  2300] loss=-1.8185 ce=1.7743 aux=1.0411 ent_gate=4.1587/4.159 wmax=0.2674 active>.01=4.0/64 λ=0.8658 cells=64 splits=62 cost=$0.50
[STEP  2350] loss=-1.7975 ce=1.7690 aux=1.0382 ent_gate=4.1588/4.159 wmax=0.2660 active>.01=4.0/64 λ=0.8587 cells=64 splits=62 cost=$0.51
[STEP  2400] loss=-1.7657 ce=1.7662 aux=1.0417 ent_gate=4.1587/4.159 wmax=0.2685 active>.01=4.0/64 λ=0.8513 cells=64 splits=62 cost=$0.52
[STEP  2450] loss=-1.7732 ce=1.7573 aux=1.0415 ent_gate=4.1587/4.159 wmax=0.2683 active>.01=4.0/64 λ=0.8439 cells=64 splits=62 cost=$0.53
[STEP  2500] loss=-1.7347 ce=1.7517 aux=1.0387 ent_gate=4.1587/4.159 wmax=0.2667 active>.01=4.0/64 λ=0.8362 cells=64 splits=62 cost=$0.54
[STEP  2550] loss=-1.6698 ce=1.7434 aux=1.0435 ent_gate=4.1587/4.159 wmax=0.2702 active>.01=4.0/64 λ=0.8284 cells=64 splits=62 cost=$0.55
[STEP  2600] loss=-1.6862 ce=1.7370 aux=1.0341 ent_gate=4.1588/4.159 wmax=0.2618 active>.01=4.0/64 λ=0.8205 cells=64 splits=62 cost=$0.56
[STEP  2650] loss=-1.6676 ce=1.7388 aux=1.0349 ent_gate=4.1588/4.159 wmax=0.2618 active>.01=4.0/64 λ=0.8125 cells=64 splits=62 cost=$0.58
[STEP  2700] loss=-1.5974 ce=1.7261 aux=1.0363 ent_gate=4.1588/4.159 wmax=0.2635 active>.01=4.0/64 λ=0.8043 cells=64 splits=62 cost=$0.59
[STEP  2750] loss=-1.6067 ce=1.7284 aux=1.0449 ent_gate=4.1587/4.159 wmax=0.2706 active>.01=4.0/64 λ=0.7960 cells=64 splits=62 cost=$0.60
[STEP  2800] loss=-1.5711 ce=1.7172 aux=1.0441 ent_gate=4.1587/4.159 wmax=0.2710 active>.01=4.0/64 λ=0.7875 cells=64 splits=62 cost=$0.61
[STEP  2850] loss=-1.5257 ce=1.7130 aux=1.0399 ent_gate=4.1587/4.159 wmax=0.2682 active>.01=4.0/64 λ=0.7789 cells=64 splits=62 cost=$0.62
[STEP  2900] loss=-1.4944 ce=1.7055 aux=1.0462 ent_gate=4.1587/4.159 wmax=0.2711 active>.01=4.0/64 λ=0.7702 cells=64 splits=62 cost=$0.63
[STEP  2950] loss=-1.4726 ce=1.6993 aux=1.0419 ent_gate=4.1587/4.159 wmax=0.2672 active>.01=4.0/64 λ=0.7614 cells=64 splits=62 cost=$0.64
[STEP  3000] loss=-1.3914 ce=1.6955 aux=1.0387 ent_gate=4.1587/4.159 wmax=0.2654 active>.01=4.0/64 λ=0.7525 cells=64 splits=62 cost=$0.65
[STEP  3050] loss=-1.3677 ce=1.6924 aux=1.0468 ent_gate=4.1587/4.159 wmax=0.2717 active>.01=4.0/64 λ=0.7435 cells=64 splits=62 cost=$0.66
[STEP  3100] loss=-1.3799 ce=1.6878 aux=1.0432 ent_gate=4.1587/4.159 wmax=0.2712 active>.01=4.0/64 λ=0.7343 cells=64 splits=62 cost=$0.67
[STEP  3150] loss=-1.3371 ce=1.6754 aux=1.0502 ent_gate=4.1587/4.159 wmax=0.2758 active>.01=4.0/64 λ=0.7251 cells=64 splits=62 cost=$0.69
[STEP  3200] loss=-1.2693 ce=1.6746 aux=1.0466 ent_gate=4.1587/4.159 wmax=0.2734 active>.01=4.0/64 λ=0.7158 cells=64 splits=62 cost=$0.70
[STEP  3250] loss=-1.2421 ce=1.6723 aux=1.0510 ent_gate=4.1586/4.159 wmax=0.2761 active>.01=4.0/64 λ=0.7063 cells=64 splits=62 cost=$0.71
[STEP  3300] loss=-1.2558 ce=1.6633 aux=1.0554 ent_gate=4.1586/4.159 wmax=0.2805 active>.01=4.0/64 λ=0.6968 cells=64 splits=62 cost=$0.72
[STEP  3350] loss=-1.2044 ce=1.6574 aux=1.0540 ent_gate=4.1586/4.159 wmax=0.2790 active>.01=4.0/64 λ=0.6872 cells=64 splits=62 cost=$0.73
[STEP  3400] loss=-1.1277 ce=1.6630 aux=1.0523 ent_gate=4.1586/4.159 wmax=0.2772 active>.01=4.0/64 λ=0.6775 cells=64 splits=62 cost=$0.74
[STEP  3450] loss=-1.1126 ce=1.6542 aux=1.0465 ent_gate=4.1587/4.159 wmax=0.2724 active>.01=4.0/64 λ=0.6678 cells=64 splits=62 cost=$0.75
