utilization.gpu [%], memory.used [MiB]
0 %, 1 MiB
0 %, 4 MiB
81 %, 10137 MiB
84 %, 10137 MiB
83 %, 10137 MiB
86 %, 10137 MiB
89 %, 10137 MiB
90 %, 10137 MiB
89 %, 10137 MiB
85 %, 10137 MiB
84 %, 10137 MiB
81 %, 10137 MiB
86 %, 10137 MiB
90 %, 10137 MiB
85 %, 10137 MiB
85 %, 10137 MiB
91 %, 10137 MiB
86 %, 10137 MiB
83 %, 10137 MiB
85 %, 10137 MiB
83 %, 10137 MiB
85 %, 10137 MiB
84 %, 10137 MiB
83 %, 10137 MiB
84 %, 10137 MiB
80 %, 10137 MiB
84 %, 10137 MiB
88 %, 10137 MiB
84 %, 10137 MiB
88 %, 10137 MiB
90 %, 10137 MiB
83 %, 10137 MiB
84 %, 10137 MiB
84 %, 10137 MiB
80 %, 10137 MiB
77 %, 10137 MiB
84 %, 10137 MiB
84 %, 10137 MiB
84 %, 10137 MiB
