/workspace/anima/train_carving_dirJ.py:296: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce_masked": 5.692743, "l_denoise": 12.337679, "l_psi_ctl": 0.013309, "l_tension_route": 0.000319, "loss": 12.344493, "mask_rate_mean": 0.4413, "gn2": 562.991132, "lr": 7.5e-07, "wall_s": 0.59, "gpu_mem_gb": 7.468}
{"step": 200, "ce_masked": 3.686236, "l_denoise": 6.726637, "l_psi_ctl": 0.00882, "l_tension_route": 0.001901, "loss": 6.731997, "mask_rate_mean": 0.5348, "gn2": 12.760719, "lr": 0.00015, "wall_s": 25.06, "gpu_mem_gb": 9.68}
{"step": 400, "ce_masked": 3.51871, "l_denoise": 5.814594, "l_psi_ctl": 0.006867, "l_tension_route": 0.000254, "loss": 5.818155, "mask_rate_mean": 0.5849, "gn2": 6.994087, "lr": 0.0003, "wall_s": 49.67, "gpu_mem_gb": 9.68}
{"step": 600, "ce_masked": 2.931693, "l_denoise": 5.529431, "l_psi_ctl": 0.020593, "l_tension_route": 0.001591, "loss": 5.540524, "mask_rate_mean": 0.4674, "gn2": 12.56392, "lr": 0.00029954, "wall_s": 74.15, "gpu_mem_gb": 9.68}
{"step": 800, "ce_masked": 2.668873, "l_denoise": 4.213665, "l_psi_ctl": 0.011528, "l_tension_route": 0.000184, "loss": 4.219521, "mask_rate_mean": 0.4872, "gn2": 13.441438, "lr": 0.00029817, "wall_s": 98.48, "gpu_mem_gb": 9.68}
{"step": 1000, "ce_masked": 2.285483, "l_denoise": 3.374254, "l_psi_ctl": 0.012251, "l_tension_route": 0.000359, "loss": 3.380558, "mask_rate_mean": 0.5424, "gn2": 14.930847, "lr": 0.00029588, "wall_s": 122.78, "gpu_mem_gb": 9.68}
{"step": 1200, "ce_masked": 1.582064, "l_denoise": 2.815569, "l_psi_ctl": 0.018436, "l_tension_route": 8.5e-05, "loss": 2.824829, "mask_rate_mean": 0.414, "gn2": 27.253879, "lr": 0.0002927, "wall_s": 147.09, "gpu_mem_gb": 9.68}
{"step": 1400, "ce_masked": 2.282951, "l_denoise": 3.113076, "l_psi_ctl": 0.008996, "l_tension_route": 9.7e-05, "loss": 3.117622, "mask_rate_mean": 0.5618, "gn2": 16.628735, "lr": 0.00028865, "wall_s": 171.44, "gpu_mem_gb": 9.68}
{"step": 1600, "ce_masked": 1.636168, "l_denoise": 2.464754, "l_psi_ctl": 0.014883, "l_tension_route": 0.00129, "loss": 2.472841, "mask_rate_mean": 0.4723, "gn2": 10.487085, "lr": 0.00028376, "wall_s": 195.76, "gpu_mem_gb": 9.68}
{"step": 1800, "ce_masked": 1.433538, "l_denoise": 2.468468, "l_psi_ctl": 0.005777, "l_tension_route": 4.5e-05, "loss": 2.471379, "mask_rate_mean": 0.4356, "gn2": 17.442538, "lr": 0.00027805, "wall_s": 220.09, "gpu_mem_gb": 9.68}
{"step": 2000, "ce_masked": 1.308265, "l_denoise": 2.025406, "l_psi_ctl": 0.012066, "l_tension_route": 0.001576, "loss": 2.032228, "mask_rate_mean": 0.4826, "gn2": 14.189507, "lr": 0.00027157, "wall_s": 244.39, "gpu_mem_gb": 9.68}
