Warning: Permanently added '[ssh9.vast.ai]:39284' (ED25519) to the list of known hosts.
Welcome to vast.ai. If authentication fails, try again after a few seconds, and double check your ssh key.
Have fun!
/workspace/anima/train_d768x12l.py:103: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce": 5.549805, "gn2": 0.335441, "ppl": 257.1873, "lr": 0.0002, "wall_s": 0.47, "gpu_mem_gb": 0.036}
{"step": 10, "ce": 5.281891, "gn2": 1.128515, "ppl": 196.7415, "lr": 0.00099907, "wall_s": 0.73, "gpu_mem_gb": 0.039}
{"step": 20, "ce": 4.923309, "gn2": 0.686951, "ppl": 137.4568, "lr": 0.0009886, "wall_s": 1.0, "gpu_mem_gb": 0.039}
{"step": 30, "ce": 4.623077, "gn2": 0.585768, "ppl": 101.8069, "lr": 0.00096678, "wall_s": 1.26, "gpu_mem_gb": 0.039}
{"step": 40, "ce": 4.332352, "gn2": 0.603671, "ppl": 76.1231, "lr": 0.00093416, "wall_s": 1.53, "gpu_mem_gb": 0.039}
{"step": 50, "ce": 4.22525, "gn2": 0.481668, "ppl": 68.3916, "lr": 0.00089159, "wall_s": 1.79, "gpu_mem_gb": 0.039}
{"step": 60, "ce": 4.065826, "gn2": 0.318635, "ppl": 58.3131, "lr": 0.00084018, "wall_s": 2.06, "gpu_mem_gb": 0.039}
{"step": 70, "ce": 3.883057, "gn2": 0.241257, "ppl": 48.5725, "lr": 0.00078125, "wall_s": 2.33, "gpu_mem_gb": 0.039}
{"step": 80, "ce": 3.786774, "gn2": 0.252657, "ppl": 44.1138, "lr": 0.00071633, "wall_s": 2.59, "gpu_mem_gb": 0.039}
{"step": 90, "ce": 3.750031, "gn2": 0.170883, "ppl": 42.5224, "lr": 0.0006471, "wall_s": 2.86, "gpu_mem_gb": 0.039}
{"step": 100, "ce": 3.738358, "gn2": 0.243369, "ppl": 42.0289, "lr": 0.00057536, "wall_s": 3.12, "gpu_mem_gb": 0.039}
{"step": 110, "ce": 3.583771, "gn2": 0.136542, "ppl": 36.0091, "lr": 0.00050296, "wall_s": 3.39, "gpu_mem_gb": 0.039}
{"step": 120, "ce": 3.528214, "gn2": 0.138944, "ppl": 34.0631, "lr": 0.00043178, "wall_s": 3.65, "gpu_mem_gb": 0.039}
{"step": 130, "ce": 3.584152, "gn2": 0.142581, "ppl": 36.0228, "lr": 0.00036366, "wall_s": 3.92, "gpu_mem_gb": 0.039}
{"step": 140, "ce": 3.535278, "gn2": 0.130898, "ppl": 34.3046, "lr": 0.00030037, "wall_s": 4.19, "gpu_mem_gb": 0.039}
{"step": 150, "ce": 3.552872, "gn2": 0.133287, "ppl": 34.9134, "lr": 0.00024354, "wall_s": 4.45, "gpu_mem_gb": 0.039}
{"step": 160, "ce": 3.434143, "gn2": 0.085104, "ppl": 31.0048, "lr": 0.00019465, "wall_s": 4.74, "gpu_mem_gb": 0.039}
{"step": 170, "ce": 3.508118, "gn2": 0.166045, "ppl": 33.3854, "lr": 0.00015497, "wall_s": 5.04, "gpu_mem_gb": 0.039}
{"step": 180, "ce": 3.44577, "gn2": 0.125763, "ppl": 31.3674, "lr": 0.00012551, "wall_s": 5.32, "gpu_mem_gb": 0.039}
{"step": 190, "ce": 3.368668, "gn2": 0.106862, "ppl": 29.0398, "lr": 0.00010705, "wall_s": 5.6, "gpu_mem_gb": 0.039}
{"step": 200, "ce": 3.492554, "gn2": 0.127857, "ppl": 32.8698, "lr": 0.00010006, "wall_s": 5.89, "gpu_mem_gb": 0.039}
RESULT_JSON_WRITTEN
{"init_ce": 5.549805, "final_ce": 3.492554, "ce_descent": 2.057251, "wall_s": 5.89, "n_params_M": 0.18}
