[2026-05-04T02:00:49Z] start watcher pod=pvkyhb0lb87ydu watchdog_kill=$27 hard_cap=$30 rate=$2.99/hr
[2026-05-04T02:00:51Z] elapsed=0min spend=$0.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=71/10000
[2026-05-04T02:10:54Z] elapsed=10min spend=$0.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=305/10000
[2026-05-04T02:20:56Z] elapsed=20min spend=$1.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=544/10000
[2026-05-04T02:42:16Z] elapsed=40min spend=$2.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=1045/10000
[2026-05-04T02:53:33Z] elapsed=51min spend=$2.56 probe=DONE=0 PHASE=none ALIVE=1 STEP=1316/10000
[2026-05-04T03:04:51Z] elapsed=62min spend=$3.13 probe=DONE=0 PHASE=none ALIVE=1 STEP=1584/10000
[2026-05-04T03:16:08Z] elapsed=74min spend=$3.69 probe=DONE=0 PHASE=none ALIVE=1 STEP=1851/10000
[2026-05-04T03:27:26Z] elapsed=85min spend=$4.25 probe=DONE=0 PHASE=none ALIVE=1 STEP=2118/10000
[2026-05-04T03:38:43Z] elapsed=96min spend=$4.81 probe=DONE=0 PHASE=none ALIVE=1 STEP=2386/10000
[2026-05-04T03:48:46Z] elapsed=107min spend=$5.38 probe=DONE=0 PHASE=none ALIVE=1 STEP=2612/10000
[2026-05-04T04:00:03Z] elapsed=117min spend=$5.88 probe=DONE=0 PHASE=none ALIVE=1 STEP=2881/10000
[2026-05-04T04:11:21Z] elapsed=129min spend=$6.44 probe=DONE=0 PHASE=none ALIVE=1 STEP=3140/10000
[2026-05-04T04:21:24Z] elapsed=140min spend=$7.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=3379/10000
[2026-05-04T04:31:27Z] elapsed=150min spend=$7.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=3619/10000
[2026-05-04T04:41:29Z] elapsed=160min spend=$8.00 probe=DONE=0 PHASE=none ALIVE=1 STEP=3855/10000
[2026-05-04T04:52:48Z] elapsed=170min spend=$8.50 probe=DONE=0 PHASE=none ALIVE=1 STEP=4121/10000
[2026-05-04T05:02:50Z] elapsed=181min spend=$9.07 probe=DONE=0 PHASE=none ALIVE=1 STEP=4355/10000
[2026-05-04T05:12:53Z] elapsed=192min spend=$9.57 probe=DONE=0 PHASE=none ALIVE=1 STEP=4594/10000
