[load] /home/aiden/anima-weights/h1129.bin ...
[load ok] d=1024 nlay=24 nh=16 vocab=256
  ko_general[00] main_axis=6 fnv_axis=6  (103B)
  ko_general[01] main_axis=6 fnv_axis=2  (29B)
  ko_general[02] main_axis=6 fnv_axis=2  (89B)
  ko_general[03] main_axis=6 fnv_axis=2  (36B)
  ko_general[04] main_axis=6 fnv_axis=2  (101B)
  ko_general[05] main_axis=6 fnv_axis=7  (45B)
  ko_general[06] main_axis=6 fnv_axis=6  (37B)
  ko_general[07] main_axis=6 fnv_axis=5  (47B)
  ko_general[08] main_axis=6 fnv_axis=4  (208B)
  ko_general[09] main_axis=6 fnv_axis=7  (104B)
  ko_general[10] main_axis=6 fnv_axis=4  (41B)
  ko_general[11] main_axis=6 fnv_axis=6  (256B)
  ko_general[12] main_axis=6 fnv_axis=4  (256B)
  ko_general[13] main_axis=6 fnv_axis=1  (85B)
  ko_general[14] main_axis=6 fnv_axis=5  (106B)
  ko_general[15] main_axis=6 fnv_axis=5  (88B)
  ko_general[16] main_axis=6 fnv_axis=1  (76B)
  ko_general[17] main_axis=6 fnv_axis=0  (82B)
  ko_general[18] main_axis=6 fnv_axis=2  (24B)
  ko_general[19] main_axis=6 fnv_axis=0  (62B)
  ko_general[20] main_axis=6 fnv_axis=2  (256B)
  ko_general[21] main_axis=6 fnv_axis=2  (255B)
  ko_general[22] main_axis=6 fnv_axis=1  (254B)
  ko_general[23] main_axis=6 fnv_axis=5  (255B)
  ko_general[24] main_axis=6 fnv_axis=5  (255B)
  ko_general[25] main_axis=6 fnv_axis=1  (256B)
  ko_general[26] main_axis=6 fnv_axis=6  (254B)
  ko_general[27] main_axis=6 fnv_axis=6  (254B)
  ko_general[28] main_axis=6 fnv_axis=4  (255B)
  ko_general[29] main_axis=6 fnv_axis=2  (255B)
  ko_general[30] main_axis=6 fnv_axis=1  (256B)
  ko_general[31] main_axis=6 fnv_axis=2  (256B)
  ko_general[32] main_axis=6 fnv_axis=2  (255B)
  ko_general[33] main_axis=6 fnv_axis=1  (254B)
  ko_general[34] main_axis=6 fnv_axis=2  (254B)
  ko_general[35] main_axis=6 fnv_axis=2  (256B)
  ko_general[36] main_axis=6 fnv_axis=6  (255B)
  ko_general[37] main_axis=6 fnv_axis=3  (99B)
  ko_general[38] main_axis=6 fnv_axis=6  (109B)
  ko_general[39] main_axis=6 fnv_axis=6  (75B)
  en_general[00] main_axis=6 fnv_axis=4  (256B)
  en_general[01] main_axis=6 fnv_axis=5  (41B)
  en_general[02] main_axis=6 fnv_axis=4  (256B)
  en_general[03] main_axis=6 fnv_axis=4  (256B)
  en_general[04] main_axis=6 fnv_axis=5  (70B)
  en_general[05] main_axis=6 fnv_axis=7  (256B)
  en_general[06] main_axis=6 fnv_axis=7  (256B)
  en_general[07] main_axis=6 fnv_axis=4  (121B)
  en_general[08] main_axis=6 fnv_axis=0  (256B)
  en_general[09] main_axis=6 fnv_axis=6  (56B)
  en_general[10] main_axis=6 fnv_axis=3  (67B)
  en_general[11] main_axis=6 fnv_axis=3  (86B)
  en_general[12] main_axis=6 fnv_axis=5  (55B)
  en_general[13] main_axis=6 fnv_axis=4  (256B)
  en_general[14] main_axis=6 fnv_axis=3  (256B)
  en_general[15] main_axis=6 fnv_axis=4  (216B)
  en_general[16] main_axis=6 fnv_axis=5  (49B)
  en_general[17] main_axis=6 fnv_axis=3  (179B)
  en_general[18] main_axis=6 fnv_axis=7  (76B)
  en_general[19] main_axis=6 fnv_axis=7  (256B)
  en_general[20] main_axis=6 fnv_axis=3  (256B)
  en_general[21] main_axis=6 fnv_axis=1  (66B)
  en_general[22] main_axis=6 fnv_axis=4  (245B)
  en_general[23] main_axis=6 fnv_axis=4  (88B)
  en_general[24] main_axis=6 fnv_axis=7  (122B)
  en_general[25] main_axis=6 fnv_axis=4  (33B)
  en_general[26] main_axis=6 fnv_axis=2  (176B)
  en_general[27] main_axis=6 fnv_axis=4  (107B)
  en_general[28] main_axis=6 fnv_axis=7  (237B)
  en_general[29] main_axis=6 fnv_axis=4  (237B)
  en_general[30] main_axis=6 fnv_axis=7  (96B)
  en_general[31] main_axis=6 fnv_axis=4  (50B)
  en_general[32] main_axis=6 fnv_axis=3  (98B)
  en_general[33] main_axis=6 fnv_axis=5  (27B)
  en_general[34] main_axis=6 fnv_axis=4  (66B)
  en_general[35] main_axis=6 fnv_axis=4  (208B)
  en_general[36] main_axis=6 fnv_axis=4  (256B)
  en_general[37] main_axis=6 fnv_axis=4  (256B)
  en_general[38] main_axis=6 fnv_axis=4  (38B)
  en_general[39] main_axis=6 fnv_axis=2  (256B)
  ko_sns[00] main_axis=6 fnv_axis=2  (60B)
  ko_sns[01] main_axis=6 fnv_axis=1  (218B)
  ko_sns[02] main_axis=6 fnv_axis=3  (79B)
  ko_sns[03] main_axis=6 fnv_axis=3  (106B)
  ko_sns[04] main_axis=6 fnv_axis=2  (160B)
  ko_sns[05] main_axis=6 fnv_axis=0  (71B)
  ko_sns[06] main_axis=6 fnv_axis=2  (176B)
  ko_sns[07] main_axis=6 fnv_axis=1  (102B)
  ko_sns[08] main_axis=6 fnv_axis=1  (152B)
  ko_sns[09] main_axis=6 fnv_axis=2  (47B)
  ko_sns[10] main_axis=6 fnv_axis=7  (119B)
  ko_sns[11] main_axis=6 fnv_axis=6  (49B)
  ko_sns[12] main_axis=6 fnv_axis=2  (151B)
  ko_sns[13] main_axis=6 fnv_axis=5  (122B)
  ko_sns[14] main_axis=6 fnv_axis=2  (68B)
  ko_sns[15] main_axis=6 fnv_axis=7  (179B)
  ko_sns[16] main_axis=6 fnv_axis=3  (53B)
  ko_sns[17] main_axis=6 fnv_axis=2  (254B)
  ko_sns[18] main_axis=6 fnv_axis=5  (51B)
  ko_sns[19] main_axis=6 fnv_axis=3  (193B)
  ko_sns[20] main_axis=6 fnv_axis=7  (59B)
  ko_sns[21] main_axis=6 fnv_axis=5  (46B)
  ko_sns[22] main_axis=6 fnv_axis=5  (86B)
  ko_sns[23] main_axis=6 fnv_axis=2  (243B)
  ko_sns[24] main_axis=6 fnv_axis=5  (69B)
  ko_sns[25] main_axis=6 fnv_axis=2  (65B)
  ko_sns[26] main_axis=6 fnv_axis=2  (71B)
  ko_sns[27] main_axis=6 fnv_axis=0  (86B)
  ko_sns[28] main_axis=6 fnv_axis=4  (254B)
  ko_sns[29] main_axis=6 fnv_axis=3  (255B)
  ko_sns[30] main_axis=6 fnv_axis=2  (191B)
  ko_sns[31] main_axis=6 fnv_axis=6  (60B)
  ko_sns[32] main_axis=6 fnv_axis=1  (136B)
  ko_sns[33] main_axis=6 fnv_axis=6  (58B)
  ko_sns[34] main_axis=6 fnv_axis=2  (71B)
  ko_sns[35] main_axis=6 fnv_axis=2  (209B)
  ko_sns[36] main_axis=6 fnv_axis=0  (84B)
  ko_sns[37] main_axis=6 fnv_axis=1  (144B)
  ko_sns[38] main_axis=6 fnv_axis=2  (120B)
  ko_sns[39] main_axis=6 fnv_axis=0  (91B)
[axes cached] /home/aiden/anima/state/selfchain_coord_grounding/axes.json

===== ARM = MAIN =====
  ko_general  axis-hist(chain) = [0, 0, 0, 0, 0, 0, 32, 0]
  en_general  axis-hist(chain) = [0, 0, 0, 0, 0, 0, 32, 0]
  ko_sns      axis-hist(chain) = [0, 0, 0, 0, 0, 0, 32, 0]
  G1' within_cos=1.0000  between_cos=1.0000  GAP=+0.0000  (bar +0.10)
      within = [1.0, 1.0, 1.0]
  G2' shuffled GAP=+0.0000  (collapse bar |gap|<0.03)
  G3' retrieval top-1 = 8/24  (chance 8/24, bar >=16/24)
  VERDICT[main]: G1'=FAIL  G2'=PASS(collapse)  G3'=FAIL

===== ARM = FNV =====
  ko_general  axis-hist(chain) = [2, 5, 9, 0, 4, 5, 5, 2]
  en_general  axis-hist(chain) = [1, 1, 1, 5, 12, 4, 1, 7]
  ko_sns      axis-hist(chain) = [2, 3, 11, 5, 1, 5, 2, 3]
  G1' within_cos=0.8114  between_cos=0.6076  GAP=+0.2038  (bar +0.10)
      within = [0.777, 0.815, 0.842]
  G2' shuffled GAP=-0.0304  (collapse bar |gap|<0.03)
  G3' retrieval top-1 = 8/24  (chance 8/24, bar >=16/24)
  VERDICT[fnv]: G1'=PASS  G2'=FAIL(no-collapse)  G3'=FAIL

===== POOLED DIAGNOSTIC (raw penultimate, centered — fold BYPASSED) =====
  centroid_cos(ko_general,en_general) = -0.9982   (lower = streams more separated)
  centroid_cos(ko_general,ko_sns) = +0.9961   (lower = streams more separated)
  centroid_cos(en_general,ko_sns) = -0.9995   (lower = streams more separated)
  nearest-centroid held-out classification = 16/24  (chance 8/24)
  => penultimate CARRIES per-stream experience signal; the argmax-L2 FOLD discards it (metric-artifact wall (a)).
