H_327 REGENERATION x ECA attractor recovery (n=4 ring)
rule=110 name=rule110 s_star=0 attr_size=1
  k=1 mask=1 s_pert=1 T_recovery=-1
  k=2 mask=3 s_pert=3 T_recovery=-1
  k=3 mask=7 s_pert=7 T_recovery=-1
rule=30 name=rule30 s_star=5 attr_size=1
  k=1 mask=1 s_pert=4 T_recovery=-1
  k=2 mask=3 s_pert=6 T_recovery=-1
  k=3 mask=7 s_pert=2 T_recovery=-1
rule=60 name=rule60 s_star=0 attr_size=1
  k=1 mask=1 s_pert=1 T_recovery=4
  k=2 mask=3 s_pert=3 T_recovery=3
  k=3 mask=7 s_pert=7 T_recovery=4
rule=204 name=rule204_anchor s_star=5 attr_size=1
  k=1 mask=1 s_pert=4 T_recovery=-1
  k=2 mask=3 s_pert=6 T_recovery=-1
  k=3 mask=7 s_pert=2 T_recovery=-1
done
