H_630 — verdict landscape meta-map · RASTER #4 (2026-05-28, axis D2)
  source: UNIVERSE/H_*.md DISK per-file scan (8-source verdict + 2-source domain)

  N(H files) = 181  (H_238 self-excluded · disk scan)

  ── full H landscape (disk sort -V, deterministic) ──
  i   id      | tier      | vsrc            | dsrc            | canonical_domains
  0  H_002  | RUNNING  | verdict_class  | domain_frontmatter  | physics
  1  H_003  | RUNNING  | verdict_class  | domain_frontmatter  | life
  2  H_004  | RUNNING  | verdict_class  | domain_frontmatter  | consciousness
  3  H_007  | SUPPORTED  | verdict_class  | domain_frontmatter  | physics
  4  H_012  | SUPPORTED  | verdict_class  | domain_frontmatter  | life
  5  H_018  | SUPPORTED  | verdict_class  | domain_frontmatter  | consciousness
  6  H_025  | RUNNING  | verdict_class  | domain_frontmatter  | consciousness
  7  H_029  | RUNNING  | status_fallback  | domain_frontmatter  | consciousness
  8  H_030  | RUNNING  | status_fallback  | domain_frontmatter  | life
  9  H_053  | SUPPORTED  | verdict_class  | domain_frontmatter  | life
  10  H_054  | SUPPORTED  | verdict_class  | domain_frontmatter  | life
  11  H_071  | RUNNING  | status_fallback  | domain_frontmatter  | consciousness
  12  H_090  | RUNNING  | status_fallback  | domain_frontmatter  | consciousness
  13  H_132  | SUPPORTED  | verdict_class  | domain_frontmatter  | life
  14  H_157  | RUNNING  | verdict_class  | domain_frontmatter  | consciousness+physics+math
  15  H_171  | FALSIFIED  | verdict_class  | domain_frontmatter  | consciousness+life
  16  H_200  | RUNNING  | verdict_class  | domain_frontmatter  | life
  17  H_201  | SUPPORTED  | verdict_class  | domain_frontmatter  | life
  18  H_202  | SUPPORTED  | prose_verify_emoji  | domain_frontmatter  | life+consciousness+physics
  19  H_203  | PARTIAL  | verdict_class  | domain_frontmatter  | life+physics
  20  H_204  | PARTIAL  | verdict_class  | domain_frontmatter  | life+consciousness
  21  H_205  | SUPPORTED  | verdict_class  | domain_frontmatter  | life+consciousness
  22  H_206  | PARTIAL  | verdict_class  | domain_frontmatter  | life
  23  H_207  | FALSIFIED  | verdict_class  | domain_frontmatter  | physics+life
  24  H_208  | FALSIFIED  | verdict_class  | domain_frontmatter  | math+consciousness
  25  H_209  | FALSIFIED  | verdict_class  | domain_frontmatter  | life+consciousness
  26  H_210  | SUPPORTED  | verdict_class  | domain_frontmatter  | ethics+life+physics
  27  H_211  | PARTIAL  | verdict_class  | domain_frontmatter  | information+math+physics
  28  H_212  | PARTIAL  | verdict_class  | domain_frontmatter  | consciousness+math
  29  H_213  | RUNNING  | inline_verdict  | domain_frontmatter  | consciousness+physics
  30  H_214  | PARTIAL  | verdict_class  | domain_frontmatter  | life+consciousness+physics
  31  H_215  | SUPPORTED  | verdict_class  | domain_frontmatter  | physics+information+consciousness
  32  H_216  | RUNNING  | verdict_class  | domain_frontmatter  | meta+math+consciousness
  33  H_217  | SUPPORTED  | verdict_class  | domain_frontmatter  | meta+physics+math
  34  H_218  | PARTIAL  | inline_verdict  | domain_frontmatter  | information+physics+math
  35  H_219  | SUPPORTED  | verdict_class  | domain_frontmatter  | meta+consciousness+physics
  36  H_220  | PARTIAL  | verdict_class  | domain_frontmatter  | life+consciousness
  37  H_221  | FALSIFIED  | verdict_class  | domain_frontmatter  | consciousness+physics
  38  H_222  | FALSIFIED  | verdict_class  | domain_frontmatter  | consciousness+physics
  39  H_223  | SUPPORTED  | verdict_class  | domain_frontmatter  | consciousness+physics
  40  H_224  | PARTIAL  | verdict_class  | domain_frontmatter  | meta+math+consciousness
  41  H_225  | FALSIFIED  | verdict_class  | domain_frontmatter  | physics+math+information
  42  H_226  | SUPPORTED  | verdict_class  | domain_frontmatter  | ethics+life+physics
  43  H_227  | FALSIFIED  | verdict_class  | domain_frontmatter  | meta+consciousness+physics
  44  H_228  | FALSIFIED  | verdict_class  | domain_frontmatter  | consciousness+physics+ethics
  45  H_229  | SUPPORTED  | verdict_class  | domain_frontmatter  | consciousness+physics+ethics
  46  H_230  | SUPPORTED  | verdict_class  | domain_frontmatter  | life+consciousness+ethics+physics
  47  H_231  | PARTIAL  | verdict_class  | domain_frontmatter  | consciousness+ethics+physics
  48  H_232  | FALSIFIED  | verdict_class  | domain_frontmatter  | physics+math+information
  49  H_234  | PARTIAL  | verdict_class  | domain_frontmatter  | meta+consciousness+information+physics
  50  H_235  | PARTIAL  | verdict_class  | domain_frontmatter  | consciousness+physics
  51  H_239  | RUNNING  | verdict_class  | domain_frontmatter  | meta+information+math+consciousness
  52  H_240  | RUNNING  | verdict_class  | domain_frontmatter  | consciousness+physics
  53  H_241  | RUNNING  | verdict_class  | domain_frontmatter  | information+physics
  54  H_242  | RUNNING  | verdict_class  | domain_frontmatter  | physics
  55  H_244  | RUNNING  | verdict_class  | domain_frontmatter  | consciousness+physics
  56  H_245  | RUNNING  | verdict_class  | domain_frontmatter  | physics+consciousness
  57  H_246  | SUPPORTED  | verdict_class  | domain_frontmatter  | physics+consciousness
  58  H_247  | RUNNING  | verdict_class  | domain_frontmatter  | physics+life
  59  H_248  | RUNNING  | verdict_class  | domain_frontmatter  | physics+life+consciousness
  60  H_249  | RUNNING  | verdict_class  | domain_frontmatter  | physics+life
  61  H_250  | FALSIFIED  | verdict_class  | domain_frontmatter  | physics+math+information
  62  H_251  | FALSIFIED  | verdict_class  | domain_frontmatter  | physics+math+consciousness
  63  H_252  | PARTIAL  | verdict_class  | domain_frontmatter  | meta+consciousness+information+math
  64  H_253  | PARTIAL  | verdict_class  | domain_frontmatter  | physics+math
  65  H_254  | RUNNING  | verdict_class  | domain_frontmatter  | physics+life
  66  H_255  | RUNNING  | verdict_class  | domain_frontmatter  | physics+life
  67  H_256  | RUNNING  | verdict_class  | domain_frontmatter  | physics+life
  68  H_257  | RUNNING  | status_fallback  | domain_frontmatter  | physics+life
  69  H_258  | SUPPORTED  | verdict_class  | domain_frontmatter  | life+consciousness
