H_649 — collective-register-collapse-phi (H_633 collective 일반화 · raw#12)
  substrate: M={2,3} Kuramoto streams · NP=8/stream · coh_c = global order param
  Φ_c: RFC 036 phi_spatial via HEXAD/C/c_lib.hexa (byte-equal phi_rs replica)
  collective coh-collapse threshold (COFFESHOP register-hit lifted): coh_c < 0.10

  ensemble (coh_c, Φ_c) pairs (n=144):
    [0] coh_c=0.0536877  Φ_c=10.7575 [LO] 
    [1] coh_c=0.0391272  Φ_c=12.1833 [LO] 
    [2] coh_c=0.0203966  Φ_c=9.33668 [LO] 
    [3] coh_c=0.461477  Φ_c=9.1615       
    [4] coh_c=0.345614  Φ_c=14       
    [5] coh_c=0.961094  Φ_c=14       
    [6] coh_c=0.0922223  Φ_c=8.48789 [LO] 
    [7] coh_c=0.226714  Φ_c=8.18599       
    [8] coh_c=0.0470262  Φ_c=11.479 [LO] 
    [9] coh_c=0.0532187  Φ_c=11.3787 [LO] 
    [10] coh_c=0.0188474  Φ_c=9.34767 [LO] 
    [11] coh_c=0.471181  Φ_c=9.20595       
    [12] coh_c=0.426942  Φ_c=14       
    [13] coh_c=0.973442  Φ_c=14       
    [14] coh_c=0.0930348  Φ_c=8.51053 [LO] 
    [15] coh_c=0.246573  Φ_c=7.9746       
    [16] coh_c=0.0441422  Φ_c=11.5455 [LO] 
    [17] coh_c=0.0963866  Φ_c=11.8954 [LO] 
    [18] coh_c=0.0175997  Φ_c=9.18955 [LO] 
    [19] coh_c=0.484464  Φ_c=9.23596       
    [20] coh_c=0.576892  Φ_c=14       
    [21] coh_c=0.975664  Φ_c=13.7476       
    [22] coh_c=0.0980749  Φ_c=8.54386 [LO] 
    [23] coh_c=0.277909  Φ_c=7.9076       
    [24] coh_c=0.0791471  Φ_c=11.808 [LO] 
    [25] coh_c=0.231029  Φ_c=11.3573       
    [26] coh_c=0.0188638  Φ_c=8.83304 [LO] 
    [27] coh_c=0.502338  Φ_c=8.81923       
    [28] coh_c=0.828503  Φ_c=13.7476       
    [29] coh_c=0.975713  Φ_c=12.0762       
    [30] coh_c=0.116339  Φ_c=8.71439       
    [31] coh_c=0.335507  Φ_c=8.13799       
    [32] coh_c=0.225795  Φ_c=11.7567       
    [33] coh_c=0.675113  Φ_c=11.4966       
