    K  cfrac  csig |   FLAT   CASC    ABL   SHUF |     C-F
----------------------------------------------------------------
   24    0.6  0.18 |  0.917  0.958  0.889  0.986 |  +0.042
   48    0.6  0.18 |  0.889  0.944  0.875  0.931 |  +0.056
   72    0.6  0.18 |  0.569  0.528  0.528  0.556 |  -0.042
  120    0.6  0.18 |  0.083  0.111  0.097  0.097 |  +0.028
   24    0.3  0.18 |  0.903  0.972  0.944  1.000 |  +0.069
   48    0.3  0.18 |  0.889  0.958  0.917  0.986 |  +0.069
   72    0.3  0.18 |  0.708  0.778  0.681  0.833 |  +0.069
  120    0.3  0.18 |  0.333  0.417  0.306  0.417 |  +0.083
   24   0.15  0.18 |  0.931  0.958  0.931  0.986 |  +0.028
   48   0.15  0.18 |  0.931  0.944  0.917  0.972 |  +0.014
   72   0.15  0.18 |  0.819  0.792  0.778  0.806 |  -0.028
  120   0.15  0.18 |  0.639  0.542  0.528  0.528 |  -0.097

   24    0.6   0.3 |  0.931  0.972  0.944  1.000 |  +0.042
   48    0.6   0.3 |  0.931  0.972  0.944  0.986 |  +0.042
   72    0.6   0.3 |  0.667  0.611  0.597  0.722 |  -0.056
  120    0.6   0.3 |  0.208  0.264  0.236  0.278 |  +0.056
   24    0.3   0.3 |  0.931  0.972  0.944  1.000 |  +0.042
   48    0.3   0.3 |  0.931  0.972  0.944  1.000 |  +0.042
   72    0.3   0.3 |  0.750  0.750  0.736  0.861 |  +0.000
  120    0.3   0.3 |  0.431  0.514  0.500  0.583 |  +0.083
   24   0.15   0.3 |  0.931  0.972  0.944  1.000 |  +0.042
   48   0.15   0.3 |  0.931  0.972  0.944  1.000 |  +0.042
   72   0.15   0.3 |  0.819  0.833  0.819  0.847 |  +0.014
  120   0.15   0.3 |  0.681  0.653  0.625  0.681 |  -0.028

