=== H_1572 SAVANT GOLDEN-ZONE PSI SWEEP (engine-native, faithful IIT4) ===
GZ_LOWER=0.21231792755821912 GZ_CENTER=0.36787944117144233 GZ_UPPER=0.5
Psi_thr(OFF median drive)=0.5709787656739353

I	in_GZ	Psi_on	|Psi-0.5|	SI	focusPhi
0.0	0	0.18	0.32	3.081447684320409	0.15506410064649057
0.05	0	0.18666666666666668	0.31333333333333337	2.9696767590666164	0.21706079162204484
0.1	0	0.18666666666666668	0.31333333333333337	2.775379353013549	0.3367180677256907
0.15	0	0.22	0.28	2.396977482441906	0.6254339068396861
0.21231792755821912	1	0.25333333333333337	0.24666666666666663	3.6739421273617743	4.134100053803302
0.25	1	0.26666666666666665	0.23333333333333335	3.6622891285088097	4.085088990603888
0.3	1	0.2733333333333333	0.22666666666666666	3.645537782384411	4.016112401348169
0.36787944117144233	1	0.28	0.21999999999999997	3.6199903559012596	3.9141407866060263
0.42	1	0.29333333333333336	0.20666666666666664	3.597677083092502	3.828117847395899
0.5	1	0.32	0.18	3.557451375879011	3.6797614253263013
0.6	0	0.36	0.14	3.492448160428056	3.456757103880186
0.7	0	0.37333333333333334	0.12666666666666666	3.3995080425494835	3.169375725987395
0.85	0	0.44	0.06	3.120928032348387	2.478286384516938
1.0	0	0.4866666666666667	0.013333333333333308	3.401672447343595	0.0
