[psi_loader] WARN: consciousness_laws.json not found; alpha DEFAULT=0.014
[psi_loader] WARN: consciousness_laws.json not found; balance DEFAULT=0.5
[psi_loader] WARN: consciousness_laws.json not found; phase_dormant_max DEFAULT=0.01
[psi_loader] WARN: consciousness_laws.json not found; phase_flicker_max DEFAULT=0.05
[psi_loader] WARN: consciousness_laws.json not found; phase_sustain_max DEFAULT=0.15
EFFERENT HARNESS H_9102 — mouth=clm loaded=true ckpt=d768.clm
immune cells    : 1
---- HIGH group (no anchor, c0=LM argmax) ----
[OWN-GEMM-FIRED] _hx_k_gemm DEVICE path (no cuBLAS)
  HI[0] hollow depth=4 confpre=0.9465447065248763 kwin=1 diff=1 go_on=0.07575757575757576 go_off=0.030303030303030304
  HI[1] amber depth=4 confpre=0.9383229411855506 kwin=1 diff=1 go_on=0.06060606060606061 go_off=0.030303030303030304
  HI[2] tidal depth=4 confpre=0.931100511022515 kwin=2 diff=1 go_on=0.045454545454545456 go_off=0.045454545454545456
  HI[3] ferric depth=4 confpre=0.939224899362151 kwin=3 diff=1 go_on=0.045454545454545456 go_off=0.06060606060606061
  HI[4] glassen depth=4 confpre=0.9615911945732091 kwin=1 diff=1 go_on=0.06060606060606061 go_off=0.06060606060606061
  HI[5] umbral depth=4 confpre=0.943363695713611 kwin=1 diff=1 go_on=0.045454545454545456 go_off=0.030303030303030304
  HI[6] cinder depth=4 confpre=0.9527136335400557 kwin=3 diff=1 go_on=0.06060606060606061 go_off=0.045454545454545456
  HI[7] verdant depth=4 confpre=0.9168929195055381 kwin=2 diff=1 go_on=0.045454545454545456 go_off=0.06060606060606061
  HI[8] quill depth=4 confpre=0.8514358281312675 kwin=0 diff=0 go_on=0.06060606060606061 go_off=0.06060606060606061
  HI[9] marrow depth=4 confpre=0.862587880323712 kwin=0 diff=0 go_on=0.045454545454545456 go_off=0.045454545454545456
  HI[10] solace depth=4 confpre=0.939224899362151 kwin=2 diff=1 go_on=0.045454545454545456 go_off=0.06060606060606061
  HI[11] brackish depth=4 confpre=0.9652280032717431 kwin=3 diff=1 go_on=0.06060606060606061 go_off=0.045454545454545456
  HI[12] ochre depth=4 confpre=0.962740348293036 kwin=2 diff=1 go_on=0.045454545454545456 go_off=0.045454545454545456
  HI[13] vesper depth=4 confpre=0.9565162145127037 kwin=3 diff=1 go_on=0.030303030303030304 go_off=0.06060606060606061
  HI[14] loam depth=4 confpre=0.9740404350014088 kwin=1 diff=1 go_on=0.06060606060606061 go_off=0.045454545454545456
  HI[15] cobalt depth=4 confpre=0.9706064074239132 kwin=1 diff=1 go_on=0.045454545454545456 go_off=0.045454545454545456
  HI[16] thrum depth=4 confpre=0.9704604509495153 kwin=3 diff=1 go_on=0.030303030303030304 go_off=0.030303030303030304
  HI[17] pallid depth=4 confpre=0.9541219680845744 kwin=3 diff=1 go_on=0.06060606060606061 go_off=0.045454545454545456
  HI[18] resin depth=4 confpre=0.9168929195055381 kwin=1 diff=1 go_on=0.045454545454545456 go_off=0.06060606060606061
  HI[19] gossamer depth=4 confpre=0.8882148031531476 kwin=3 diff=1 go_on=0.045454545454545456 go_off=0.045454545454545456
---- LOW group (fact anchor present, c0 grounded) ----
